# FEAT_ID     Score                   Feature Expression
0             0.533978347605915116    av_delta_M1_M2_subsurf
1             0.534116033515140698    (exp(9.999322e-01*av_delta_M1_M2_subsurf))
2             0.53411604236799981     exp(av_delta_M1_M2_subsurf)
3             0.534515046962427687    (av_delta_M1_M2_subsurf^2)
4             0.543076649394069633    (av_W_change_H / av_EA)
5             0.54680793648180237     (av_W_change_H * particle_diameter)
6             0.546935442424297813    (av_delta_M1_M2_subsurf / total_metal_loading)
7             0.549388054248661217    (av_delta_M1_M2_subsurf * av_E_coh)
8             0.551867127659528389    (av_EA * av_IP)
9             0.554317124987814269    (av_d_band_center_surf / av_EA)
10            0.555004315001531912    (av_W_change_H + av_EA)
11            0.555052080016665284    (av_B_0 * av_EA)
12            0.557894489320709952    (surface_area / av_EA)
13            0.564789008136927895    (av_BE_H_surf / av_EA)
14            0.56579042423957171     (av_BE_H_surf - av_EA)
15            0.569385544673885691    (particle_diameter / av_W_change_H)
16            0.569402492294071583    av_EA
17            0.569443524675062762    (|av_W_change_H - av_EA|)
18            0.569443524675062762    (av_W_change_H - av_EA)
19            0.570812982396619262    (av_EA / av_IP)
20            0.574606831143455232    (av_delta_M1_M2_subsurf - total_metal_loading)
21            0.578966225884778973    (av_W_change_H - av_E_def_subsurf)
22            0.583382881634127326    (total_metal_loading / av_delta_M1_M2_subsurf)
23            0.585274583652325209    (av_EA / av_PE)
24            0.587172711961169491    (av_E_coh / av_BE_H_surf)
25            0.587497928412503145    (av_E_coh * av_EA)
26            0.587632022806435894    (av_mu_C_critical_surf / av_BE_H_subsurf)
27            0.598006904015016549    sqrt(av_EA)
28            0.6004183682730726      (av_delta_M1_M2_subsurf * av_EA)
29            0.602073759758732119    (av_mu_C_critical_surf * av_EA)
30            0.606698761019057398    (av_BE_H_subsurf / av_mu_C_critical_surf)
31            0.60713815168351104     cbrt(av_EA)
32            0.607734453121782203    (av_BE_H_subsurf * av_EA)
33            0.610046809672052714    (av_EA / av_d_band_center_surf)
34            0.612937547168698305    (av_BE_H_surf * av_EA)
35            0.613572803834363634    (av_BE_H_surf / av_E_coh)
36            0.616943182531763168    (av_E_def_subsurf + av_EA)
37            0.618835153372771174    (av_delta_M1_M2_subsurf * av_bulk_int_dist)
38            0.619222708869558436    (av_PE / av_EA)
39            0.625625823786690627    (av_delta_M1_M2_subsurf * av_PE)
40            0.626659393585308644    (av_IP / av_EA)
41            0.62868493183269869     (av_EA / av_bulk_int_dist)
42            0.631066572769901746    (av_delta_M1_M2_subsurf * av_IP)
43            0.641302293178729554    (av_E_def_subsurf * av_EA)
44            0.643608721275341522    (av_mu_C_critical_subsurf * av_EA)
45            0.649870229861724491    (total_metal_loading / av_EA)
46            0.651090453878546915    (av_E_b_C_subsurf * av_EA)
47            0.663895060045232244    (1.0 / av_EA)
48            0.67598866209713504     (ln(1.0*av_EA-8.095583e-01))
