# c0 + a0 * (|av_W_change_H|) + a1 * cbrt(time) + a2 * (total_metal_loading / std_dev) + a3 * (av_BE_H_subsurf / std_dev) + a4 * (av_delta_M1_M2_subsurf * av_EA)
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00764661678228125; Max AE: 0.052623200587257
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -3.667530427791636e+00,  3.526706509441621e-03,  6.627650930419472e+01,  4.826036359929655e-01,  2.758522807166262e+00,  1.384592143758232e-01, 
# 3   , -2.572187644990356e+00,  3.476041505367973e-03,  4.117241571974609e+01,  3.140690976422648e-01,  2.124060374205285e+00,  1.072916380170397e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               17|abs; (|av_W_change_H|); $\left(\left|av_{W, change, H}\right|\right)$; abs(av_W_change_H); av_W_change_H
# 1;  1; min^0.333333;                                     0|cbrt; cbrt(time); $\left(\sqrt[3]{ time }\right)$; nthroot(time, 3); time
# 2;  1; nm^-1;                                            1|3|div; (total_metal_loading / std_dev); $\left(\frac{ total_{metal, loading} }{ std_{dev} } \right)$; (total_metal_loading ./ std_dev); total_metal_loading,std_dev
# 3;  1; eV * nm^-1;                                       19|3|div; (av_BE_H_subsurf / std_dev); $\left(\frac{ av_{BE, H, subsurf} }{ std_{dev} } \right)$; (av_BE_H_subsurf ./ std_dev); av_BE_H_subsurf,std_dev
# 4;  1; eV;                                               15|6|mult; (av_delta_M1_M2_subsurf * av_EA); $\left(av_{delta, M1, M2, subsurf} av_{EA}\right)$; (av_delta_M1_M2_subsurf .* av_EA); av_delta_M1_M2_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.464941566066812e-02,  1.030000000000000e-01,  2.381101577952299e+00,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.236301709318101e-02,  6.836318273805214e-02,  1.030000000000000e-01,  3.434142727659996e+00,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.338282477917900e-02,  7.061140064274443e-02,  1.030000000000000e-01,  4.071626424892360e+00,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.232835059269099e-02,  7.151114206958958e-02,  1.030000000000000e-01,  4.326748710922225e+00,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.403354012486200e-02,  7.231570636648085e-02,  1.030000000000000e-01,  4.554883457813493e+00,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.551852479397100e-02,  7.371936170963106e-02,  1.030000000000000e-01,  4.952890873341941e+00,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.655976498278901e-02,  7.492772290824826e-02,  1.030000000000000e-01,  5.295522502989095e+00,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.670706670425401e-02,  7.547732229560661e-02,  1.030000000000000e-01,  5.451361778496420e+00,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.690934710656100e-02,  7.599717631602834e-02,  1.030000000000000e-01,  5.598766735225873e+00,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.687977851198700e-02,  7.649100978925377e-02,  1.030000000000000e-01,  5.738793548317167e+00,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
