# c0 + a0 * (|av_W_change_H|) + a1 * (av_d_band_center_surf * time) + a2 * (total_metal_loading / std_dev) + a3 * (av_BE_H_subsurf / std_dev) + a4 * (av_delta_M1_M2_subsurf * av_EA)
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00765425129679469; Max AE: 0.0475676376371175
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -3.693852892475288e+00, -1.291603594389774e-05,  6.508909823668269e+01,  4.732912874624680e-01,  2.759951716511377e+00,  1.516307140764078e-01, 
# 3   , -2.627924084192242e+00, -1.333189390387570e-05,  4.044362021119110e+01,  3.084681637345620e-01,  2.141368898530538e+00,  1.213098288793648e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               17|abs; (|av_W_change_H|); $\left(\left|av_{W, change, H}\right|\right)$; abs(av_W_change_H); av_W_change_H
# 1;  1; eV * min;                                         18|0|mult; (av_d_band_center_surf * time); $\left(av_{d, band, center, surf} time\right)$; (av_d_band_center_surf .* time); av_d_band_center_surf,time
# 2;  1; nm^-1;                                            1|3|div; (total_metal_loading / std_dev); $\left(\frac{ total_{metal, loading} }{ std_{dev} } \right)$; (total_metal_loading ./ std_dev); total_metal_loading,std_dev
# 3;  1; eV * nm^-1;                                       19|3|div; (av_BE_H_subsurf / std_dev); $\left(\frac{ av_{BE, H, subsurf} }{ std_{dev} } \right)$; (av_BE_H_subsurf ./ std_dev); av_BE_H_subsurf,std_dev
# 4;  1; eV;                                               15|6|mult; (av_delta_M1_M2_subsurf * av_EA); $\left(av_{delta, M1, M2, subsurf} av_{EA}\right)$; (av_delta_M1_M2_subsurf .* av_EA); av_delta_M1_M2_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.693270120393807e-02,  1.030000000000000e-01, -5.225850000000000e+01,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.236301709318101e-02,  6.828264653268643e-02,  1.030000000000000e-01, -1.567755000000000e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.338282477917900e-02,  6.963259186143478e-02,  1.030000000000000e-01, -2.612925000000000e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.232835059269099e-02,  7.030756452580897e-02,  1.030000000000000e-01, -3.135510000000000e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.403354012486200e-02,  7.098253719018313e-02,  1.030000000000000e-01, -3.658095000000000e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.551852479397100e-02,  7.233248251893151e-02,  1.030000000000000e-01, -4.703265000000000e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.655976498278901e-02,  7.368242784767987e-02,  1.030000000000000e-01, -5.748434999999999e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.670706670425401e-02,  7.435740051205403e-02,  1.030000000000000e-01, -6.271020000000000e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.690934710656100e-02,  7.503237317642822e-02,  1.030000000000000e-01, -6.793605000000000e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.687977851198700e-02,  7.570734584080241e-02,  1.030000000000000e-01, -7.316190000000000e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.687620918890400e-02,  7.638231850517657e-02,  1.030000000000000e-01, -7.838775000000001e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.689679201728600e-02,  7.705729116955076e-02,  1.030000000000000e-01, -8.361360000000000e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.677065317745700e-02,  7.773226383392495e-02,  1.030000000000000e-01, -8.883945000000000e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.681367034897300e-02,  7.840723649829912e-02,  1.030000000000000e-01, -9.406530000000000e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.696036194524600e-02,  7.908220916267331e-02,  1.030000000000000e-01, -9.929115000000000e+02,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.746072776044501e-02,  8.043215449142166e-02,  1.030000000000000e-01, -1.097428500000000e+03,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.767667904030801e-02,  8.110712715579585e-02,  1.030000000000000e-01, -1.149687000000000e+03,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.697005438102600e-02,  8.245707248454420e-02,  1.030000000000000e-01, -1.254204000000000e+03,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.907950298867700e-02,  8.380701781329256e-02,  1.030000000000000e-01, -1.358721000000000e+03,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.944109445923200e-02,  8.448199047766675e-02,  1.030000000000000e-01, -1.410979500000000e+03,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  7.992160875437500e-02,  8.515696314204091e-02,  1.030000000000000e-01, -1.463238000000000e+03,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_9_100,  8.064863733312801e-02,  8.650690847078929e-02,  1.030000000000000e-01, -1.567755000000000e+03,  4.233333333333333e-03, -4.773333333333333e-01,  8.893913599999999e-02
PdAg_1_5_100,  5.737490641647600e-02,  6.149944860887201e-02,  9.833333333333300e-02, -5.019749999999996e+01,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  5.540968779262700e-02,  6.214780132316582e-02,  9.833333333333300e-02, -1.003949999999999e+02,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  6.369128751365800e-02,  6.344450675175344e-02,  9.833333333333300e-02, -2.007899999999998e+02,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  6.978509288779200e-02,  6.538956489463484e-02,  9.833333333333300e-02, -3.513824999999997e+02,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  7.059051849144300e-02,  6.603791760892865e-02,  9.833333333333300e-02, -4.015799999999996e+02,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  7.236155798974900e-02,  6.733462303751626e-02,  9.833333333333300e-02, -5.019749999999996e+02,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  7.342513693604499e-02,  6.798297575181007e-02,  9.833333333333300e-02, -5.521724999999996e+02,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  7.511084231693500e-02,  6.992803389469147e-02,  9.833333333333300e-02, -7.027649999999994e+02,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  7.534057278525801e-02,  7.057638660898528e-02,  9.833333333333300e-02, -7.529624999999994e+02,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  7.581028328531100e-02,  7.122473932327909e-02,  9.833333333333300e-02, -8.031599999999993e+02,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  7.625246816708101e-02,  7.187309203757290e-02,  9.833333333333300e-02, -8.533574999999993e+02,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  7.685288582387600e-02,  7.381815018045433e-02,  9.833333333333300e-02, -1.003949999999999e+03,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  7.775128482761400e-02,  7.446650289474814e-02,  9.833333333333300e-02, -1.054147499999999e+03,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  7.782656960335800e-02,  7.511485560904192e-02,  9.833333333333300e-02, -1.104344999999999e+03,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
PdAg_1_5_100,  7.827570721293500e-02,  7.576320832333573e-02,  9.833333333333300e-02, -1.154542499999999e+03,  3.400000000000000e-03, -3.783333333333325e-01,  8.341022222222237e-02
