# c0 + a0 * (av_d_band_center_surf / particle_diameter) + a1 * (ln(1.0*time+4.190782e+01)) + a2 * (av_EA / av_bulk_int_dist) + a3 * (av_mu_C_critical_surf / av_BE_H_subsurf) + a4 * av_EA
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00717234413502602; Max AE: 0.0492876304204087
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  1.802347317139798e-01,  9.028085201064075e-03,  4.500631145758206e+00, -2.201354860633277e+00, -8.128649932917862e-01,  5.448478274118214e+00, 
# 3   ,  1.740865193988115e-01,  1.087778793033226e-02,  3.456562044205797e+00, -1.642318337667493e+00, -6.140530037976319e-01,  4.051536541976356e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * nm^-1;                                       18|2|div; (av_d_band_center_surf / particle_diameter); $\left(\frac{ av_{d, band, center, surf} }{ particle_{diameter} } \right)$; (av_d_band_center_surf ./ particle_diameter); av_d_band_center_surf,particle_diameter
# 1;  1; Unitless;                                         0|log:1.0000000000000e+00,4.1907824077375e+01; (ln(1.0*time+4.190782e+01)); $\left(\ln{ \left(1.0time+4.191e+01 \right)}\right)$; log(1.0*time+4.190782e+01); time
# 2;  1; A^-1 * eV;                                        6|8|div; (av_EA / av_bulk_int_dist); $\left(\frac{ av_{EA} }{ av_{bulk, int, dist} } \right)$; (av_EA ./ av_bulk_int_dist); av_EA,av_bulk_int_dist
# 3;  1; Unitless;                                         11|19|div; (av_mu_C_critical_surf / av_BE_H_subsurf); $\left(\frac{ av_{mu, C, critical, surf} }{ av_{BE, H, subsurf} } \right)$; (av_mu_C_critical_surf ./ av_BE_H_subsurf); av_mu_C_critical_surf,av_BE_H_subsurf
# 4;  0; eV;                                               6; av_EA; $av_{EA}$; av_EA; av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 179                   
# 3   , 166                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.471382674287467e-02, -6.451666666666667e-01,  4.014720812614866e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.829761158196783e-02, -6.451666666666667e-01,  4.411680384803058e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.966723692455483e-02, -6.451666666666667e-01,  4.563387564352640e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.338282477917900e-02,  7.085618917102136e-02, -6.451666666666667e-01,  4.695082405505310e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.284748412689650e-02, -6.451666666666667e-01,  4.915649105035343e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.447795594599542e-02, -6.451666666666667e-01,  5.096249064250020e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.519460322542253e-02, -6.451666666666667e-01,  5.175628829002682e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.647694540522147e-02, -6.451666666666667e-01,  5.317668048974551e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.705570809023347e-02, -6.451666666666667e-01,  5.381774963355861e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.811256532745174e-02, -6.451666666666667e-01,  5.498838240194902e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.905856723493736e-02, -6.451666666666667e-01,  5.603622575568044e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.735004744771500e-02,  8.031423966534161e-02, -6.451666666666667e-01,  5.742707708510334e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.767667904030801e-02,  8.106375542024162e-02, -6.451666666666667e-01,  5.825728165031006e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.765536965325100e-02,  8.141640083376904e-02, -6.451666666666667e-01,  5.864789096078256e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.697005438102600e-02,  8.175578785211650e-02, -6.451666666666667e-01,  5.902381454899511e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.907950298867700e-02,  8.239852960441700e-02, -6.451666666666667e-01,  5.973575040027058e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.944109445923200e-02,  8.270351735561503e-02, -6.451666666666667e-01,  6.007357148237847e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  7.992160875437500e-02,  8.299853777808890e-02, -6.451666666666667e-01,  6.040035220708680e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  8.016373252178199e-02,  8.328422179312094e-02, -6.451666666666667e-01,  6.071679141725130e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_9_100,  8.064863733312801e-02,  8.356114225027271e-02, -6.451666666666667e-01,  6.102352363231610e+00,  4.276970160673298e-01,  2.829608938547486e+00,  1.229800000000000e+00
PdAg_1_5_100,  5.737490641647600e-02,  6.043756755731991e-02, -6.197222222222217e-01,  4.014720812614866e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  5.540968779262700e-02,  6.240613174859558e-02, -6.197222222222217e-01,  4.232769728573591e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  6.050679933141600e-02,  6.402135239641307e-02, -6.197222222222217e-01,  4.411680384803058e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  6.369128751365800e-02,  6.539097773900007e-02, -6.197222222222217e-01,  4.563387564352640e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  6.603272598831700e-02,  6.657992998546661e-02, -6.197222222222217e-01,  4.695082405505310e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  6.978509288779200e-02,  6.857122494134174e-02, -6.197222222222217e-01,  4.915649105035343e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  7.059051849144300e-02,  6.942321882993976e-02, -6.197222222222217e-01,  5.010020599059131e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  7.342513693604499e-02,  7.158226387647407e-02, -6.197222222222217e-01,  5.249168214356332e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  7.396647068078400e-02,  7.220068621966672e-02, -6.197222222222217e-01,  5.317668048974551e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  7.511084231693500e-02,  7.332333359743018e-02, -6.197222222222217e-01,  5.442018600920076e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  7.534057278525801e-02,  7.383630614189698e-02, -6.197222222222217e-01,  5.498838240194902e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  7.581028328531100e-02,  7.432169220377485e-02, -6.197222222222217e-01,  5.552602250067195e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  7.625246816708101e-02,  7.478230804938260e-02, -6.197222222222217e-01,  5.603622575568044e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  7.662152720325401e-02,  7.522055954577514e-02, -6.197222222222217e-01,  5.652165703665822e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  7.685288582387600e-02,  7.603798047978685e-02, -6.197222222222217e-01,  5.742707708510334e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  7.782656960335800e-02,  7.678749623468686e-02, -6.197222222222217e-01,  5.825728165031006e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  7.935891091470000e-02,  7.780661822135240e-02, -6.197222222222217e-01,  5.938611679527011e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  7.998374643776000e-02,  7.812227041886224e-02, -6.197222222222217e-01,  5.973575040027058e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  8.118700916977900e-02,  7.872227859253414e-02, -6.197222222222217e-01,  6.040035220708680e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_5_100,  8.311749789736000e-02,  7.928488306471795e-02, -6.197222222222217e-01,  6.102352363231610e+00,  4.117920688452139e-01,  2.819383259911902e+00,  1.180333333333330e+00
PdAg_1_1_100,  3.009804408552100e-02,  3.313596233326670e-02, -3.283333333333334e-01,  4.014720812614866e+00,  3.307337823466855e-01,  2.781250000000000e+00,  9.330000000000001e-01
PdAg_1_1_100,  2.369807884796900e-02,  3.510452652454237e-02, -3.283333333333334e-01,  4.232769728573591e+00,  3.307337823466855e-01,  2.781250000000000e+00,  9.330000000000001e-01
PdAg_1_1_100,  2.696882955527700e-02,  3.671974717235987e-02, -3.283333333333334e-01,  4.411680384803058e+00,  3.307337823466855e-01,  2.781250000000000e+00,  9.330000000000001e-01
PdAg_1_1_100,  2.796475357978000e-02,  3.808937251494687e-02, -3.283333333333334e-01,  4.563387564352640e+00,  3.307337823466855e-01,  2.781250000000000e+00,  9.330000000000001e-01
PdAg_1_1_100,  3.230869246046200e-02,  3.927832476141340e-02, -3.283333333333334e-01,  4.695082405505310e+00,  3.307337823466855e-01,  2.781250000000000e+00,  9.330000000000001e-01
PdAg_1_1_100,  3.371685647622500e-02,  4.032876297899406e-02, -3.283333333333334e-01,  4.811434676688642e+00,  3.307337823466855e-01,  2.781250000000000e+00,  9.330000000000001e-01
PdAg_1_1_100,  3.559849175272900e-02,  4.126961971728853e-02, -3.283333333333334e-01,  4.915649105035343e+00,  3.307337823466855e-01,  2.781250000000000e+00,  9.330000000000001e-01
PdAg_1_1_100,  3.714431523677600e-02,  4.212161360588656e-02, -3.283333333333334e-01,  5.010020599059131e+00,  3.307337823466855e-01,  2.781250000000000e+00,  9.330000000000001e-01
PdAg_1_1_100,  3.871765226704800e-02,  4.290009153638746e-02, -3.283333333333334e-01,  5.096249064250020e+00,  3.307337823466855e-01,  2.781250000000000e+00,  9.330000000000001e-01
PdAg_1_1_100,  4.233116079846100e-02,  4.428065865242086e-02, -3.283333333333334e-01,  5.249168214356332e+00,  3.307337823466855e-01,  2.781250000000000e+00,  9.330000000000001e-01
PdAg_1_1_100,  4.556967115939200e-02,  4.547784368062551e-02, -3.283333333333334e-01,  5.381774963355861e+00,  3.307337823466855e-01,  2.781250000000000e+00,  9.330000000000001e-01
PdAg_1_1_100,  4.739556882899600e-02,  4.602172837337697e-02, -3.283333333333334e-01,  5.442018600920076e+00,  3.307337823466855e-01,  2.781250000000000e+00,  9.330000000000001e-01
