# FEAT_ID     Score                   Feature Expression
0             0.778669104150219948    (exp(1.924699e+00*(av_BE_H_surf * (av_EA+1.993415e-01))))
1             0.778725105663047201    ((av_B_0 / av_E_b_C_subsurf) / (av_E_coh * av_EA))
2             0.779522805134423069    ((av_E_coh / av_EA) / (av_BE_H_subsurf + av_E_b_C_subsurf))
3             0.77968406348158914     ((av_EA / av_B_0) * (av_BE_H_surf - av_mu_C_critical_subsurf))
4             0.7805355801019499      (exp(1.658793e+00*(av_BE_H_subsurf * (av_EA+2.476158e-02))))
5             0.780879629522324259    ((av_B_0 / av_mu_C_critical_subsurf) / (av_E_coh * av_EA))
6             0.780972536939114392    ((av_B_0 / av_BE_H_surf) / (av_BE_H_subsurf * av_EA))
7             0.7823810316708949      ((av_bulk_int_dist / av_E_b_C_subsurf) / (|av_d_band_center_surf - av_EA|))
8             0.783629697109817225    ((av_PE / av_E_b_C_subsurf) + (1.0 / av_EA))
9             0.783978819152576056    ((ln(1.0*av_EA-8.216725e-01)) - (av_BE_H_subsurf / av_EA))
10            0.784060276161934855    ((av_d_band_center_surf / av_BE_H_surf) - (av_BE_H_surf / av_EA))
11            0.784405377991623798    (|(av_PE / av_BE_H_surf) - (1.0 / av_EA)|)
12            0.784835465806768884    ((av_d_band_center_surf / av_E_def_subsurf) / (|av_E_b_C_subsurf - av_IP|))
13            0.784946915288721181    ((av_B_0 / av_E_b_C_subsurf) / (av_BE_H_surf * av_EA))
14            0.785246604246999103    (|(|av_W_change_H - av_EA|) - (|av_d_band_center_surf - av_BE_H_surf|)|)
15            0.786172947009038725    (exp(5.316590e-01*(av_mu_C_critical_subsurf * (av_EA-1.675311e-01))))
16            0.787045087067688276    ((av_d_band_center_surf / total_metal_loading) / (av_EA^3))
17            0.788314507521424179    ((av_BE_H_subsurf - av_EA) / (av_mu_C_critical_subsurf * av_EA))
18            0.788570320935244151    ((av_EA / av_BE_H_subsurf) * (av_E_b_C_subsurf - av_EA))
19            0.789111679572807145    ((av_PE / av_mu_C_critical_subsurf) - (1.0 / av_EA))
20            0.789312140288637831    ((av_IP / av_EA) + (av_d_band_center_surf / av_BE_H_subsurf))
21            0.790966040700818995    ((av_B_0 / av_EA) / (av_mu_C_critical_surf + av_EA))
22            0.791858024262884874    ((av_d_band_center_surf / total_metal_loading) / (av_EA^2))
23            0.793025797872035976    ((av_BE_H_subsurf - av_EA) / (av_E_b_C_subsurf * av_EA))
24            0.79361679597266499     ((av_EA / av_B_0) * (av_BE_H_surf * av_E_b_C_subsurf))
25            0.794065376353164654    ((av_B_0 / av_EA) / (av_BE_H_surf * av_mu_C_critical_subsurf))
26            0.79622503951045831     ((av_EA / av_E_def_subsurf) / (av_bulk_int_dist^6))
27            0.798703501524916426    ((av_mu_C_critical_surf / av_EA) / (av_mu_C_critical_subsurf + av_EA))
28            0.799056883962956599    ((av_BE_H_subsurf / av_EA) / (av_E_b_C_subsurf - av_EA))
29            0.799735550935859685    ((av_mu_C_critical_surf / av_EA) / (av_E_b_C_subsurf - av_EA))
30            0.801227541016556022    ((av_BE_H_surf / av_B_0) * (av_mu_C_critical_subsurf * av_EA))
31            0.801293344409851116    (exp(1.367087e+02*(av_W_change_H * (av_EA-9.261914e-01))))
32            0.802597597680309471    ((ln(1.0*av_EA-8.216725e-01)) - (av_d_band_center_surf / av_BE_H_surf))
33            0.806149999854553712    ((av_EA / av_BE_H_subsurf) * (av_mu_C_critical_subsurf + av_EA))
34            0.807137740376594248    ((av_BE_H_subsurf / av_EA) - (av_d_band_center_surf / av_BE_H_surf))
35            0.807959185028521487    (exp(2.252415e+00*(av_mu_C_critical_surf * (av_EA-8.199529e-01))))
36            0.809107433452431302    ((av_BE_H_subsurf / av_EA) / (av_mu_C_critical_subsurf + av_EA))
37            0.810558041568301468    ((ln(-1.0*av_W_change_H+5.914761e-01)) * (av_B_0 * av_EA))
38            0.811985489748101807    (|(av_IP / av_BE_H_subsurf) - (av_IP / av_EA)|)
39            0.816796178912602033    ((av_bulk_int_dist^6) * (av_E_def_subsurf / av_EA))
40            0.817012276111205971    (exp(1.948217e-01*((av_d_band_center_surf+1.552834e+00) / (av_EA-8.990000e-01))))
41            0.817455129122210522    ((av_EA / av_mu_C_critical_surf) * (av_mu_C_critical_subsurf + av_EA))
42            0.818278014414907773    (exp(2.126018e+00*((av_EA-9.095156e-01) / (av_d_band_center_surf+1.809193e+00))))
43            0.818878410524094602    ((av_mu_C_critical_surf + av_EA) * (av_EA / av_B_0))
44            0.82010183881346943     ((av_EA / av_mu_C_critical_surf) * (av_E_b_C_subsurf - av_EA))
45            0.826536259499789927    ((av_EA / av_bulk_int_dist) / (av_E_def_subsurf + av_EA))
46            0.828814110607389187    ((av_bulk_int_dist / av_EA) * (av_E_def_subsurf + av_EA))
47            0.847471174843106412    (exp(5.556715e+02*(av_E_coh * (av_bulk_int_dist-2.677161e+00))))
48            0.8479576989334624      (exp(2.169943e+01*(av_W_change_H * (particle_diameter-5.919094e+00))))
