# c0 + a0 * ((|std_dev - particle_diameter|) * (total_metal_loading * time)) + a1 * ((av_E_def_subsurf^3) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * ((av_EA / av_BE_H_subsurf) * (av_mu_C_critical_subsurf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00907977038478654; Max AE: 0.0532034499488719
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  1.218989074373418e-03, -1.468361966554974e-02,  9.389994184404352e-02, -1.948888861918478e-01, 
# 3   ,  1.357806603605486e-03, -1.061473961781842e-02,  9.261125193567674e-02, -1.902536885871433e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; min * nm;                                         3|2|abd|1|0|mult|mult; ((|std_dev - particle_diameter|) * (total_metal_loading * time)); $\left(\left(\left|std_{dev} - particle_{diameter}\right|\right) \left(total_{metal, loading} time\right)\right)$; (abs(std_dev - particle_diameter) .* (total_metal_loading .* time)); std_dev,particle_diameter,total_metal_loading,time
# 1;  2; eV^2;                                             14|cb|18|16|sub|div; ((av_E_def_subsurf^3) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(av_{E, def, subsurf}^3\right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((av_E_def_subsurf).^3 ./ (av_d_band_center_surf - av_BE_H_surf)); av_E_def_subsurf,av_d_band_center_surf,av_BE_H_surf
# 2;  2; eV;                                               6|19|div|12|6|add|mult; ((av_EA / av_BE_H_subsurf) * (av_mu_C_critical_subsurf + av_EA)); $\left(\left(\frac{ av_{EA} }{ av_{BE, H, subsurf} } \right) \left(av_{mu, C, critical, subsurf} + av_{EA}\right)\right)$; ((av_EA ./ av_BE_H_subsurf) .* (av_mu_C_critical_subsurf + av_EA)); av_EA,av_BE_H_subsurf,av_mu_C_critical_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.718726662212725e-02,  5.143500000000000e-01, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.906822771333913e-02,  2.057400000000000e+00, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.338282477917900e-02,  6.969521474374311e-02,  2.571750000000000e+00, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.232835059269099e-02,  7.032220177414707e-02,  3.086100000000000e+00, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.094918880455105e-02,  3.600450000000000e+00, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.283014989576293e-02,  5.143500000000000e+00, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.345713692616691e-02,  5.657850000000000e+00, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.408412395657087e-02,  6.172200000000000e+00, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.533809801737883e-02,  7.200900000000001e+00, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.659207207818676e-02,  8.229600000000000e+00, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.721905910859071e-02,  8.743950000000000e+00, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.681367034897300e-02,  7.784604613899469e-02,  9.258300000000000e+00, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.696036194524600e-02,  7.847303316939865e-02,  9.772649999999999e+00, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.910002019980263e-02,  1.028700000000000e+01, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.746072776044501e-02,  7.972700723020658e-02,  1.080135000000000e+01, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.767667904030801e-02,  8.035399426061056e-02,  1.131570000000000e+01, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.765536965325100e-02,  8.098098129101451e-02,  1.183005000000000e+01, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.697005438102600e-02,  8.160796832141849e-02,  1.234440000000000e+01, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.907950298867700e-02,  8.286194238222643e-02,  1.337310000000000e+01, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  7.944109445923200e-02,  8.348892941263041e-02,  1.388745000000000e+01, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_9_100,  8.016373252178199e-02,  8.474290347343831e-02,  1.491615000000000e+01, -5.109185271770894e-03,  2.783538938547486e+00
PdAg_1_5_100,  5.737490641647600e-02,  6.377964320337863e-02,  3.672000000000000e-01, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  6.050679933141600e-02,  6.467486877959845e-02,  1.101600000000000e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  6.369128751365800e-02,  6.512248156770838e-02,  1.468800000000000e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  6.603272598831700e-02,  6.557009435581830e-02,  1.836000000000000e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  6.978509288779200e-02,  6.646531993203815e-02,  2.570400000000000e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  7.236155798974900e-02,  6.780815829636790e-02,  3.672000000000000e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  7.342513693604499e-02,  6.825577108447782e-02,  4.039200000000000e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  7.396647068078400e-02,  6.870338387258774e-02,  4.406400000000000e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  7.581028328531100e-02,  7.049383502502742e-02,  5.875200000000000e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  7.625246816708101e-02,  7.094144781313734e-02,  6.242400000000000e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  7.662152720325401e-02,  7.138906060124724e-02,  6.609599999999999e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  7.775128482761400e-02,  7.273189896557701e-02,  7.711200000000000e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  7.827570721293500e-02,  7.362712454179683e-02,  8.445599999999999e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  7.863335891894600e-02,  7.407473732990676e-02,  8.812799999999999e+00, -5.585849637012399e-03,  2.749084728340676e+00
PdAg_1_5_100,  7.935891091470000e-02,  7.452235011801668e-02,  9.180000000000000e+00, -5.585849637012399e-03,  2.749084728340676e+00
