# c0 + a0 * ((time / av_E_coh) * (total_metal_loading^3)) + a1 * (exp(5.614590e+02*(av_E_coh * (av_bulk_int_dist-2.677805e+00)))) + a2 * ((av_B_0 / av_EA) / (av_mu_C_critical_surf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00858270108617827; Max AE: 0.0449003731143272
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  9.594050169038269e+01,  7.611621160902234e-07,  8.970139277423132e-03,  3.401375391329023e-01, 
# 3   ,  6.547949728958696e+01,  9.674431333289924e-07,  4.858449694682720e-03,  2.122633662960135e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; atom * eV^-1 * min;                               0|9|div|1|cb|mult; ((time / av_E_coh) * (total_metal_loading^3)); $\left(\left(\frac{ time }{ av_{E, coh} } \right) \left(total_{metal, loading}^3\right)\right)$; ((time ./ av_E_coh) .* (total_metal_loading).^3); time,av_E_coh,total_metal_loading
# 1;  2; Unitless;                                         9|8|mult|exp:5.6145902450224e+02,0.0000000000000e+00,-3.7150795603009e+00,-2.6778054100259e+00; (exp(5.614590e+02*(av_E_coh * (av_bulk_int_dist-2.677805e+00)))); $\left(\exp{ \left(5.615e+02\left(av_{E, coh} * \left(av_{bulk, int, dist}-2.678e+00\right)\right) \right)}\right)$; exp(5.614590e+02.*(av_E_coh .* (av_bulk_int_dist-2.677805e+00))); av_E_coh,av_bulk_int_dist
# 2;  2; Gpa * eV^-2;                                      10|6|div|11|6|add|div; ((av_B_0 / av_EA) / (av_mu_C_critical_surf + av_EA)); $\left(\frac{ \left(\frac{ av_{B, 0} }{ av_{EA} } \right) }{ \left(av_{mu, C, critical, surf} + av_{EA}\right) } \right)$; ((av_B_0 ./ av_EA) ./ (av_mu_C_critical_surf + av_EA)); av_B_0,av_EA,av_mu_C_critical_surf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.235037606217066e-02,  9.108422430830038e-06,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.236301709318101e-02,  6.409810929741418e-02,  2.732526729249012e-05,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.338282477917900e-02,  6.584584253265770e-02,  4.554211215415020e-05,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.232835059269099e-02,  6.671970915027949e-02,  5.465053458498024e-05,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.403354012486200e-02,  6.759357576790127e-02,  6.375895701581028e-05,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.551852479397100e-02,  6.934130900314479e-02,  8.197580187747036e-05,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.655976498278901e-02,  7.108904223838831e-02,  1.001926467391304e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.670706670425401e-02,  7.196290885601010e-02,  1.093010691699605e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.690934710656100e-02,  7.283677547363189e-02,  1.184094916007905e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.687977851198700e-02,  7.371064209125362e-02,  1.275179140316206e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.687620918890400e-02,  7.458450870887541e-02,  1.366263364624506e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.689679201728600e-02,  7.545837532649720e-02,  1.457347588932806e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.677065317745700e-02,  7.633224194411893e-02,  1.548431813241106e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.681367034897300e-02,  7.720610856174072e-02,  1.639516037549407e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.696036194524600e-02,  7.807997517936251e-02,  1.730600261857708e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.746072776044501e-02,  7.982770841460603e-02,  1.912768710474308e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.767667904030801e-02,  8.070157503222776e-02,  2.003852934782608e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.697005438102600e-02,  8.244930826747134e-02,  2.186021383399210e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.907950298867700e-02,  8.419704150271486e-02,  2.368189832015810e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.944109445923200e-02,  8.507090812033664e-02,  2.459274056324111e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  7.992160875437500e-02,  8.594477473795838e-02,  2.550358280632411e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_9_100,  8.064863733312801e-02,  8.769250797320195e-02,  2.732526729249012e-04,  1.910494511476237e-33, -3.106540724397814e+01
PdAg_1_5_100,  5.737490641647600e-02,  6.088977500174449e-02,  1.095440516129032e-05,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  5.540968779262700e-02,  6.194074612863845e-02,  2.190881032258064e-05,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  6.369128751365800e-02,  6.404268838242624e-02,  4.381762064516129e-05,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  6.978509288779200e-02,  6.719560176310799e-02,  7.668083612903225e-05,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.059051849144300e-02,  6.824657289000188e-02,  8.763524129032257e-05,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.236155798974900e-02,  7.034851514378973e-02,  1.095440516129032e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.342513693604499e-02,  7.139948627068363e-02,  1.204984567741935e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.511084231693500e-02,  7.455239965136537e-02,  1.533616722580645e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.534057278525801e-02,  7.560337077825927e-02,  1.643160774193549e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.581028328531100e-02,  7.665434190515316e-02,  1.752704825806451e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.625246816708101e-02,  7.770531303204711e-02,  1.862248877419355e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.685288582387600e-02,  8.085822641272880e-02,  2.190881032258064e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.775128482761400e-02,  8.190919753962275e-02,  2.300425083870968e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.782656960335800e-02,  8.296016866651665e-02,  2.409969135483871e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.827570721293500e-02,  8.401113979341054e-02,  2.519513187096774e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.863335891894600e-02,  8.506211092030450e-02,  2.629057238709677e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  7.935891091470000e-02,  8.611308204719839e-02,  2.738601290322581e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  8.073321891950801e-02,  8.821502430098618e-02,  2.957689393548387e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  8.118700916977900e-02,  8.926599542788013e-02,  3.067233445161290e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_5_100,  8.311749789736000e-02,  9.136793768166793e-02,  3.286321548387097e-04,  5.303480363079078e-29, -3.124798028092309e+01
PdAg_1_1_100,  3.009804408552100e-02,  2.731319038843991e-02,  1.154292236842105e-05,  4.976170284331045e-11, -3.499742565843923e+01
PdAg_1_1_100,  2.369807884796900e-02,  2.842062415143939e-02,  2.308584473684211e-05,  4.976170284331045e-11, -3.499742565843923e+01
