# c0 + a0 * ((std_dev - particle_diameter) * (total_metal_loading * time)) + a1 * ((av_E_b_C_subsurf + av_mu_C_critical_surf) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * ((av_EA / av_BE_H_subsurf) * (av_mu_C_critical_subsurf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00878221063551892; Max AE: 0.0542363343648821
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -1.211157957110711e-03, -5.798437285609197e-04,  9.320930566200153e-02, -1.936042922964549e-01, 
# 3   , -1.350276889541446e-03, -4.269913511604635e-04,  9.289723369443913e-02, -1.915425919169268e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; min * nm;                                         3|2|sub|1|0|mult|mult; ((std_dev - particle_diameter) * (total_metal_loading * time)); $\left(\left(std_{dev} - particle_{diameter}\right) \left(total_{metal, loading} time\right)\right)$; ((std_dev - particle_diameter) .* (total_metal_loading .* time)); std_dev,particle_diameter,total_metal_loading,time
# 1;  2; Unitless;                                         13|11|add|18|16|sub|div; ((av_E_b_C_subsurf + av_mu_C_critical_surf) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(av_{E, b, C, subsurf} + av_{mu, C, critical, surf}\right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((av_E_b_C_subsurf + av_mu_C_critical_surf) ./ (av_d_band_center_surf - av_BE_H_surf)); av_E_b_C_subsurf,av_mu_C_critical_surf,av_d_band_center_surf,av_BE_H_surf
# 2;  2; eV;                                               6|19|div|12|6|add|mult; ((av_EA / av_BE_H_subsurf) * (av_mu_C_critical_subsurf + av_EA)); $\left(\left(\frac{ av_{EA} }{ av_{BE, H, subsurf} } \right) \left(av_{mu, C, critical, subsurf} + av_{EA}\right)\right)$; ((av_EA ./ av_BE_H_subsurf) .* (av_mu_C_critical_subsurf + av_EA)); av_EA,av_BE_H_subsurf,av_mu_C_critical_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 167                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.668220586734859e-02, -5.143500000000000e-01, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.792812405782837e-02, -1.543050000000000e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.855108315306825e-02, -2.057400000000000e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.232835059269099e-02,  6.979700134354806e-02, -3.086100000000000e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.041996043878794e-02, -3.600450000000000e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.166587862926772e-02, -4.629150000000000e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.228883772450763e-02, -5.143500000000000e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.291179681974751e-02, -5.657850000000000e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.415771501022732e-02, -6.686550000000000e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.478067410546720e-02, -7.200900000000001e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.540363320070710e-02, -7.715249999999999e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.602659229594698e-02, -8.229600000000000e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.681367034897300e-02,  7.727251048642679e-02, -9.258300000000000e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.696036194524600e-02,  7.789546958166667e-02, -9.772649999999999e+00, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.851842867690657e-02, -1.028700000000000e+01, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.746072776044501e-02,  7.914138777214645e-02, -1.080135000000000e+01, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.767667904030801e-02,  7.976434686738636e-02, -1.131570000000000e+01, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.765536965325100e-02,  8.038730596262626e-02, -1.183005000000000e+01, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.697005438102600e-02,  8.101026505786614e-02, -1.234440000000000e+01, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.992160875437500e-02,  8.350210143882573e-02, -1.440180000000000e+01, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  8.016373252178199e-02,  8.412506053406561e-02, -1.491615000000000e+01, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_9_100,  8.064863733312801e-02,  8.474801962930552e-02, -1.543050000000000e+01, -3.652834599649328e-01,  2.783538938547486e+00
PdAg_1_5_100,  5.737490641647600e-02,  6.332794383439032e-02, -3.672000000000000e-01, -4.263565891472820e-01,  2.749084728340676e+00
PdAg_1_5_100,  5.540968779262700e-02,  6.377268103624135e-02, -7.343999999999999e-01, -4.263565891472820e-01,  2.749084728340676e+00
PdAg_1_5_100,  6.050679933141600e-02,  6.421741823809242e-02, -1.101600000000000e+00, -4.263565891472820e-01,  2.749084728340676e+00
PdAg_1_5_100,  6.369128751365800e-02,  6.466215543994346e-02, -1.468800000000000e+00, -4.263565891472820e-01,  2.749084728340676e+00
PdAg_1_5_100,  6.603272598831700e-02,  6.510689264179452e-02, -1.836000000000000e+00, -4.263565891472820e-01,  2.749084728340676e+00
PdAg_1_5_100,  6.978509288779200e-02,  6.599636704549662e-02, -2.570400000000000e+00, -4.263565891472820e-01,  2.749084728340676e+00
