# c0 + a0 * ((ln(1.0*av_BE_H_surf+2.635000e+00)) * (av_PE / time)) + a1 * ((ln(1.0*time-9.689293e+00)) * (av_E_def_subsurf * particle_diameter)) + a2 * (|(ln(-1.0*surface_area+7.900000e+01)) - (ln(1.0*av_E_def_subsurf-1.816155e-01))|) + a3 * ((av_EA / av_mu_C_critical_surf) * (av_mu_C_critical_subsurf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00732156895288754; Max AE: 0.0473218629400515
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -4.599610915301246e-04,  2.727696831768466e-03,  2.700446369931171e-03,  3.718138619686557e-01, -3.184831257946684e-01, 
# 3   , -2.523865964408510e-02,  6.700476444277317e-03,  1.974448119082043e-03,  3.537072545201402e-01, -3.240518073965175e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; min^-1;                                           16|log:1.0000000000000e+00,2.6350000001000e+00|7|0|div|mult; ((ln(1.0*av_BE_H_surf+2.635000e+00)) * (av_PE / time)); $\left(\left(\ln{ \left(1.0av_{BE, H, surf}+2.635e+00 \right)}\right) \left(\frac{ av_{PE} }{ time } \right)\right)$; (log(1.0*av_BE_H_surf+2.635000e+00) .* (av_PE ./ time)); av_BE_H_surf,av_PE,time
# 1;  2; eV * nm;                                          0|log:1.0000000000000e+00,-9.6892928864554e+00|14|2|mult|mult; ((ln(1.0*time-9.689293e+00)) * (av_E_def_subsurf * particle_diameter)); $\left(\left(\ln{ \left(1.0time-9.689e+00 \right)}\right) \left(av_{E, def, subsurf} particle_{diameter}\right)\right)$; (log(1.0*time-9.689293e+00) .* (av_E_def_subsurf .* particle_diameter)); time,av_E_def_subsurf,particle_diameter
# 2;  2; Unitless;                                         4|log:-1.0000000000000e+00,7.9000000000100e+01|14|log:1.0000000000000e+00,-1.8161547272259e-01|abd; (|(ln(-1.0*surface_area+7.900000e+01)) - (ln(1.0*av_E_def_subsurf-1.816155e-01))|); $\left(\left|\left(\ln{ \left(-1.0surface_{area}+7.900e+01 \right)}\right) - \left(\ln{ \left(1.0av_{E, def, subsurf}-1.816e-01 \right)}\right)\right|\right)$; abs(log(-1.0*surface_area+7.900000e+01) - log(1.0*av_E_def_subsurf-1.816155e-01)); surface_area,av_E_def_subsurf
# 3;  2; eV;                                               6|11|div|12|6|add|mult; ((av_EA / av_mu_C_critical_surf) * (av_mu_C_critical_subsurf + av_EA)); $\left(\left(\frac{ av_{EA} }{ av_{mu, C, critical, surf} } \right) \left(av_{mu, C, critical, subsurf} + av_{EA}\right)\right)$; ((av_EA ./ av_mu_C_critical_surf) .* (av_mu_C_critical_subsurf + av_EA)); av_EA,av_mu_C_critical_surf,av_mu_C_critical_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 167                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.670456139960988e-02, -1.079162969674260e-01,  1.653539050806110e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.236301709318101e-02,  7.371792556478422e-02, -3.597209898914200e-02,  4.236837757223276e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.106406789827700e-02,  7.493884687781931e-02, -2.697907424185650e-02,  4.685955760458177e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.232835059269099e-02,  7.653890630242725e-02, -1.798604949457100e-02,  5.274069456747068e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.403354012486200e-02,  7.712224775923841e-02, -1.541661385248943e-02,  5.488361342277030e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.551852479397100e-02,  7.805248734176760e-02, -1.199069966304733e-02,  5.829973855407776e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.624140955711101e-02,  7.843624206987819e-02, -1.079162969674260e-02,  5.970864239252951e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.655976498278901e-02,  7.878073859880284e-02, -9.810572451584180e-03,  6.097325425506684e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.690934710656100e-02,  7.937926820114070e-02, -8.301253612878923e-03,  6.317006668414406e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.687977851198700e-02,  7.964288859641293e-02, -7.708306926244713e-03,  6.413752437447100e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.687620918890400e-02,  7.988738059359006e-02, -7.194419797828399e-03,  6.503472219503287e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.689679201728600e-02,  8.011533350954152e-02, -6.744768560464124e-03,  6.587117782810804e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.681367034897300e-02,  8.052963380918431e-02, -5.995349831523666e-03,  6.739130645189843e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.696036194524600e-02,  8.071913382506661e-02, -5.679805103548737e-03,  6.808656390122724e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.735004744771500e-02,  8.089854641913673e-02, -5.395814848371300e-03,  6.874478667894520e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.746072776044501e-02,  8.106889151878431e-02, -5.138871284163142e-03,  6.936972153865718e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.767667904030801e-02,  8.123104177549066e-02, -4.905286225792090e-03,  6.996457392421195e+00,  5.505565945047024e+00,  9.837185982230998e-01
PdAg_1_9_100,  7.765536965325100e-02,  8.138574962356208e-02, -4.692012911627217e-03,  7.053210747007713e+00,  5.505565945047024e+00,  9.837185982230998e-01
