# c0 + a0 * ((surface_area / particle_diameter) / (av_E_b_C_subsurf + av_mu_C_critical_subsurf)) + a1 * ((av_PE * surface_area) / (ln(1.0*time+4.190782e+01))) + a2 * ((av_E_b_C_subsurf / particle_diameter) / (av_d_band_center_surf - av_BE_H_surf)) + a3 * (exp(2.315148e+01*(av_W_change_H * (particle_diameter-5.929910e+00))))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00696906113884573; Max AE: 0.0534306562117919
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  7.770052811510181e-05, -1.693131538797010e-03, -2.354599249760293e-04, -1.894317267318890e-01,  3.157219021991874e-01, 
# 3   , -5.484260849669469e-04, -2.067535778399046e-03, -1.610479953953048e-04, -1.731355502103991e-01,  3.451414549145450e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g^-1 * m^2 * nm^-1;                       4|2|div|13|12|add|div; ((surface_area / particle_diameter) / (av_E_b_C_subsurf + av_mu_C_critical_subsurf)); $\left(\frac{ \left(\frac{ surface_{area} }{ particle_{diameter} } \right) }{ \left(av_{E, b, C, subsurf} + av_{mu, C, critical, subsurf}\right) } \right)$; ((surface_area ./ particle_diameter) ./ (av_E_b_C_subsurf + av_mu_C_critical_subsurf)); surface_area,particle_diameter,av_E_b_C_subsurf,av_mu_C_critical_subsurf
# 1;  2; g^-1 * m^2;                                       7|4|mult|0|log:1.0000000000000e+00,4.1907824077375e+01|div; ((av_PE * surface_area) / (ln(1.0*time+4.190782e+01))); $\left(\frac{ \left(av_{PE} surface_{area}\right) }{ \left(\ln{ \left(1.0time+4.191e+01 \right)}\right) } \right)$; ((av_PE .* surface_area) ./ log(1.0*time+4.190782e+01)); av_PE,surface_area,time
# 2;  2; nm^-1;                                            13|2|div|18|16|sub|div; ((av_E_b_C_subsurf / particle_diameter) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ av_{E, b, C, subsurf} }{ particle_{diameter} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((av_E_b_C_subsurf ./ particle_diameter) ./ (av_d_band_center_surf - av_BE_H_surf)); av_E_b_C_subsurf,particle_diameter,av_d_band_center_surf,av_BE_H_surf
# 3;  2; Unitless;                                         17|2|mult|exp:2.3151480886823e+01,0.0000000000000e+00,-7.2399381368150e-02,-5.9299098566331e+00; (exp(2.315148e+01*(av_W_change_H * (particle_diameter-5.929910e+00)))); $\left(\exp{ \left(2.315e+01\left(av_{W, change, H} * \left(particle_{diameter}-5.930e+00\right)\right) \right)}\right)$; exp(2.315148e+01.*(av_W_change_H .* (particle_diameter-5.929910e+00))); av_W_change_H,particle_diameter
# Number of Samples Per Task
# Task, n_samples               
# 2   , 179                   
# 3   , 166                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.109392100523569e-02,  5.906148867313929e+01,  3.558429257424550e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.651506912485965e-02,  5.906148867313929e+01,  3.238244558515937e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.833778561947960e-02,  5.906148867313929e+01,  3.130590991568918e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.338282477917900e-02,  6.982455146039211e-02,  5.906148867313929e+01,  3.042779394723415e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.213619165254918e-02,  5.906148867313929e+01,  2.906248939812657e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.387996692388264e-02,  5.906148867313929e+01,  2.803257811753435e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.460791503740082e-02,  5.906148867313929e+01,  2.760263626314343e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.585624190355043e-02,  5.906148867313929e+01,  2.686534749523319e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.639807122293184e-02,  5.906148867313929e+01,  2.654533141439968e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.735488756425828e-02,  5.906148867313929e+01,  2.598021504901305e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.817743495302525e-02,  5.906148867313929e+01,  2.549440082258183e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.922287590166903e-02,  5.906148867313929e+01,  2.487694085288181e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.767667904030801e-02,  7.982311264107909e-02,  5.906148867313929e+01,  2.452242809019560e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.765536965325100e-02,  8.009964398294038e-02,  5.906148867313929e+01,  2.435910271616250e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.697005438102600e-02,  8.036232233945027e-02,  5.906148867313929e+01,  2.420395921402410e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.907950298867700e-02,  8.085073133231262e-02,  5.906148867313929e+01,  2.391549433006753e+01, -4.555815312682642e-01,  1.050908824195096e+00
PdAg_1_9_100,  7.944109445923200e-02,  8.107843674707858e-02,  5.906148867313929e+01,  2.378100660153122e+01, -4.555815312682642e-01,  1.050908824195096e+00
