# c0 + a0 * (std_dev * time) + a1 * (av_E_b_C_subsurf * av_bulk_int_dist)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.198013929348458; Max AE: 0.695765719350502
# Coefficients
# Task   a0                      a1                      c0
# 2   , -4.617041686931583e-04,  2.736830697271608e-01, -3.152767692434672e+00, 
# 3   , -4.971658489099555e-04,  2.640023951091917e-01, -3.179053784654127e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm;                                         3|0|mult; (std_dev * time); $\left(std_{dev} time\right)$; (std_dev .* time); std_dev,time
# 1;  1; A * eV;                                           13|8|mult; (av_E_b_C_subsurf * av_bulk_int_dist); $\left(av_{E, b, C, subsurf} av_{bulk, int, dist}\right)$; (av_E_b_C_subsurf .* av_bulk_int_dist); av_E_b_C_subsurf,av_bulk_int_dist
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  5.090904817226520e-01,  4.050000000000000e+01,  1.344824580000000e+01
PdAg_1_9_100,  3.099375324862660e-01,  4.529934252264333e-01,  1.620000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.919675286925200e-01,  4.342944063943603e-01,  2.025000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.856868471553150e-01,  4.155953875622877e-01,  2.430000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.813651505179750e-01,  3.968963687302147e-01,  2.835000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.739275035497000e-01,  3.407993122339960e-01,  4.050000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.725813187048580e-01,  3.221002934019230e-01,  4.455000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.710137208355010e-01,  3.034012745698499e-01,  4.860000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.691444146104700e-01,  2.660032369057043e-01,  5.670000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.658907762370700e-01,  2.286051992415583e-01,  6.480000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.650229112638520e-01,  2.099061804094857e-01,  6.885000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.637375021423530e-01,  1.912071615774126e-01,  7.290000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.642144249687690e-01,  1.725081427453396e-01,  7.695000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.621887653386570e-01,  1.538091239132666e-01,  8.100000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.609797547787540e-01,  1.351101050811940e-01,  8.505000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.597681369110620e-01,  1.164110862491209e-01,  8.910000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.586590858830060e-01,  9.771206741704791e-02,  9.315000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.564021611090790e-01,  7.901304858497532e-02,  9.720000000000000e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.537741737812260e-01,  4.161501092082925e-02,  1.053000000000000e+03,  1.344824580000000e+01
PdAg_1_9_100,  2.518192543109310e-01,  2.291599208875622e-02,  1.093500000000000e+03,  1.344824580000000e+01
PdAg_1_9_100,  2.479231710514490e-01, -1.448204557538940e-02,  1.174500000000000e+03,  1.344824580000000e+01
PdAg_1_5_100,  5.770639017232591e-01,  6.727253437555869e-01,  5.400000000000000e+01,  1.406891944444442e+01
PdAg_1_5_100,  2.565338589410230e-01,  6.228612935367259e-01,  1.620000000000000e+02,  1.406891944444442e+01
PdAg_1_5_100,  2.398208440226360e-01,  5.979292684272952e-01,  2.160000000000000e+02,  1.406891944444442e+01
PdAg_1_5_100,  2.303037511075600e-01,  5.729972433178649e-01,  2.700000000000000e+02,  1.406891944444442e+01
PdAg_1_5_100,  2.236877838869310e-01,  5.231331930990040e-01,  3.780000000000000e+02,  1.406891944444442e+01
PdAg_1_5_100,  2.141497061269980e-01,  4.483371177707123e-01,  5.400000000000000e+02,  1.406891944444442e+01
PdAg_1_5_100,  2.121100061106850e-01,  4.234050926612816e-01,  5.940000000000000e+02,  1.406891944444442e+01
PdAg_1_5_100,  2.099035907134980e-01,  3.984730675518509e-01,  6.480000000000000e+02,  1.406891944444442e+01
PdAg_1_5_100,  2.024470208367670e-01,  2.987449671141289e-01,  8.640000000000000e+02,  1.406891944444442e+01
PdAg_1_5_100,  2.013479605126910e-01,  2.738129420046982e-01,  9.180000000000000e+02,  1.406891944444442e+01
PdAg_1_5_100,  2.000269286823050e-01,  2.488809168952679e-01,  9.720000000000000e+02,  1.406891944444442e+01
PdAg_1_5_100,  1.963439311488950e-01,  1.740848415669762e-01,  1.134000000000000e+03,  1.406891944444442e+01
PdAg_1_5_100,  1.926261364587620e-01,  1.242207913481148e-01,  1.242000000000000e+03,  1.406891944444442e+01
PdAg_1_5_100,  1.905512205622570e-01,  9.928876623868456e-02,  1.296000000000000e+03,  1.406891944444442e+01
