# c0 + a0 * (av_B_0 * std_dev) + a1 * (total_metal_loading * time) + a2 * (time / av_E_def_subsurf) + a3 * cbrt(av_BE_H_subsurf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.11887857669376; Max AE: 0.797383158739494
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -1.585440359667069e-03, -2.846194454968151e-01,  5.579456802798473e-04, -1.011531521883110e+01, -1.042775754708841e+01, 
# 3   , -1.796992607599245e-03, -4.726697729770901e-01,  1.092699657622050e-03, -9.971068479462373e+00, -1.036075455434177e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Gpa * nm;                                         10|3|mult; (av_B_0 * std_dev); $\left(av_{B, 0} std_{dev}\right)$; (av_B_0 .* std_dev); av_B_0,std_dev
# 1;  1; min;                                              1|0|mult; (total_metal_loading * time); $\left(total_{metal, loading} time\right)$; (total_metal_loading .* time); total_metal_loading,time
# 2;  1; eV^-1 * min;                                      0|14|div; (time / av_E_def_subsurf); $\left(\frac{ time }{ av_{E, def, subsurf} } \right)$; (time ./ av_E_def_subsurf); time,av_E_def_subsurf
# 3;  1; eV^0.333333;                                      19|cbrt; cbrt(av_BE_H_subsurf); $\left(\sqrt[3]{ av_{BE, H, subsurf} }\right)$; nthroot(av_BE_H_subsurf, 3); av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.486412373089306e-01,  3.234600000000000e+02,  1.714500000000000e-01,  6.553398058252428e+01, -1.127148158908847e+00
PdAg_1_9_100,  3.628741788873400e-01,  4.241740322031978e-01,  3.234600000000000e+02,  5.143500000000000e-01,  1.966019417475728e+02, -1.127148158908847e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.997068270974667e-01,  3.234600000000000e+02,  8.572500000000000e-01,  3.276699029126214e+02, -1.127148158908847e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.874732245446003e-01,  3.234600000000000e+02,  1.028700000000000e+00,  3.932038834951456e+02, -1.127148158908847e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.752396219917338e-01,  3.234600000000000e+02,  1.200150000000000e+00,  4.587378640776699e+02, -1.127148158908847e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.507724168860010e-01,  3.234600000000000e+02,  1.543050000000000e+00,  5.898058252427185e+02, -1.127148158908847e+00
PdAg_1_9_100,  2.725813187048580e-01,  3.263052117802699e-01,  3.234600000000000e+02,  1.885950000000000e+00,  7.208737864077671e+02, -1.127148158908847e+00
PdAg_1_9_100,  2.710137208355010e-01,  3.140716092274035e-01,  3.234600000000000e+02,  2.057400000000000e+00,  7.864077669902913e+02, -1.127148158908847e+00
PdAg_1_9_100,  2.699577938430830e-01,  3.018380066745370e-01,  3.234600000000000e+02,  2.228850000000000e+00,  8.519417475728155e+02, -1.127148158908847e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.896044041216706e-01,  3.234600000000000e+02,  2.400300000000000e+00,  9.174757281553399e+02, -1.127148158908847e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.773708015688042e-01,  3.234600000000000e+02,  2.571750000000000e+00,  9.830097087378641e+02, -1.127148158908847e+00
PdAg_1_9_100,  2.658907762370700e-01,  2.651371990159377e-01,  3.234600000000000e+02,  2.743200000000000e+00,  1.048543689320388e+03, -1.127148158908847e+00
PdAg_1_9_100,  2.650229112638520e-01,  2.529035964630713e-01,  3.234600000000000e+02,  2.914650000000000e+00,  1.114077669902913e+03, -1.127148158908847e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.406699939102067e-01,  3.234600000000000e+02,  3.086100000000000e+00,  1.179611650485437e+03, -1.127148158908847e+00
PdAg_1_9_100,  2.642144249687690e-01,  2.284363913573420e-01,  3.234600000000000e+02,  3.257550000000000e+00,  1.245145631067961e+03, -1.127148158908847e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.039691862516091e-01,  3.234600000000000e+02,  3.600450000000000e+00,  1.376213592233010e+03, -1.127148158908847e+00
PdAg_1_9_100,  2.597681369110620e-01,  1.917355836987427e-01,  3.234600000000000e+02,  3.771900000000000e+00,  1.441747572815534e+03, -1.127148158908847e+00
PdAg_1_9_100,  2.564021611090790e-01,  1.672683785930099e-01,  3.234600000000000e+02,  4.114800000000000e+00,  1.572815533980583e+03, -1.127148158908847e+00
PdAg_1_9_100,  2.537741737812260e-01,  1.428011734872788e-01,  3.234600000000000e+02,  4.457700000000000e+00,  1.703883495145631e+03, -1.127148158908847e+00
PdAg_1_9_100,  2.518192543109310e-01,  1.305675709344123e-01,  3.234600000000000e+02,  4.629150000000000e+00,  1.769417475728156e+03, -1.127148158908847e+00
PdAg_1_9_100,  2.496764650829220e-01,  1.183339683815459e-01,  3.234600000000000e+02,  4.800600000000000e+00,  1.834951456310680e+03, -1.127148158908847e+00
PdAg_1_9_100,  2.453013105463630e-01,  9.386676327581307e-02,  3.234600000000000e+02,  5.143500000000000e+00,  1.966019417475728e+03, -1.127148158908847e+00
PdAg_1_5_100,  5.770639017232591e-01,  4.484792353284310e-01,  4.553333333333320e+02,  1.836000000000000e-01,  6.639344262295093e+01, -1.148095988175254e+00
PdAg_1_5_100,  3.293542674131830e-01,  4.332670396456011e-01,  4.553333333333320e+02,  3.672000000000000e-01,  1.327868852459019e+02, -1.148095988175254e+00
PdAg_1_5_100,  2.398208440226360e-01,  4.028426482799377e-01,  4.553333333333320e+02,  7.343999999999999e-01,  2.655737704918037e+02, -1.148095988175254e+00
PdAg_1_5_100,  2.236877838869310e-01,  3.572060612314407e-01,  4.553333333333320e+02,  1.285200000000000e+00,  4.647540983606565e+02, -1.148095988175254e+00
PdAg_1_5_100,  2.195369868150280e-01,  3.419938655486108e-01,  4.553333333333320e+02,  1.468800000000000e+00,  5.311475409836074e+02, -1.148095988175254e+00
PdAg_1_5_100,  2.141497061269980e-01,  3.115694741829456e-01,  4.553333333333320e+02,  1.836000000000000e+00,  6.639344262295093e+02, -1.148095988175254e+00
PdAg_1_5_100,  2.121100061106850e-01,  2.963572785001138e-01,  4.553333333333320e+02,  2.019600000000000e+00,  7.303278688524601e+02, -1.148095988175254e+00
PdAg_1_5_100,  2.050856479851930e-01,  2.507206914516187e-01,  4.553333333333320e+02,  2.570400000000000e+00,  9.295081967213130e+02, -1.148095988175254e+00
PdAg_1_5_100,  2.038357874315140e-01,  2.355084957687870e-01,  4.553333333333320e+02,  2.754000000000000e+00,  9.959016393442639e+02, -1.148095988175254e+00
PdAg_1_5_100,  2.024470208367670e-01,  2.202963000859535e-01,  4.553333333333320e+02,  2.937600000000000e+00,  1.062295081967215e+03, -1.148095988175254e+00
PdAg_1_5_100,  2.013479605126910e-01,  2.050841044031235e-01,  4.553333333333320e+02,  3.121200000000000e+00,  1.128688524590166e+03, -1.148095988175254e+00
PdAg_1_5_100,  1.969854579108610e-01,  1.594475173546266e-01,  4.553333333333320e+02,  3.672000000000000e+00,  1.327868852459019e+03, -1.148095988175254e+00
PdAg_1_5_100,  1.963439311488950e-01,  1.442353216717949e-01,  4.553333333333320e+02,  3.855600000000000e+00,  1.394262295081970e+03, -1.148095988175254e+00
PdAg_1_5_100,  1.940684048443220e-01,  1.290231259889631e-01,  4.553333333333320e+02,  4.039200000000000e+00,  1.460655737704920e+03, -1.148095988175254e+00
PdAg_1_5_100,  1.926261364587620e-01,  1.138109303061314e-01,  4.553333333333320e+02,  4.222799999999999e+00,  1.527049180327871e+03, -1.148095988175254e+00
PdAg_1_5_100,  1.905512205622570e-01,  9.859873462329972e-02,  4.553333333333320e+02,  4.406400000000000e+00,  1.593442622950822e+03, -1.148095988175254e+00
PdAg_1_5_100,  1.891192110734720e-01,  8.338653894046801e-02,  4.553333333333320e+02,  4.590000000000000e+00,  1.659836065573773e+03, -1.148095988175254e+00
PdAg_1_5_100,  1.864446344370330e-01,  5.296214757480457e-02,  4.553333333333320e+02,  4.957199999999999e+00,  1.792622950819675e+03, -1.148095988175254e+00
PdAg_1_5_100,  1.848761965650050e-01,  3.774995189197285e-02,  4.553333333333320e+02,  5.140800000000000e+00,  1.859016393442626e+03, -1.148095988175254e+00
PdAg_1_5_100,  1.849359671980280e-01,  7.325560526307631e-03,  4.553333333333320e+02,  5.508000000000000e+00,  1.991803278688528e+03, -1.148095988175254e+00
PdAg_1_1_100,  1.535896786579120e+00,  1.216615209164760e+00,  5.756000000000000e+02,  1.930500000000000e-01,  7.105263157894737e+01, -1.242893002381544e+00
PdAg_1_1_100,  1.542341149952750e+00,  1.201312934073588e+00,  5.756000000000000e+02,  3.861000000000000e-01,  1.421052631578947e+02, -1.242893002381544e+00
PdAg_1_1_100,  1.443594468047830e+00,  1.170708383891247e+00,  5.756000000000000e+02,  7.722000000000000e-01,  2.842105263157895e+02, -1.242893002381544e+00
