# c0 + a0 * (av_mu_C_critical_subsurf * std_dev) + a1 * (av_E_def_subsurf * time) + a2 * (av_BE_H_subsurf^3)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.141106652344303; Max AE: 0.77450911799289
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  3.825485062437466e-02, -4.026278803316024e-03, -2.342440988619746e-01,  3.377218874674983e-01, 
# 3   ,  3.545185001243646e-02, -5.394315091684772e-03, -2.334055162742975e-01,  1.802040734410072e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * nm;                                          12|3|mult; (av_mu_C_critical_subsurf * std_dev); $\left(av_{mu, C, critical, subsurf} std_{dev}\right)$; (av_mu_C_critical_subsurf .* std_dev); av_mu_C_critical_subsurf,std_dev
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; eV^3;                                             19|cb; (av_BE_H_subsurf^3); $\left(av_{BE, H, subsurf}^3\right)$; (av_BE_H_subsurf).^3; av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  3.628741788873400e-01,  4.788746216368400e-01, -1.341300000000000e+01,  8.343000000000000e+00, -2.936493568000000e+00
PdAg_1_9_100,  3.099375324862660e-01,  4.676775402848181e-01, -1.341300000000000e+01,  1.112400000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  4.564804589327962e-01, -1.341300000000000e+01,  1.390500000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  4.452833775807744e-01, -1.341300000000000e+01,  1.668600000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  4.116921335247088e-01, -1.341300000000000e+01,  2.502900000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.739275035497000e-01,  4.004950521726869e-01, -1.341300000000000e+01,  2.781000000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  3.892979708206651e-01, -1.341300000000000e+01,  3.059100000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  3.781008894686432e-01, -1.341300000000000e+01,  3.337200000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  3.669038081166213e-01, -1.341300000000000e+01,  3.615300000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  3.557067267645995e-01, -1.341300000000000e+01,  3.893400000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  3.445096454125776e-01, -1.341300000000000e+01,  4.171500000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.658907762370700e-01,  3.333125640605558e-01, -1.341300000000000e+01,  4.449600000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  3.221154827085339e-01, -1.341300000000000e+01,  4.727699999999999e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  3.109184013565120e-01, -1.341300000000000e+01,  5.005800000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.642144249687690e-01,  2.997213200044901e-01, -1.341300000000000e+01,  5.283900000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.885242386524683e-01, -1.341300000000000e+01,  5.562000000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.773271573004464e-01, -1.341300000000000e+01,  5.840100000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.586590858830060e-01,  2.549329945964027e-01, -1.341300000000000e+01,  6.396299999999999e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.537741737812260e-01,  2.213417505403371e-01, -1.341300000000000e+01,  7.230600000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.518192543109310e-01,  2.101446691883153e-01, -1.341300000000000e+01,  7.508699999999999e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.496764650829220e-01,  1.989475878362934e-01, -1.341300000000000e+01,  7.786799999999999e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.479231710514490e-01,  1.877505064842715e-01, -1.341300000000000e+01,  8.064900000000000e+01, -2.936493568000000e+00
PdAg_1_9_100,  2.453013105463630e-01,  1.765534251322496e-01, -1.341300000000000e+01,  8.342999999999999e+01, -2.936493568000000e+00
PdAg_1_5_100,  3.293542674131830e-01,  4.075050811676600e-01, -1.882000000000000e+01,  5.489999999999991e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.565338589410230e-01,  3.964529458525575e-01, -1.882000000000000e+01,  8.234999999999987e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.303037511075600e-01,  3.743486752223525e-01, -1.882000000000000e+01,  1.372499999999998e+01, -3.465802370370348e+00
PdAg_1_5_100,  2.195369868150280e-01,  3.411922692770452e-01, -1.882000000000000e+01,  2.195999999999997e+01, -3.465802370370348e+00
PdAg_1_5_100,  2.141497061269980e-01,  3.190879986468402e-01, -1.882000000000000e+01,  2.744999999999996e+01, -3.465802370370348e+00
PdAg_1_5_100,  2.099035907134980e-01,  2.969837280166353e-01, -1.882000000000000e+01,  3.293999999999995e+01, -3.465802370370348e+00
PdAg_1_5_100,  2.050856479851930e-01,  2.748794573864303e-01, -1.882000000000000e+01,  3.842999999999994e+01, -3.465802370370348e+00
PdAg_1_5_100,  2.038357874315140e-01,  2.638273220713279e-01, -1.882000000000000e+01,  4.117499999999993e+01, -3.465802370370348e+00
PdAg_1_5_100,  2.024470208367670e-01,  2.527751867562254e-01, -1.882000000000000e+01,  4.391999999999993e+01, -3.465802370370348e+00
PdAg_1_5_100,  2.000269286823050e-01,  2.306709161260204e-01, -1.882000000000000e+01,  4.940999999999992e+01, -3.465802370370348e+00
PdAg_1_5_100,  1.969854579108610e-01,  2.085666454958155e-01, -1.882000000000000e+01,  5.489999999999991e+01, -3.465802370370348e+00
PdAg_1_5_100,  1.963439311488950e-01,  1.975145101807130e-01, -1.882000000000000e+01,  5.764499999999990e+01, -3.465802370370348e+00
