# c0 + a0 * (std_dev / surface_area) + a1 * (time / av_bulk_int_dist) + a2 * (av_bulk_int_dist * time) + a3 * (av_BE_H_surf^3)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.131357810313011; Max AE: 0.818258640601943
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -1.360999538922890e+01, -1.558693323106526e-02,  1.589205415091956e-03, -1.936887318884180e-01, -9.579382838102268e-01, 
# 3   , -1.754388567683183e+01, -3.313694020745011e-02,  3.864438542785559e-03, -2.073801696892851e-01, -1.171341963989443e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 1;  1; A^-1 * min;                                       0|8|div; (time / av_bulk_int_dist); $\left(\frac{ time }{ av_{bulk, int, dist} } \right)$; (time ./ av_bulk_int_dist); time,av_bulk_int_dist
# 2;  1; A * min;                                          8|0|mult; (av_bulk_int_dist * time); $\left(av_{bulk, int, dist} time\right)$; (av_bulk_int_dist .* time); av_bulk_int_dist,time
# 3;  1; eV^3;                                             16|cb; (av_BE_H_surf^3); $\left(av_{BE, H, surf}^3\right)$; (av_BE_H_surf).^3; av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 167                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.231919774023598e-01,  4.109589041095890e-02,  4.694998956666899e+00,  3.881790000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  3.628741788873400e-01,  4.002099406523795e-01,  4.109589041095890e-02,  1.408499687000070e+01,  1.164537000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  3.099375324862660e-01,  3.887189222773896e-01,  4.109589041095890e-02,  1.877999582666759e+01,  1.552716000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.856868471553150e-01,  3.657368855274098e-01,  4.109589041095890e-02,  2.816999374000139e+01,  2.329074000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.813651505179750e-01,  3.542458671524200e-01,  4.109589041095890e-02,  3.286499269666829e+01,  2.717253000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.742250823045090e-01,  3.312638304024395e-01,  4.109589041095890e-02,  4.225499061000209e+01,  3.493611000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.739275035497000e-01,  3.197728120274498e-01,  4.109589041095890e-02,  4.694998956666898e+01,  3.881790000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.725813187048580e-01,  3.082817936524597e-01,  4.109589041095890e-02,  5.164498852333588e+01,  4.269969000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.699577938430830e-01,  2.852997569024797e-01,  4.109589041095890e-02,  6.103498643666968e+01,  5.046327000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.691444146104700e-01,  2.738087385274896e-01,  4.109589041095890e-02,  6.572998539333658e+01,  5.434506000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.679801391469650e-01,  2.623177201524999e-01,  4.109589041095890e-02,  7.042498435000348e+01,  5.822685000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.658907762370700e-01,  2.508267017775098e-01,  4.109589041095890e-02,  7.511998330667038e+01,  6.210864000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.637375021423530e-01,  2.278446650275300e-01,  4.109589041095890e-02,  8.450998122000418e+01,  6.987222000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.642144249687690e-01,  2.163536466525397e-01,  4.109589041095890e-02,  8.920498017667107e+01,  7.375400999999999e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.621887653386570e-01,  2.048626282775500e-01,  4.109589041095890e-02,  9.389997913333796e+01,  7.763579999999999e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.609797547787540e-01,  1.933716099025597e-01,  4.109589041095890e-02,  9.859497809000487e+01,  8.151759000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.597681369110620e-01,  1.818805915275700e-01,  4.109589041095890e-02,  1.032899770466718e+02,  8.539938000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.586590858830060e-01,  1.703895731525799e-01,  4.109589041095890e-02,  1.079849760033387e+02,  8.928117000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.564021611090790e-01,  1.588985547775898e-01,  4.109589041095890e-02,  1.126799749600056e+02,  9.316296000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.496764650829220e-01,  1.129344812776300e-01,  4.109589041095890e-02,  1.314599707866732e+02,  1.086901200000000e+03, -1.007769600000000e+01
PdAg_1_9_100,  2.479231710514490e-01,  1.014434629026403e-01,  4.109589041095890e-02,  1.361549697433400e+02,  1.125719100000000e+03, -1.007769600000000e+01
PdAg_1_9_100,  2.453013105463630e-01,  8.995244452764976e-02,  4.109589041095890e-02,  1.408499687000070e+02,  1.164537000000000e+03, -1.007769600000000e+01
PdAg_1_5_100,  5.770639017232591e-01,  4.323196918250199e-01,  5.128205128205128e-02,  4.709849982556117e+00,  3.869549999999995e+01, -1.084277570370365e+01
PdAg_1_5_100,  3.293542674131830e-01,  4.204026727582747e-01,  5.128205128205128e-02,  9.419699965112233e+00,  7.739099999999991e+01, -1.084277570370365e+01
PdAg_1_5_100,  2.565338589410230e-01,  4.084856536915292e-01,  5.128205128205128e-02,  1.412954994766835e+01,  1.160864999999999e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.398208440226360e-01,  3.965686346247840e-01,  5.128205128205128e-02,  1.883939993022447e+01,  1.547819999999998e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.303037511075600e-01,  3.846516155580385e-01,  5.128205128205128e-02,  2.354924991278058e+01,  1.934774999999998e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.236877838869310e-01,  3.608175774245476e-01,  5.128205128205128e-02,  3.296894987789282e+01,  2.708684999999997e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.195369868150280e-01,  3.489005583578023e-01,  5.128205128205128e-02,  3.767879986044893e+01,  3.095639999999996e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.141497061269980e-01,  3.250665202243114e-01,  5.128205128205128e-02,  4.709849982556117e+01,  3.869549999999995e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.121100061106850e-01,  3.131495011575663e-01,  5.128205128205128e-02,  5.180834980811728e+01,  4.256504999999995e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.099035907134980e-01,  3.012324820908211e-01,  5.128205128205128e-02,  5.651819979067340e+01,  4.643459999999994e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.050856479851930e-01,  2.773984439573302e-01,  5.128205128205128e-02,  6.593789975578564e+01,  5.417369999999994e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.038357874315140e-01,  2.654814248905845e-01,  5.128205128205128e-02,  7.064774973834176e+01,  5.804324999999993e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.013479605126910e-01,  2.416473867570939e-01,  5.128205128205128e-02,  8.006744970345399e+01,  6.578234999999992e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.000269286823050e-01,  2.297303676903482e-01,  5.128205128205128e-02,  8.477729968601011e+01,  6.965189999999991e+02, -1.084277570370365e+01
PdAg_1_5_100,  1.969854579108610e-01,  2.058963295568575e-01,  5.128205128205128e-02,  9.419699965112234e+01,  7.739099999999991e+02, -1.084277570370365e+01
PdAg_1_5_100,  1.963439311488950e-01,  1.939793104901121e-01,  5.128205128205128e-02,  9.890684963367846e+01,  8.126054999999990e+02, -1.084277570370365e+01
PdAg_1_5_100,  1.940684048443220e-01,  1.820622914233670e-01,  5.128205128205128e-02,  1.036166996162346e+02,  8.513009999999990e+02, -1.084277570370365e+01
PdAg_1_5_100,  1.926261364587620e-01,  1.701452723566213e-01,  5.128205128205128e-02,  1.083265495987907e+02,  8.899964999999989e+02, -1.084277570370365e+01
PdAg_1_5_100,  1.905512205622570e-01,  1.582282532898761e-01,  5.128205128205128e-02,  1.130363995813468e+02,  9.286919999999989e+02, -1.084277570370365e+01
PdAg_1_5_100,  1.891192110734720e-01,  1.463112342231308e-01,  5.128205128205128e-02,  1.177462495639029e+02,  9.673874999999988e+02, -1.084277570370365e+01
PdAg_1_5_100,  1.877437449997070e-01,  1.343942151563851e-01,  5.128205128205128e-02,  1.224560995464590e+02,  1.006082999999999e+03, -1.084277570370365e+01
PdAg_1_5_100,  1.864446344370330e-01,  1.224771960896401e-01,  5.128205128205128e-02,  1.271659495290152e+02,  1.044778499999999e+03, -1.084277570370365e+01
PdAg_1_5_100,  1.848761965650050e-01,  1.105601770228949e-01,  5.128205128205128e-02,  1.318757995115713e+02,  1.083473999999999e+03, -1.084277570370365e+01
PdAg_1_1_100,  1.542341149952750e+00,  1.179270470323155e+00,  5.797101449275362e-02,  9.571074087203119e+00,  7.616700000000000e+01, -1.525299200000000e+01
PdAg_1_1_100,  1.476543275391880e+00,  1.165201128375402e+00,  5.797101449275362e-02,  1.435661113080468e+01,  1.142505000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  1.443594468047830e+00,  1.151131786427650e+00,  5.797101449275362e-02,  1.914214817440624e+01,  1.523340000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  1.385113175840640e+00,  1.137062444479898e+00,  5.797101449275362e-02,  2.392768521800780e+01,  1.904175000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  1.289499794158380e+00,  1.122993102532145e+00,  5.797101449275362e-02,  2.871322226160936e+01,  2.285010000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  1.208605384312000e+00,  1.108923760584393e+00,  5.797101449275362e-02,  3.349875930521092e+01,  2.665845000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  1.124408621718650e+00,  1.094854418636640e+00,  5.797101449275362e-02,  3.828429634881248e+01,  3.046680000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  1.055882869290930e+00,  1.080785076688888e+00,  5.797101449275362e-02,  4.306983339241403e+01,  3.427515000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  1.010936655602070e+00,  1.066715734741136e+00,  5.797101449275362e-02,  4.785537043601560e+01,  3.808350000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  9.741100506334990e-01,  1.052646392793383e+00,  5.797101449275362e-02,  5.264090747961716e+01,  4.189185000000001e+02, -1.525299200000000e+01
PdAg_1_1_100,  9.217389182624810e-01,  1.024507708897878e+00,  5.797101449275362e-02,  6.221198156682027e+01,  4.950855000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  8.704807885278290e-01,  9.963690250023732e-01,  5.797101449275362e-02,  7.178305565402339e+01,  5.712525000000001e+02, -1.525299200000000e+01
PdAg_1_1_100,  8.640896201761730e-01,  9.822996830546206e-01,  5.797101449275362e-02,  7.656859269762495e+01,  6.093360000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  8.596665013433460e-01,  9.682303411068679e-01,  5.797101449275362e-02,  8.135412974122652e+01,  6.474195000000001e+02, -1.525299200000000e+01
PdAg_1_1_100,  8.441400331191570e-01,  9.541609991591155e-01,  5.797101449275362e-02,  8.613966678482807e+01,  6.855030000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  8.305147648333780e-01,  9.400916572113635e-01,  5.797101449275362e-02,  9.092520382842963e+01,  7.235865000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  8.088625391977590e-01,  9.119529733158581e-01,  5.797101449275362e-02,  1.004962779156327e+02,  7.997535000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  7.987791951287240e-01,  8.978836313681057e-01,  5.797101449275362e-02,  1.052818149592343e+02,  8.378370000000001e+02, -1.525299200000000e+01
PdAg_1_1_100,  7.811341630508190e-01,  8.697449474726012e-01,  5.797101449275362e-02,  1.148528890464374e+02,  9.140040000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  7.748485070789100e-01,  8.556756055248483e-01,  5.797101449275362e-02,  1.196384260900390e+02,  9.520875000000001e+02, -1.525299200000000e+01
PdAg_1_1_100,  7.616541677031310e-01,  8.416062635770963e-01,  5.797101449275362e-02,  1.244239631336405e+02,  9.901710000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  7.431020909817240e-01,  8.134675796815910e-01,  5.797101449275362e-02,  1.339950372208437e+02,  1.066338000000000e+03, -1.525299200000000e+01
PdAg_1_1_100,  7.336770425315350e-01,  7.993982377338386e-01,  5.797101449275362e-02,  1.387805742644452e+02,  1.104421500000000e+03, -1.525299200000000e+01
PdAu_1_9_100,  1.349591588597210e+00,  7.345835077976204e-01,  4.477611940298507e-02,  4.709740440971253e+00,  3.869640000000000e+01, -1.194616965600000e+01
PdAu_1_9_100,  7.195733252458120e-01,  7.107557450686157e-01,  4.477611940298507e-02,  1.412922132291376e+01,  1.160892000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  6.672603147247390e-01,  6.988418637041132e-01,  4.477611940298507e-02,  1.883896176388501e+01,  1.547856000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  6.029841566832330e-01,  6.750141009751085e-01,  4.477611940298507e-02,  2.825844264582752e+01,  2.321784000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  5.621689151329150e-01,  6.511863382461036e-01,  4.477611940298507e-02,  3.767792352777003e+01,  3.095712000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  5.301672649293200e-01,  6.273585755170985e-01,  4.477611940298507e-02,  4.709740440971253e+01,  3.869640000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  5.147793772808130e-01,  6.154446941525962e-01,  4.477611940298507e-02,  5.180714485068378e+01,  4.256604000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  5.017990123442060e-01,  6.035308127880938e-01,  4.477611940298507e-02,  5.651688529165504e+01,  4.643568000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  4.459077354116620e-01,  5.439614059655815e-01,  4.477611940298507e-02,  8.006558749651130e+01,  6.578388000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  4.134486377523850e-01,  5.082197618720741e-01,  4.477611940298507e-02,  9.419480881942506e+01,  7.739280000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  4.067073142923030e-01,  4.963058805075720e-01,  4.477611940298507e-02,  9.890454926039631e+01,  8.126244000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  3.933072394218520e-01,  4.843919991430695e-01,  4.477611940298507e-02,  1.036142897013676e+02,  8.513208000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  3.810334251884040e-01,  4.724781177785674e-01,  4.477611940298507e-02,  1.083240301423388e+02,  8.900172000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  3.637516913038650e-01,  4.605642364140646e-01,  4.477611940298507e-02,  1.130337705833101e+02,  9.287136000000000e+02, -1.194616965600000e+01
