# c0 + a0 * (std_dev * time) + a1 * (av_BE_H_surf^2)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.19679849775631; Max AE: 0.715132744660718
# Coefficients
# Task   a0                      a1                      c0
# 2   , -4.103407582177625e-04,  6.236334268325686e-01, -2.465957270557328e+00, 
# 3   , -4.034168607200930e-04,  5.817246103242679e-01, -2.429791267098734e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm;                                         3|0|mult; (std_dev * time); $\left(std_{dev} time\right)$; (std_dev .* time); std_dev,time
# 1;  1; eV^2;                                             16|sq; (av_BE_H_surf^2); $\left(av_{BE, H, surf}^2\right)$; (av_BE_H_surf).^2; av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 179                   
# 3   , 166                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.270480449648849e-01,  4.050000000000000e+01,  4.665600000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  3.938104435492461e-01,  1.215000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  3.099375324862660e-01,  3.771916428414267e-01,  1.620000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.605728421336073e-01,  2.025000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.273352407179685e-01,  2.835000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  2.940976393023297e-01,  3.645000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.739275035497000e-01,  2.774788385945107e-01,  4.050000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.442412371788719e-01,  4.860000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.276224364710525e-01,  5.265000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  1.943848350554137e-01,  6.075000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  1.611472336397749e-01,  6.885000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  1.112908315163167e-01,  8.100000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  7.805323010067791e-02,  8.910000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.586590858830060e-01,  6.143442939285851e-02,  9.315000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.564021611090790e-01,  4.481562868503911e-02,  9.720000000000000e+02,  4.665600000000000e+00
PdAg_1_9_100,  2.537741737812260e-01,  1.157802726940030e-02,  1.053000000000000e+03,  4.665600000000000e+00
PdAg_1_9_100,  2.518192543109310e-01, -5.040773438419105e-03,  1.093500000000000e+03,  4.665600000000000e+00
PdAg_1_9_100,  2.496764650829220e-01, -2.165957414623851e-02,  1.134000000000000e+03,  4.665600000000000e+00
PdAg_1_9_100,  2.479231710514490e-01, -3.827837485405791e-02,  1.174500000000000e+03,  4.665600000000000e+00
PdAg_1_9_100,  2.453013105463630e-01, -5.489717556187687e-02,  1.215000000000000e+03,  4.665600000000000e+00
PdAg_1_5_100,  5.770639017232591e-01,  5.669674769074829e-01,  5.400000000000000e+01,  4.898844444444429e+00
PdAg_1_5_100,  3.293542674131830e-01,  5.448090759637237e-01,  1.080000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  2.565338589410230e-01,  5.226506750199645e-01,  1.620000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  2.398208440226360e-01,  5.004922740762053e-01,  2.160000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  2.303037511075600e-01,  4.783338731324461e-01,  2.700000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  2.236877838869310e-01,  4.340170712449277e-01,  3.780000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  2.195369868150280e-01,  4.118586703011690e-01,  4.320000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  2.121100061106850e-01,  3.453834674698913e-01,  5.940000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  2.099035907134980e-01,  3.232250665261321e-01,  6.480000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  2.050856479851930e-01,  2.789082646386137e-01,  7.560000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  2.038357874315140e-01,  2.567498636948545e-01,  8.100000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  2.024470208367670e-01,  2.345914627510953e-01,  8.640000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  2.013479605126910e-01,  2.124330618073361e-01,  9.180000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  2.000269286823050e-01,  1.902746608635769e-01,  9.720000000000000e+02,  4.898844444444429e+00
PdAg_1_5_100,  1.969854579108610e-01,  1.459578589760585e-01,  1.080000000000000e+03,  4.898844444444429e+00
