# c0 + a0 * (exp(1.500721e-03*((time+1.196040e+03) / (av_BE_H_subsurf+9.585465e-01))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.202949776832193; Max AE: 0.727044929162098
# Coefficients
# Task   a0                      c0
# 2   ,  8.868240389074140e+00,  1.536203714428385e-01, 
# 3   ,  8.939844127234730e+00, -4.186084583829950e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|19|div|exp:1.5007208397804e-03,0.0000000000000e+00,1.1960395557669e+03,9.5854649754138e-01; (exp(1.500721e-03*((time+1.196040e+03) / (av_BE_H_subsurf+9.585465e-01)))); $\left(\exp{ \left(1.501e-03\left(\frac{ time +1.196e+03 }{ av_{BE, H, subsurf}+9.585e-01 } \right) \right)}\right)$; exp(1.500721e-03.*((time+1.196040e+03) ./ (av_BE_H_subsurf+9.585465e-01))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.453938985780185e-01,  2.162475516241633e-02
PdAg_1_9_100,  3.628741788873400e-01,  3.296640888685082e-01,  1.985103128717161e-02
PdAg_1_9_100,  3.099375324862660e-01,  3.222898367418720e-01,  1.901949630355508e-02
PdAg_1_9_100,  2.919675286925200e-01,  3.152244828549596e-01,  1.822279328503778e-02
PdAg_1_9_100,  2.856868471553150e-01,  3.084550878451254e-01,  1.745946316397181e-02
PdAg_1_9_100,  2.813651505179750e-01,  3.019692543635144e-01,  1.672810799123632e-02
PdAg_1_9_100,  2.742250823045090e-01,  2.898012573838490e-01,  1.535602103307757e-02
PdAg_1_9_100,  2.739275035497000e-01,  2.840968096339217e-01,  1.471277643215817e-02
PdAg_1_9_100,  2.725813187048580e-01,  2.786313140974918e-01,  1.409647654665174e-02
PdAg_1_9_100,  2.710137208355010e-01,  2.733947613638614e-01,  1.350599269597918e-02
PdAg_1_9_100,  2.699577938430830e-01,  2.683775613040831e-01,  1.294024347858544e-02
PdAg_1_9_100,  2.691444146104700e-01,  2.635705255077709e-01,  1.239819279148018e-02
PdAg_1_9_100,  2.679801391469650e-01,  2.589648504556087e-01,  1.187884793273723e-02
PdAg_1_9_100,  2.658907762370700e-01,  2.545521013967432e-01,  1.138125778347808e-02
PdAg_1_9_100,  2.650229112638520e-01,  2.503241969015321e-01,  1.090451106600976e-02
PdAg_1_9_100,  2.637375021423530e-01,  2.462733940613586e-01,  1.044773467492724e-02
PdAg_1_9_100,  2.642144249687690e-01,  2.423922743084064e-01,  1.001009207812372e-02
PdAg_1_9_100,  2.621887653386570e-01,  2.386737298294286e-01,  9.590781784780851e-03
PdAg_1_9_100,  2.609797547787540e-01,  2.351109505486247e-01,  9.189035877532632e-03
PdAg_1_9_100,  2.597681369110620e-01,  2.316974116557905e-01,  8.804118606115432e-03
PdAg_1_9_100,  2.586590858830060e-01,  2.284268616568964e-01,  8.435325039928002e-03
PdAg_1_9_100,  2.564021611090790e-01,  2.252933109252146e-01,  8.081979777034310e-03
PdAg_1_9_100,  2.537741737812260e-01,  2.194144927367984e-01,  7.419072827008574e-03
PdAg_1_9_100,  2.518192543109310e-01,  2.166584589176591e-01,  7.108297103953659e-03
PdAg_1_9_100,  2.496764650829220e-01,  2.140178719235987e-01,  6.810539388983097e-03
PdAg_1_9_100,  2.479231710514490e-01,  2.114878958308602e-01,  6.525254373947249e-03
PdAg_1_9_100,  2.453013105463630e-01,  2.090638972865116e-01,  6.251919592975930e-03
PdAg_1_5_100,  5.770639017232591e-01,  4.900463790058674e-01,  3.793604963364693e-02
PdAg_1_5_100,  3.293542674131830e-01,  4.779823760562327e-01,  3.657568924417239e-02
PdAg_1_5_100,  2.565338589410230e-01,  4.663509798727127e-01,  3.526411043335777e-02
PdAg_1_5_100,  2.398208440226360e-01,  4.551366774771634e-01,  3.399956392767604e-02
PdAg_1_5_100,  2.303037511075600e-01,  4.443245121760618e-01,  3.278036318133381e-02
PdAg_1_5_100,  2.236877838869310e-01,  4.238494285336535e-01,  3.047155300658549e-02
PdAg_1_5_100,  2.195369868150280e-01,  4.141592022475364e-01,  2.937886428131642e-02
PdAg_1_5_100,  2.141497061269980e-01,  3.958087434636798e-01,  2.730963092962867e-02
PdAg_1_5_100,  2.121100061106850e-01,  3.871240366671064e-01,  2.633032653376755e-02
PdAg_1_5_100,  2.099035907134980e-01,  3.787507574238588e-01,  2.538613931331696e-02
PdAg_1_5_100,  2.050856479851930e-01,  3.628942117558725e-01,  2.359812444539323e-02
PdAg_1_5_100,  2.038357874315140e-01,  3.553897972039004e-01,  2.275191209404361e-02
PdAg_1_5_100,  2.024470208367670e-01,  3.481544857451940e-01,  2.193604432983410e-02
PdAg_1_5_100,  2.013479605126910e-01,  3.411786275297481e-01,  2.114943301694723e-02
PdAg_1_5_100,  2.000269286823050e-01,  3.344529187444756e-01,  2.039102903936012e-02
PdAg_1_5_100,  1.969854579108610e-01,  3.217163903897983e-01,  1.895483337980527e-02
