# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((av_d_band_center_surf / time) * (av_E_def_subsurf^3)) + a2 * (exp(3.867141e-03*((time+4.272221e+02) / (av_mu_C_critical_subsurf+4.069802e+00)))) + a3 * ((av_mu_C_critical_surf^6) / sqrt(std_dev))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.0999755354196208; Max AE: 0.604760985889531
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -5.910240188814246e-07, -9.890012290766487e+01,  1.894536878547447e+00,  2.597984218013555e-05,  1.413120330781255e-01, 
# 3   , -1.200296466830989e-06, -9.418908110377946e+01,  2.050995761048770e+00,  2.057055294533579e-05, -4.400781615312417e-04, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; eV^4 * min^-1;                                    18|0|div|14|cb|mult; ((av_d_band_center_surf / time) * (av_E_def_subsurf^3)); $\left(\left(\frac{ av_{d, band, center, surf} }{ time } \right) \left(av_{E, def, subsurf}^3\right)\right)$; ((av_d_band_center_surf ./ time) .* (av_E_def_subsurf).^3); av_d_band_center_surf,time,av_E_def_subsurf
# 2;  2; Unitless;                                         0|12|div|exp:3.8671411523723e-03,0.0000000000000e+00,4.2722210911720e+02,4.0698017999994e+00; (exp(3.867141e-03*((time+4.272221e+02) / (av_mu_C_critical_subsurf+4.069802e+00)))); $\left(\exp{ \left(3.867e-03\left(\frac{ time +4.272e+02 }{ av_{mu, C, critical, subsurf}+4.070e+00 } \right) \right)}\right)$; exp(3.867141e-03.*((time+4.272221e+02) ./ (av_mu_C_critical_subsurf+4.069802e+00))); time,av_mu_C_critical_subsurf
# 3;  2; eV^6 * nm^-0.5;                                   11|sp|3|sqrt|div; ((av_mu_C_critical_surf^6) / sqrt(std_dev)); $\left(\frac{ \left(av_{mu, C, critical, surf}^6\right) }{ \left(\sqrt{ std_{dev} }\right) } \right)$; ((av_mu_C_critical_surf).^6 ./ sqrt(std_dev)); av_mu_C_critical_surf,std_dev
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.826368998753043e-01,  7.660313335186942e+01, -2.506634795259259e-03,  1.429120029768534e-02,  2.555382949986874e+03
PdAg_1_9_100,  3.628741788873400e-01,  3.110712635212908e-01,  2.298094000556082e+02, -8.355449317530862e-04,  1.101647128592192e-02,  2.555382949986874e+03
PdAg_1_9_100,  3.099375324862660e-01,  2.878205182298443e-01,  3.064125334074777e+02, -6.266586988148147e-04,  9.672292179547204e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.919675286925200e-01,  2.731440466106908e-01,  3.830156667593470e+02, -5.013269590518517e-04,  8.492123619119567e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.856868471553150e-01,  2.628721607262757e-01,  4.596188001112164e+02, -4.177724658765431e-04,  7.455953792928573e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.813651505179750e-01,  2.552008128069699e-01,  5.362219334630859e+02, -3.580906850370370e-04,  6.546212638394155e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.742250823045090e-01,  2.443983755673669e-01,  6.894282001668247e+02, -2.785149772510287e-04,  5.046193605871480e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.739275035497000e-01,  2.404320931530294e-01,  7.660313335186941e+02, -2.506634795259258e-04,  4.430480294804063e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.725813187048580e-01,  2.371089618606433e-01,  8.426344668705635e+02, -2.278758904781144e-04,  3.889893487203433e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.710137208355010e-01,  2.342864099496264e-01,  9.192376002224329e+02, -2.088862329382715e-04,  3.415266592999682e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.699577938430830e-01,  2.318625093597759e-01,  9.958407335743022e+02, -1.928180611737891e-04,  2.998551487240155e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.691444146104700e-01,  2.297619583399715e-01,  1.072443866926172e+03, -1.790453425185185e-04,  2.632682040125288e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.679801391469650e-01,  2.279275991532065e-01,  1.149047000278041e+03, -1.671089863506172e-04,  2.311454298481135e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.658907762370700e-01,  2.263150592145701e-01,  1.225650133629911e+03, -1.566646747037037e-04,  2.029421286936970e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.650229112638520e-01,  2.248892375680827e-01,  1.302253266981780e+03, -1.474491056034858e-04,  1.781800644978889e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.637375021423530e-01,  2.236219255604492e-01,  1.378856400333649e+03, -1.392574886255144e-04,  1.564393533704857e-03,  2.555382949986874e+03
