# c0 + a0 * ((particle_diameter * time) / (av_d_band_center_surf^6)) + a1 * ((ln(-1.0*av_delta_M1_M2_subsurf+9.347000e-02)) / (time^3)) + a2 * ((std_dev * total_metal_loading) / (av_PE * surface_area)) + a3 * ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)) + a4 * (exp(3.963958e-03*((time+3.841211e+02) / (av_mu_C_critical_subsurf+4.086043e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.0895013977534973; Max AE: 0.366742142182776
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  1.831800481934543e-02, -8.563336816711973e+01, -9.503146221836114e+02,  9.147186195264444e-07,  2.854005387603016e+00,  5.071970813585841e-01, 
# 3   ,  7.913218644154115e-03, -1.915279872429329e+02, -8.221112208831395e+02,  1.309715701392841e-06,  2.799265742217567e+00,  3.138702688714494e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-6 * min * nm;                                 2|0|mult|18|sp|div; ((particle_diameter * time) / (av_d_band_center_surf^6)); $\left(\frac{ \left(particle_{diameter} time\right) }{ \left(av_{d, band, center, surf}^6\right) } \right)$; ((particle_diameter .* time) ./ (av_d_band_center_surf).^6); particle_diameter,time,av_d_band_center_surf
# 1;  2; min^-3;                                           15|log:-1.0000000000000e+00,9.3470000100000e-02|0|cb|div; ((ln(-1.0*av_delta_M1_M2_subsurf+9.347000e-02)) / (time^3)); $\left(\frac{ \left(\ln{ \left(-1.0av_{delta, M1, M2, subsurf}+9.347e-02 \right)}\right) }{ \left(time^3\right) } \right)$; (log(-1.0*av_delta_M1_M2_subsurf+9.347000e-02) ./ (time).^3); av_delta_M1_M2_subsurf,time
# 2;  2; g * m^-2 * nm;                                    3|1|mult|7|4|mult|div; ((std_dev * total_metal_loading) / (av_PE * surface_area)); $\left(\frac{ \left(std_{dev} total_{metal, loading}\right) }{ \left(av_{PE} surface_{area}\right) } \right)$; ((std_dev .* total_metal_loading) ./ (av_PE .* surface_area)); std_dev,total_metal_loading,av_PE,surface_area
# 3;  2; eV^-2 * min;                                      0|17|div|18|16|sub|div; ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((time ./ av_W_change_H) ./ (av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 4;  2; Unitless;                                         0|12|div|exp:3.9639576013103e-03,0.0000000000000e+00,3.8412111229895e+02,4.0860426120706e+00; (exp(3.963958e-03*((time+3.841211e+02) / (av_mu_C_critical_subsurf+4.086043e+00)))); $\left(\exp{ \left(3.964e-03\left(\frac{ time +3.841e+02 }{ av_{mu, C, critical, subsurf}+4.086e+00 } \right) \right)}\right)$; exp(3.963958e-03.*((time+3.841211e+02) ./ (av_mu_C_critical_subsurf+4.086043e+00))); time,av_mu_C_critical_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.359041839216528e-01,  2.407387443332784e-02, -1.567287656866014e-03,  2.666927992944190e-04, -7.660313335186942e+01,  1.666644835029361e-02
PdAg_1_9_100,  3.099375324862660e-01,  2.886817532573579e-01,  9.629549773331135e-02, -2.448886963853146e-05,  2.666927992944190e-04, -3.064125334074777e+02,  1.098316573043217e-02
PdAg_1_9_100,  2.919675286925200e-01,  2.839611585224864e-01,  1.203693721666392e-01, -1.253830125492811e-05,  2.666927992944190e-04, -3.830156667593470e+02,  9.557750639822390e-03
PdAg_1_9_100,  2.856868471553150e-01,  2.803395575174641e-01,  1.444432465999670e-01, -7.255961374379692e-06,  2.666927992944190e-04, -4.596188001112164e+02,  8.317328494817382e-03
PdAg_1_9_100,  2.813651505179750e-01,  2.773996874897234e-01,  1.685171210332949e-01, -4.569351769288669e-06,  2.666927992944190e-04, -5.362219334630859e+02,  7.237890576729539e-03
PdAg_1_9_100,  2.739275035497000e-01,  2.712112965830441e-01,  2.407387443332784e-01, -1.567287656866014e-06,  2.666927992944190e-04, -7.660313335186941e+02,  4.769759583573988e-03
PdAg_1_9_100,  2.725813187048580e-01,  2.697821257584334e-01,  2.648126187666062e-01, -1.177526413873789e-06,  2.666927992944190e-04, -8.426344668705635e+02,  4.150731567801756e-03
PdAg_1_9_100,  2.710137208355010e-01,  2.685924517240408e-01,  2.888864931999340e-01, -9.069951717974615e-07,  2.666927992944190e-04, -9.192376002224329e+02,  3.612042126248351e-03
PdAg_1_9_100,  2.691444146104700e-01,  2.668033718685916e-01,  3.370342420665897e-01, -5.711689711610837e-07,  2.666927992944190e-04, -1.072443866926172e+03,  2.735326192691808e-03
PdAg_1_9_100,  2.658907762370700e-01,  2.656342285233138e-01,  3.851819909332454e-01, -3.826385881020541e-07,  2.666927992944190e-04, -1.225650133629911e+03,  2.071407009916868e-03
PdAg_1_9_100,  2.650229112638520e-01,  2.652324497184645e-01,  4.092558653665733e-01, -3.190082753645458e-07,  2.666927992944190e-04, -1.302253266981780e+03,  1.802576065979703e-03
PdAg_1_9_100,  2.637375021423530e-01,  2.649313895281215e-01,  4.333297397999011e-01, -2.687393101622108e-07,  2.666927992944190e-04, -1.378856400333649e+03,  1.568634487614903e-03
PdAg_1_9_100,  2.642144249687690e-01,  2.647178397747368e-01,  4.574036142332289e-01, -2.285008976331846e-07,  2.666927992944190e-04, -1.455459533685519e+03,  1.365054269927589e-03
PdAg_1_9_100,  2.621887653386570e-01,  2.645803506861997e-01,  4.814774886665568e-01, -1.959109571082517e-07,  2.666927992944190e-04, -1.532062667037388e+03,  1.187895060678404e-03
PdAg_1_9_100,  2.609797547787540e-01,  2.645089874658507e-01,  5.055513630998846e-01, -1.692352507143952e-07,  2.666927992944190e-04, -1.608665800389258e+03,  1.033727893660230e-03
PdAg_1_9_100,  2.597681369110620e-01,  2.644951240421832e-01,  5.296252375332124e-01, -1.471908017342236e-07,  2.666927992944190e-04, -1.685268933741127e+03,  8.995688200950553e-04
PdAg_1_9_100,  2.586590858830060e-01,  2.645312669950367e-01,  5.536991119665403e-01, -1.288146344099625e-07,  2.666927992944190e-04, -1.761872067092997e+03,  7.828211534680605e-04
