# c0 + a0 * ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)) + a1 * (exp(3.733982e-03*((time+4.385067e+02) / (av_mu_C_critical_subsurf+4.128652e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.133320086056786; Max AE: 0.461260161481206
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  1.028932981674816e-06,  3.272858832957291e+00,  2.958736072141956e-01, 
# 3   ,  1.430952198074646e-06,  3.123495421687362e+00,  1.326666354971527e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|sub|div; ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((time ./ av_W_change_H) ./ (av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; Unitless;                                         0|12|div|exp:3.7339824177242e-03,0.0000000000000e+00,4.3850665637152e+02,4.1286521453995e+00; (exp(3.733982e-03*((time+4.385067e+02) / (av_mu_C_critical_subsurf+4.128652e+00)))); $\left(\exp{ \left(3.734e-03\left(\frac{ time +4.385e+02 }{ av_{mu, C, critical, subsurf}+4.129e+00 } \right) \right)}\right)$; exp(3.733982e-03.*((time+4.385067e+02) ./ (av_mu_C_critical_subsurf+4.128652e+00))); time,av_mu_C_critical_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.194454230505590e-01, -7.660313335186942e+01,  7.226292527074416e-03
PdAg_1_9_100,  3.628741788873400e-01,  3.132548019503739e-01, -2.298094000556082e+02,  5.382955424165177e-03
PdAg_1_9_100,  2.919675286925200e-01,  3.086031193501408e-01, -3.830156667593470e+02,  4.009830627529329e-03
PdAg_1_9_100,  2.856868471553150e-01,  3.067274561745290e-01, -4.596188001112164e+02,  3.460817126820870e-03
PdAg_1_9_100,  2.813651505179750e-01,  3.050978112309762e-01, -5.362219334630859e+02,  2.986972841961779e-03
PdAg_1_9_100,  2.742250823045090e-01,  3.024464517594579e-01, -6.894282001668247e+02,  2.225033321199046e-03
PdAg_1_9_100,  2.725813187048580e-01,  3.004312092853603e-01, -8.426344668705635e+02,  1.657455069860794e-03
PdAg_1_9_100,  2.710137208355010e-01,  2.996096682307706e-01, -9.192376002224329e+02,  1.430521492186982e-03
PdAg_1_9_100,  2.699577938430830e-01,  2.988898182958020e-01, -9.958407335743022e+02,  1.234658952040699e-03
PdAg_1_9_100,  2.691444146104700e-01,  2.982577362495852e-01, -1.072443866926172e+03,  1.065613299890909e-03
PdAg_1_9_100,  2.679801391469650e-01,  2.977014051865873e-01, -1.149047000278041e+03,  9.197128510893909e-04
PdAg_1_9_100,  2.658907762370700e-01,  2.972104535184941e-01, -1.225650133629911e+03,  7.937886365960076e-04
PdAg_1_9_100,  2.650229112638520e-01,  2.967759297025085e-01, -1.302253266981780e+03,  6.851055727258795e-04
PdAg_1_9_100,  2.637375021423530e-01,  2.963901078131487e-01, -1.378856400333649e+03,  5.913030549200679e-04
PdAg_1_9_100,  2.642144249687690e-01,  2.960463197345486e-01, -1.455459533685519e+03,  5.103436852318534e-04
PdAg_1_9_100,  2.609797547787540e-01,  2.954626124322294e-01, -1.608665800389258e+03,  3.801613757420698e-04
PdAg_1_9_100,  2.597681369110620e-01,  2.952134389715911e-01, -1.685268933741127e+03,  3.281108661027398e-04
PdAg_1_9_100,  2.564021611090790e-01,  2.947818715577763e-01, -1.838475200444866e+03,  2.444138761056124e-04
PdAg_1_9_100,  2.537741737812260e-01,  2.944201798709967e-01, -1.991681467148604e+03,  1.820669444524401e-04
PdAg_1_9_100,  2.518192543109310e-01,  2.942597744310058e-01, -2.068284600500474e+03,  1.571389063824843e-04
PdAg_1_9_100,  2.496764650829220e-01,  2.941105394847217e-01, -2.144887733852343e+03,  1.356239375211428e-04
PdAg_1_9_100,  2.453013105463630e-01,  2.938396727613364e-01, -2.298094000556082e+03,  1.010279624566542e-04
PdAg_1_5_100,  5.770639017232591e-01,  4.708181717298525e-01, -9.122135255363506e+01,  5.348181333435973e-02
PdAg_1_5_100,  3.293542674131830e-01,  4.560654255649818e-01, -1.824427051072701e+02,  4.900288947764397e-02
PdAg_1_5_100,  2.398208440226360e-01,  4.301400216791063e-01, -3.648854102145402e+02,  4.113891370510247e-02
PdAg_1_5_100,  2.236877838869310e-01,  3.987848686256816e-01, -6.385494678754454e+02,  3.164459309289292e-02
PdAg_1_5_100,  2.195369868150280e-01,  3.900175087322279e-01, -7.297708204290805e+02,  2.899446374791868e-02
PdAg_1_5_100,  2.141497061269980e-01,  3.746010873907087e-01, -9.122135255363507e+02,  2.434143689823692e-02
PdAg_1_5_100,  2.121100061106850e-01,  3.678354571286896e-01, -1.003434878089986e+03,  2.230292257658037e-02
PdAg_1_5_100,  2.050856479851930e-01,  3.507077460870696e-01, -1.277098935750891e+03,  1.715570116355902e-02
PdAg_1_5_100,  2.038357874315140e-01,  3.459116615612200e-01, -1.368320288304526e+03,  1.571896829252183e-02
PdAg_1_5_100,  2.024470208367670e-01,  3.415093726332949e-01, -1.459541640858161e+03,  1.440255701738087e-02
PdAg_1_5_100,  2.013479605126910e-01,  3.374679002326862e-01, -1.550762993411796e+03,  1.319639080496091e-02
PdAg_1_5_100,  1.969854579108610e-01,  3.272186513768539e-01, -1.824427051072701e+03,  1.015083724162574e-02
PdAg_1_5_100,  1.963439311488950e-01,  3.243425372450321e-01, -1.915648403626337e+03,  9.300738408908209e-03
PdAg_1_5_100,  1.940684048443220e-01,  3.216994275811067e-01, -2.006869756179971e+03,  8.521832523943224e-03
PdAg_1_5_100,  1.926261364587620e-01,  3.192698090364283e-01, -2.098091108733607e+03,  7.808157414316686e-03
PdAg_1_5_100,  1.905512205622570e-01,  3.170358024403485e-01, -2.189312461287242e+03,  7.154250219709517e-03
PdAg_1_5_100,  1.891192110734720e-01,  3.149810259432513e-01, -2.280533813840877e+03,  6.555105576171708e-03
PdAg_1_5_100,  1.864446344370330e-01,  3.113503805802544e-01, -2.462976518948147e+03,  5.503143294213137e-03
PdAg_1_5_100,  1.848761965650050e-01,  3.097481576872895e-01, -2.554197871501782e+03,  5.042273360105251e-03
PdAg_1_5_100,  1.849359671980280e-01,  3.069120939453526e-01, -2.736640576609052e+03,  4.233090147337987e-03
PdAg_1_1_100,  1.535896786579120e+00,  1.540561958423299e+00, -3.789473684210525e+02,  3.804252875550280e-01
PdAg_1_1_100,  1.542341149952750e+00,  1.504746301214258e+00, -7.578947368421051e+02,  3.696011892448226e-01
PdAg_1_1_100,  1.443594468047830e+00,  1.436110174268166e+00, -1.515789473684210e+03,  3.488681520079541e-01
PdAg_1_1_100,  1.385113175840640e+00,  1.403233162563201e+00, -1.894736842105263e+03,  3.389419370633507e-01
PdAg_1_1_100,  1.289499794158380e+00,  1.371280494161699e+00, -2.273684210526315e+03,  3.292981489970946e-01
PdAg_1_1_100,  1.055882869290930e+00,  1.280709269065964e+00, -3.410526315789473e+03,  3.019821248965709e-01
PdAg_1_1_100,  1.010936655602070e+00,  1.252198351126680e+00, -3.789473684210526e+03,  2.933899405315070e-01
PdAg_1_1_100,  9.217389182624810e-01,  1.171375882217621e+00, -4.926315789473683e+03,  2.690525833042710e-01
PdAg_1_1_100,  8.995066396137220e-01,  1.145931410192199e+00, -5.305263157894736e+03,  2.613973308603101e-01
PdAg_1_1_100,  8.704807885278290e-01,  1.121199806200804e+00, -5.684210526315788e+03,  2.539598904487075e-01
PdAg_1_1_100,  8.640896201761730e-01,  1.097160787276099e+00, -6.063157894736841e+03,  2.467340647452356e-01
PdAg_1_1_100,  8.596665013433460e-01,  1.073794647554422e+00, -6.442105263157893e+03,  2.397138327558132e-01
PdAg_1_1_100,  8.441400331191570e-01,  1.051082241855672e+00, -6.821052631578946e+03,  2.328933447994500e-01
PdAg_1_1_100,  8.305147648333780e-01,  1.029004969730395e+00, -7.199999999999999e+03,  2.262669176339394e-01
PdAg_1_1_100,  7.987791951287240e-01,  9.664057988554966e-01, -8.336842105263157e+03,  2.074975665335345e-01
PdAg_1_1_100,  7.811341630508190e-01,  9.275308118384814e-01, -9.094736842105262e+03,  1.958578453998189e-01
PdAg_1_1_100,  7.616541677031310e-01,  8.907927996996460e-01, -9.852631578947367e+03,  1.848710625647738e-01
