# c0 + a0 * ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)) + a1 * ((av_d_band_center_surf + av_E_b_C_subsurf) / (ln(1.0*time+6.130780e+00)))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.13566210328948; Max AE: 0.531096779445911
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  1.173927898340071e-06,  1.729881329165082e+00, -8.334279264944447e-02, 
# 3   ,  1.579798010535304e-06,  1.593530995493907e+00, -2.062980155267126e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|sub|div; ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((time ./ av_W_change_H) ./ (av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; eV;                                               18|13|add|0|log:1.0000000000000e+00,6.1307800341335e+00|div; ((av_d_band_center_surf + av_E_b_C_subsurf) / (ln(1.0*time+6.130780e+00))); $\left(\frac{ \left(av_{d, band, center, surf} + av_{E, b, C, subsurf}\right) }{ \left(\ln{ \left(1.0time+6.131e+00 \right)}\right) } \right)$; ((av_d_band_center_surf + av_E_b_C_subsurf) ./ log(1.0*time+6.130780e+00)); av_d_band_center_surf,av_E_b_C_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.849038967570504e-01, -7.660313335186942e+01,  2.707333781028072e-01
PdAg_1_9_100,  3.628741788873400e-01,  2.792686608408991e-01, -2.298094000556082e+02,  2.097723277535531e-01
PdAg_1_9_100,  2.919675286925200e-01,  2.405304105462861e-01, -3.830156667593470e+02,  1.874827079201863e-01
PdAg_1_9_100,  2.856868471553150e-01,  2.282189071732458e-01, -4.596188001112164e+02,  1.804177280214802e-01
PdAg_1_9_100,  2.813651505179750e-01,  2.183798838959152e-01, -5.362219334630859e+02,  1.747820254113515e-01
PdAg_1_9_100,  2.742250823045090e-01,  2.033800702309872e-01, -6.894282001668247e+02,  1.662149865605439e-01
PdAg_1_9_100,  2.725813187048580e-01,  1.922546507274775e-01, -8.426344668705635e+02,  1.598876355403971e-01
PdAg_1_9_100,  2.710137208355010e-01,  1.876472613724582e-01, -9.192376002224329e+02,  1.572762062339384e-01
PdAg_1_9_100,  2.699577938430830e-01,  1.835179196589317e-01, -9.958407335743022e+02,  1.549411240002143e-01
PdAg_1_9_100,  2.691444146104700e-01,  1.797842041983879e-01, -1.072443866926172e+03,  1.528347431498236e-01
PdAg_1_9_100,  2.679801391469650e-01,  1.763825712990385e-01, -1.149047000278041e+03,  1.509203307053551e-01
PdAg_1_9_100,  2.658907762370700e-01,  1.732631042895001e-01, -1.225650133629911e+03,  1.491690311201641e-01
PdAg_1_9_100,  2.650229112638520e-01,  1.703859495403958e-01, -1.302253266981780e+03,  1.475578060339280e-01
PdAg_1_9_100,  2.637375021423530e-01,  1.677188329838191e-01, -1.378856400333649e+03,  1.460679986362850e-01
