# c0 + a0 * ((av_E_def_subsurf * time) * (av_BE_H_surf * total_metal_loading)) + a1 * (exp(2.520895e-01*((std_dev+3.817867e+01) / (av_BE_H_surf+2.490018e-01))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.138696551723357; Max AE: 0.707138971254602
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  1.413277642453964e-01,  1.689282027935322e+02, -3.198371031301683e-01, 
# 3   ,  2.001470058811889e-01,  1.685372675558525e+02, -4.229785590671901e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2 * min;                                       14|0|mult|16|1|mult|mult; ((av_E_def_subsurf * time) * (av_BE_H_surf * total_metal_loading)); $\left(\left(av_{E, def, subsurf} time\right) \left(av_{BE, H, surf} total_{metal, loading}\right)\right)$; ((av_E_def_subsurf .* time) .* (av_BE_H_surf .* total_metal_loading)); av_E_def_subsurf,time,av_BE_H_surf,total_metal_loading
# 1;  2; Unitless;                                         3|16|div|exp:2.5208946205444e-01,0.0000000000000e+00,3.8178666549422e+01,2.4900182548982e-01; (exp(2.520895e-01*((std_dev+3.817867e+01) / (av_BE_H_surf+2.490018e-01)))); $\left(\exp{ \left(2.521e-01\left(\frac{ std_{dev} +3.818e+01 }{ av_{BE, H, surf}+2.490e-01 } \right) \right)}\right)$; exp(2.520895e-01.*((std_dev+3.817867e+01) ./ (av_BE_H_surf+2.490018e-01))); std_dev,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  3.628741788873400e-01,  3.867028979316867e-01, -2.288651760000000e-01,  4.373958832692051e-03
PdAg_1_9_100,  3.099375324862660e-01,  3.759212300524503e-01, -3.051535680000000e-01,  4.373958832692051e-03
PdAg_1_9_100,  2.919675286925200e-01,  3.651395621732139e-01, -3.814419600000000e-01,  4.373958832692051e-03
PdAg_1_9_100,  2.856868471553150e-01,  3.543578942939776e-01, -4.577303520000000e-01,  4.373958832692051e-03
PdAg_1_9_100,  2.742250823045090e-01,  3.220128906562684e-01, -6.865955280000000e-01,  4.373958832692051e-03
PdAg_1_9_100,  2.739275035497000e-01,  3.112312227770320e-01, -7.628839200000000e-01,  4.373958832692051e-03
PdAg_1_9_100,  2.725813187048580e-01,  3.004495548977956e-01, -8.391723120000000e-01,  4.373958832692051e-03
PdAg_1_9_100,  2.710137208355010e-01,  2.896678870185593e-01, -9.154607040000000e-01,  4.373958832692051e-03
PdAg_1_9_100,  2.699577938430830e-01,  2.788862191393229e-01, -9.917490960000001e-01,  4.373958832692051e-03
PdAg_1_9_100,  2.691444146104700e-01,  2.681045512600865e-01, -1.068037488000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.679801391469650e-01,  2.573228833808501e-01, -1.144325880000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.658907762370700e-01,  2.465412155016138e-01, -1.220614272000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.650229112638520e-01,  2.357595476223774e-01, -1.296902664000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.637375021423530e-01,  2.249778797431410e-01, -1.373191056000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.642144249687690e-01,  2.141962118639046e-01, -1.449479448000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.621887653386570e-01,  2.034145439846682e-01, -1.525767840000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.609797547787540e-01,  1.926328761054318e-01, -1.602056232000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.586590858830060e-01,  1.710695403469591e-01, -1.754633016000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.537741737812260e-01,  1.387245367092499e-01, -1.983498192000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.518192543109310e-01,  1.279428688300135e-01, -2.059786584000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.496764650829220e-01,  1.171612009507771e-01, -2.136074976000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.479231710514490e-01,  1.063795330715407e-01, -2.212363368000000e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.453013105463630e-01,  9.559786519230430e-02, -2.288651760000000e+00,  4.373958832692051e-03
PdAg_1_5_100,  3.293542674131830e-01,  4.099804676460241e-01, -1.652563199999995e-01,  4.458538388227328e-03
PdAg_1_5_100,  2.565338589410230e-01,  3.983028145295133e-01, -2.478844799999992e-01,  4.458538388227328e-03
PdAg_1_5_100,  2.303037511075600e-01,  3.749475082964915e-01, -4.131407999999987e-01,  4.458538388227328e-03
PdAg_1_5_100,  2.195369868150280e-01,  3.399145489469590e-01, -6.610252799999979e-01,  4.458538388227328e-03
PdAg_1_5_100,  2.141497061269980e-01,  3.165592427139373e-01, -8.262815999999974e-01,  4.458538388227328e-03
PdAg_1_5_100,  2.099035907134980e-01,  2.932039364809155e-01, -9.915379199999969e-01,  4.458538388227328e-03
PdAg_1_5_100,  2.050856479851930e-01,  2.698486302478939e-01, -1.156794239999996e+00,  4.458538388227328e-03
PdAg_1_5_100,  2.038357874315140e-01,  2.581709771313830e-01, -1.239422399999996e+00,  4.458538388227328e-03
PdAg_1_5_100,  2.024470208367670e-01,  2.464933240148722e-01, -1.322050559999996e+00,  4.458538388227328e-03
PdAg_1_5_100,  2.000269286823050e-01,  2.231380177818505e-01, -1.487306879999995e+00,  4.458538388227328e-03
PdAg_1_5_100,  1.969854579108610e-01,  1.997827115488287e-01, -1.652563199999995e+00,  4.458538388227328e-03
PdAg_1_5_100,  1.963439311488950e-01,  1.881050584323179e-01, -1.735191359999994e+00,  4.458538388227328e-03
PdAg_1_5_100,  1.940684048443220e-01,  1.764274053158070e-01, -1.817819519999994e+00,  4.458538388227328e-03
PdAg_1_5_100,  1.926261364587620e-01,  1.647497521992962e-01, -1.900447679999994e+00,  4.458538388227328e-03
PdAg_1_5_100,  1.905512205622570e-01,  1.530720990827853e-01, -1.983075839999994e+00,  4.458538388227328e-03
PdAg_1_5_100,  1.877437449997070e-01,  1.297167928497636e-01, -2.148332159999993e+00,  4.458538388227328e-03
PdAg_1_5_100,  1.864446344370330e-01,  1.180391397332527e-01, -2.230960319999993e+00,  4.458538388227328e-03
PdAg_1_5_100,  1.848761965650050e-01,  1.063614866167419e-01, -2.313588479999992e+00,  4.458538388227328e-03
PdAg_1_5_100,  1.849359671980280e-01,  8.300618038372018e-02, -2.478844799999992e+00,  4.458538388227328e-03
PdAg_1_1_100,  1.535896786579120e+00,  1.105714372130412e+00, -9.096516000000000e-02,  8.514903693764257e-03
PdAg_1_1_100,  1.476543275391880e+00,  1.080002566756362e+00, -2.728954800000000e-01,  8.514903693764257e-03
PdAg_1_1_100,  1.208605384312000e+00,  1.028578956008263e+00, -6.367561200000001e-01,  8.514903693764257e-03
PdAg_1_1_100,  1.124408621718650e+00,  1.015723053321238e+00, -7.277212800000000e-01,  8.514903693764257e-03
PdAg_1_1_100,  1.055882869290930e+00,  1.002867150634214e+00, -8.186864400000001e-01,  8.514903693764257e-03
PdAg_1_1_100,  1.010936655602070e+00,  9.900112479471888e-01, -9.096516000000000e-01,  8.514903693764257e-03
PdAg_1_1_100,  9.741100506334990e-01,  9.771553452601640e-01, -1.000616760000000e+00,  8.514903693764257e-03
PdAg_1_1_100,  9.217389182624810e-01,  9.514435398861145e-01, -1.182547080000000e+00,  8.514903693764257e-03
PdAg_1_1_100,  8.995066396137220e-01,  9.385876371990897e-01, -1.273512240000000e+00,  8.514903693764257e-03
PdAg_1_1_100,  8.704807885278290e-01,  9.257317345120649e-01, -1.364477400000000e+00,  8.514903693764257e-03
PdAg_1_1_100,  8.596665013433460e-01,  9.000199291380154e-01, -1.546407720000000e+00,  8.514903693764257e-03
PdAg_1_1_100,  8.441400331191570e-01,  8.871640264509907e-01, -1.637372880000000e+00,  8.514903693764257e-03
PdAg_1_1_100,  8.088625391977590e-01,  8.485963183899164e-01, -1.910268360000000e+00,  8.514903693764257e-03
PdAg_1_1_100,  7.987791951287240e-01,  8.357404157028917e-01, -2.001233520000000e+00,  8.514903693764257e-03
PdAg_1_1_100,  7.811341630508190e-01,  8.100286103288421e-01, -2.183163840000000e+00,  8.514903693764257e-03
PdAg_1_1_100,  7.748485070789100e-01,  7.971727076418174e-01, -2.274129000000000e+00,  8.514903693764257e-03
PdAg_1_1_100,  7.616541677031310e-01,  7.843168049547926e-01, -2.365094160000000e+00,  8.514903693764257e-03
PdAg_1_1_100,  7.431020909817240e-01,  7.586049995807430e-01, -2.547024480000001e+00,  8.514903693764257e-03
PdAg_1_1_100,  7.318398412815810e-01,  7.328931942066935e-01, -2.728954800000000e+00,  8.514903693764257e-03
PdAu_1_9_100,  1.349591588597210e+00,  7.040556171730861e-01, -7.120867139999999e-02,  6.120685980959770e-03
PdAu_1_9_100,  7.195733252458120e-01,  6.839280925253919e-01, -2.136260142000000e-01,  6.120685980959770e-03
PdAu_1_9_100,  6.672603147247390e-01,  6.738643302015448e-01, -2.848346856000000e-01,  6.120685980959770e-03
PdAu_1_9_100,  6.029841566832330e-01,  6.537368055538506e-01, -4.272520284000000e-01,  6.120685980959770e-03
PdAu_1_9_100,  5.851248612511580e-01,  6.436730432300035e-01, -4.984606998000000e-01,  6.120685980959770e-03
PdAu_1_9_100,  5.621689151329150e-01,  6.336092809061564e-01, -5.696693711999999e-01,  6.120685980959770e-03
PdAu_1_9_100,  5.147793772808130e-01,  6.034179939346150e-01, -7.832953854000000e-01,  6.120685980959770e-03
PdAu_1_9_100,  4.459077354116620e-01,  5.430354199915325e-01, -1.210547413800000e+00,  6.120685980959770e-03
PdAu_1_9_100,  4.225378192765640e-01,  5.229078953438382e-01, -1.352964756600000e+00,  6.120685980959770e-03
PdAu_1_9_100,  4.067073142923030e-01,  5.027803706961440e-01, -1.495382099400000e+00,  6.120685980959770e-03
PdAu_1_9_100,  3.810334251884040e-01,  4.826528460484499e-01, -1.637799442200000e+00,  6.120685980959770e-03
PdAu_1_9_100,  3.637516913038650e-01,  4.725890837246028e-01, -1.709008113600000e+00,  6.120685980959770e-03
