# c0 + a0 * ((time / av_delta_M1_M2_subsurf) / (av_BE_H_subsurf + av_EA)) + a1 * ((av_E_def_subsurf * time) / (av_BE_H_surf * av_EA)) + a2 * (exp(2.520895e-01*((std_dev+3.817867e+01) / (av_BE_H_surf+2.490018e-01))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.113549382053482; Max AE: 0.709020070465883
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -9.527103210815251e-06,  1.362878316405271e-02,  1.763000035934002e+02, -3.885421766452268e-01, 
# 3   , -1.928535252501266e-05,  2.068127829278314e-02,  1.806245548611803e+02, -5.297413998277670e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * min;                                      0|15|div|19|6|add|div; ((time / av_delta_M1_M2_subsurf) / (av_BE_H_subsurf + av_EA)); $\left(\frac{ \left(\frac{ time }{ av_{delta, M1, M2, subsurf} } \right) }{ \left(av_{BE, H, subsurf} + av_{EA}\right) } \right)$; ((time ./ av_delta_M1_M2_subsurf) ./ (av_BE_H_subsurf + av_EA)); time,av_delta_M1_M2_subsurf,av_BE_H_subsurf,av_EA
# 1;  2; eV^-1 * min;                                      14|0|mult|16|6|mult|div; ((av_E_def_subsurf * time) / (av_BE_H_surf * av_EA)); $\left(\frac{ \left(av_{E, def, subsurf} time\right) }{ \left(av_{BE, H, surf} av_{EA}\right) } \right)$; ((av_E_def_subsurf .* time) ./ (av_BE_H_surf .* av_EA)); av_E_def_subsurf,time,av_BE_H_surf,av_EA
# 2;  2; Unitless;                                         3|16|div|exp:2.5208946205444e-01,0.0000000000000e+00,3.8178666549422e+01,2.4900182548982e-01; (exp(2.520895e-01*((std_dev+3.817867e+01) / (av_BE_H_surf+2.490018e-01)))); $\left(\exp{ \left(2.521e-01\left(\frac{ std_{dev} +3.818e+01 }{ av_{BE, H, surf}+2.490e-01 } \right) \right)}\right)$; exp(2.520895e-01.*((std_dev+3.817867e+01) ./ (av_BE_H_surf+2.490018e-01))); std_dev,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  3.628741788873400e-01,  3.661682860222465e-01, -2.769589821695860e+03, -3.140754594242966e+00,  4.373958832692051e-03
PdAg_1_9_100,  3.099375324862660e-01,  3.606954542710732e-01, -3.692786428927813e+03, -4.187672792323955e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.919675286925200e-01,  3.552226225198999e-01, -4.615983036159766e+03, -5.234590990404944e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.856868471553150e-01,  3.497497907687266e-01, -5.539179643391720e+03, -6.281509188485932e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.742250823045090e-01,  3.333312955152068e-01, -8.308769465087580e+03, -9.422263782728900e+00,  4.373958832692051e-03
PdAg_1_9_100,  2.739275035497000e-01,  3.278584637640335e-01, -9.231966072319532e+03, -1.046918198080989e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.725813187048580e-01,  3.223856320128602e-01, -1.015516267955149e+04, -1.151610017889088e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.710137208355010e-01,  3.169128002616869e-01, -1.107835928678344e+04, -1.256301837697186e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.699577938430830e-01,  3.114399685105137e-01, -1.200155589401539e+04, -1.360993657505285e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.691444146104700e-01,  3.059671367593404e-01, -1.292475250124735e+04, -1.465685477313384e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.679801391469650e-01,  3.004943050081670e-01, -1.384794910847930e+04, -1.570377297121483e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.658907762370700e-01,  2.950214732569938e-01, -1.477114571571125e+04, -1.675069116929582e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.650229112638520e-01,  2.895486415058205e-01, -1.569434232294321e+04, -1.779760936737681e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.637375021423530e-01,  2.840758097546472e-01, -1.661753893017516e+04, -1.884452756545780e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.642144249687690e-01,  2.786029780034739e-01, -1.754073553740711e+04, -1.989144576353879e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.621887653386570e-01,  2.731301462523006e-01, -1.846393214463906e+04, -2.093836396161977e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.609797547787540e-01,  2.676573145011273e-01, -1.938712875187102e+04, -2.198528215970076e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.586590858830060e-01,  2.567116509987808e-01, -2.123352196633493e+04, -2.407911855586274e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.537741737812260e-01,  2.402931557452609e-01, -2.400311178803078e+04, -2.721987315010571e+01,  4.373958832692051e-03
PdAg_1_9_100,  2.518192543109310e-01,  2.348203239940876e-01, -2.492630839526274e+04, -2.826679134818669e+01,  4.373958832692051e-03
