# c0 + a0 * (exp(9.433099e+00*((av_E_b_C_subsurf-4.427894e+00) / (time+4.637789e+02))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.223401529566452; Max AE: 0.823826830032734
# Coefficients
# Task   a0                      c0
# 2   ,  4.089668726287468e+01, -4.081472821457471e+01, 
# 3   ,  3.980444950311730e+01, -3.988623275495421e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         13|0|div|exp:9.4330994754950e+00,0.0000000000000e+00,-4.4278943370858e+00,4.6377886954429e+02; (exp(9.433099e+00*((av_E_b_C_subsurf-4.427894e+00) / (time+4.637789e+02)))); $\left(\exp{ \left(9.433e+00\left(\frac{ av_{E, b, C, subsurf} -4.428e+00 }{ time+4.638e+02 } \right) \right)}\right)$; exp(9.433099e+00.*((av_E_b_C_subsurf-4.427894e+00) ./ (time+4.637789e+02))); av_E_b_C_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 167                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  6.929580134110400e-02,  2.838065975952759e-01,  1.004935547664237e+00
PdAg_1_9_100,  3.628741788873400e-01,  2.729741175003691e-01,  1.004670673396420e+00
PdAg_1_9_100,  3.099375324862660e-01,  2.679824900606657e-01,  1.004548618829809e+00
PdAg_1_9_100,  2.856868471553150e-01,  2.587430117099600e-01,  1.004322696414838e+00
PdAg_1_9_100,  2.813651505179750e-01,  2.544591139506155e-01,  1.004217947154053e+00
PdAg_1_9_100,  2.742250823045090e-01,  2.464853809492438e-01,  1.004022974564950e+00
PdAg_1_9_100,  2.739275035497000e-01,  2.427687058549962e-01,  1.003932094952371e+00
PdAg_1_9_100,  2.725813187048580e-01,  2.392162415296833e-01,  1.003845230598237e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.325622560241780e-01,  1.003682528287833e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.294420495520266e-01,  1.003606233441454e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.264485079527223e-01,  1.003533035786591e+00
PdAg_1_9_100,  2.658907762370700e-01,  2.235740717266555e-01,  1.003462750479432e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.181551700311847e-01,  1.003330248263283e+00
PdAg_1_9_100,  2.642144249687690e-01,  2.155983152853980e-01,  1.003267728413464e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.131356927612051e-01,  1.003207512716570e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.107621873643306e-01,  1.003149476099041e+00
PdAg_1_9_100,  2.597681369110620e-01,  2.084730476294066e-01,  1.003093502378719e+00
PdAg_1_9_100,  2.586590858830060e-01,  2.062638539715149e-01,  1.003039483488541e+00
PdAg_1_9_100,  2.564021611090790e-01,  2.041304902070846e-01,  1.002987318780170e+00
PdAg_1_9_100,  2.496764650829220e-01,  1.962822651389419e-01,  1.002795415093260e+00
PdAg_1_9_100,  2.479231710514490e-01,  1.944752702547630e-01,  1.002751230710487e+00
PdAg_1_9_100,  2.453013105463630e-01,  1.927245092906797e-01,  1.002708421351557e+00
PdAg_1_5_100,  5.770639017232591e-01,  4.721454716874919e-01,  1.009540783117212e+00
PdAg_1_5_100,  3.293542674131830e-01,  4.613628677791618e-01,  1.009277128414839e+00
PdAg_1_5_100,  2.565338589410230e-01,  4.511601778311752e-01,  1.009027653686424e+00
PdAg_1_5_100,  2.398208440226360e-01,  4.414918435380175e-01,  1.008791244946738e+00
PdAg_1_5_100,  2.303037511075600e-01,  4.323169568973781e-01,  1.008566901919106e+00
PdAg_1_5_100,  2.236877838869310e-01,  4.153037589182986e-01,  1.008150897613679e+00
PdAg_1_5_100,  2.195369868150280e-01,  4.074020833550934e-01,  1.007957686962840e+00
PdAg_1_5_100,  2.141497061269980e-01,  3.926716784095727e-01,  1.007597501189092e+00
PdAg_1_5_100,  2.121100061106850e-01,  3.857954598742034e-01,  1.007429364868143e+00
PdAg_1_5_100,  2.099035907134980e-01,  3.792169984904549e-01,  1.007268509262860e+00
PdAg_1_5_100,  2.050856479851930e-01,  3.668791966885254e-01,  1.006966827082036e+00
PdAg_1_5_100,  2.038357874315140e-01,  3.610865498204769e-01,  1.006825186101905e+00
PdAg_1_5_100,  2.013479605126910e-01,  3.501802582322283e-01,  1.006558507005915e+00
PdAg_1_5_100,  2.000269286823050e-01,  3.450405915639171e-01,  1.006432832605070e+00
PdAg_1_5_100,  1.969854579108610e-01,  3.353303649757688e-01,  1.006195399520924e+00
PdAg_1_5_100,  1.963439311488950e-01,  3.307391803287010e-01,  1.006083136524717e+00
PdAg_1_5_100,  1.940684048443220e-01,  3.263114218712226e-01,  1.005974869602533e+00
PdAg_1_5_100,  1.926261364587620e-01,  3.220385163223106e-01,  1.005870389121720e+00
PdAg_1_5_100,  1.905512205622570e-01,  3.179124797618829e-01,  1.005769499860594e+00
PdAg_1_5_100,  1.891192110734720e-01,  3.139258678428193e-01,  1.005672019791036e+00
PdAg_1_5_100,  1.877437449997070e-01,  3.100717309663867e-01,  1.005577778982443e+00
PdAg_1_5_100,  1.864446344370330e-01,  3.063435738530143e-01,  1.005486618613159e+00
PdAg_1_5_100,  1.848761965650050e-01,  3.027353190139554e-01,  1.005398390077291e+00
PdAg_1_1_100,  1.542341149952750e+00,  1.389285745585190e+00,  1.031966567093369e+00
PdAg_1_1_100,  1.476543275391880e+00,  1.353748880191262e+00,  1.031097624697974e+00
PdAg_1_1_100,  1.443594468047830e+00,  1.320092737034471e+00,  1.030274669456136e+00
PdAg_1_1_100,  1.385113175840640e+00,  1.288171874352777e+00,  1.029494145046506e+00
PdAg_1_1_100,  1.289499794158380e+00,  1.257855469170509e+00,  1.028752852604226e+00
PdAg_1_1_100,  1.208605384312000e+00,  1.229025525705883e+00,  1.028047906913165e+00
PdAg_1_1_100,  1.124408621718650e+00,  1.201575340940759e+00,  1.027376698886248e+00
PdAg_1_1_100,  1.055882869290930e+00,  1.175408185296438e+00,  1.026736863305530e+00
PdAg_1_1_100,  1.010936655602070e+00,  1.150436164039532e+00,  1.026126250981446e+00
PdAg_1_1_100,  9.741100506334990e-01,  1.126579231180319e+00,  1.025542904640803e+00
PdAg_1_1_100,  9.217389182624810e-01,  1.081924658787026e+00,  1.024451017366260e+00
PdAg_1_1_100,  8.704807885278290e-01,  1.040931132823949e+00,  1.023448649480089e+00
PdAg_1_1_100,  8.640896201761730e-01,  1.021669396599424e+00,  1.022977664236206e+00
PdAg_1_1_100,  8.596665013433460e-01,  1.003166168848759e+00,  1.022525225934010e+00
PdAg_1_1_100,  8.441400331191570e-01,  9.853775124239263e-01,  1.022090260228585e+00
PdAg_1_1_100,  8.305147648333780e-01,  9.682628192265395e-01,  1.021671774176466e+00
PdAg_1_1_100,  8.088625391977590e-01,  9.359077127061601e-01,  1.020880631698045e+00
PdAg_1_1_100,  7.987791951287240e-01,  9.206001087734895e-01,  1.020506332336478e+00
PdAg_1_1_100,  7.811341630508190e-01,  8.915742625444610e-01,  1.019796596458791e+00
PdAg_1_1_100,  7.748485070789100e-01,  8.778019506979474e-01,  1.019459837841693e+00
PdAg_1_1_100,  7.616541677031310e-01,  8.644903476806541e-01,  1.019134344411584e+00
PdAg_1_1_100,  7.431020909817240e-01,  8.391597944543213e-01,  1.018514965314605e+00
PdAg_1_1_100,  7.336770425315350e-01,  8.270996697752060e-01,  1.018220072855428e+00
PdAu_1_9_100,  1.349591588597210e+00,  5.257647585644757e-01,  1.010851874319595e+00
PdAu_1_9_100,  7.195733252458120e-01,  5.018810343066767e-01,  1.010267872879472e+00
PdAu_1_9_100,  6.672603147247390e-01,  4.908778951236186e-01,  1.009998825679821e+00
PdAu_1_9_100,  6.029841566832330e-01,  4.705153429137859e-01,  1.009500923439502e+00
PdAu_1_9_100,  5.621689151329150e-01,  4.520845340464233e-01,  1.009050255913575e+00
PdAu_1_9_100,  5.301672649293200e-01,  4.353230293297188e-01,  1.008640405976122e+00
PdAu_1_9_100,  5.147793772808130e-01,  4.274989647396754e-01,  1.008449093057799e+00
PdAu_1_9_100,  5.017990123442060e-01,  4.200138684142948e-01,  1.008266068543435e+00
PdAu_1_9_100,  4.459077354116620e-01,  3.869772749753196e-01,  1.007458262443478e+00
PdAu_1_9_100,  4.134486377523850e-01,  3.700830181388618e-01,  1.007045166470010e+00
PdAu_1_9_100,  4.067073142923030e-01,  3.648599402898031e-01,  1.006917452510797e+00
PdAu_1_9_100,  3.933072394218520e-01,  3.598228567336334e-01,  1.006794286457669e+00
PdAu_1_9_100,  3.810334251884040e-01,  3.549620063918433e-01,  1.006675429634119e+00
PdAu_1_9_100,  3.637516913038650e-01,  3.502682994625838e-01,  1.006560659777600e+00
PdAu_1_9_100,  3.428479548992100e-01,  3.413489782967735e-01,  1.006342565800734e+00
PdAu_1_9_100,  3.286193649949370e-01,  3.371080579121770e-01,  1.006238867416624e+00
PdAu_1_9_100,  2.941179610415640e-01,  3.251784396188653e-01,  1.005947166081095e+00
PdAu_1_5_100,  1.041393056856870e+00,  6.801128828861936e-01,  1.014625972777243e+00
PdAu_1_5_100,  9.021296624907440e-01,  6.639863630139372e-01,  1.014231649399200e+00
PdAu_1_5_100,  8.214458953704740e-01,  6.487065593574054e-01,  1.013858029806046e+00
PdAu_1_5_100,  7.623098336248439e-01,  6.342084939974494e-01,  1.013503525166910e+00
PdAu_1_5_100,  7.149799151621080e-01,  6.204336717265140e-01,  1.013166705165271e+00
PdAu_1_5_100,  6.413841153309749e-01,  5.948475689652997e-01,  1.012541077407287e+00
PdAu_1_5_100,  6.133552581111910e-01,  5.829451565395009e-01,  1.012250041305774e+00
PdAu_1_5_100,  5.995500295465030e-01,  5.607240945637976e-01,  1.011706695048096e+00
PdAu_1_5_100,  5.889516640212970e-01,  5.503367234073420e-01,  1.011452704520949e+00
PdAu_1_5_100,  5.468478698168980e-01,  5.129345954747582e-01,  1.010538152990353e+00
PdAu_1_5_100,  5.246914166232191e-01,  5.044991411624273e-01,  1.010331890457202e+00
PdAu_1_5_100,  5.112131353136540e-01,  4.963875580759806e-01,  1.010133547177358e+00
