# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((surface_area / time) * (av_delta_M1_M2_subsurf^6)) + a2 * (exp(7.980021e+00*((av_mu_C_critical_subsurf+4.176952e+00) / (time+4.657305e+02)))) + a3 * ((av_BE_H_surf^6) / cbrt(std_dev))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.106754486359716; Max AE: 0.652339936427672
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -7.499824142476368e-07,  2.370329343713214e+05, -2.857865824726920e+01,  4.127877600872467e-03,  2.837591464710290e+01, 
# 3   , -1.391399482933124e-06,  2.204071952370359e+05, -3.254322027679099e+01,  3.077364778882169e-03,  3.224823086255316e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; g^-1 * m^2 * min^-1;                              4|0|div|15|sp|mult; ((surface_area / time) * (av_delta_M1_M2_subsurf^6)); $\left(\left(\frac{ surface_{area} }{ time } \right) \left(av_{delta, M1, M2, subsurf}^6\right)\right)$; ((surface_area ./ time) .* (av_delta_M1_M2_subsurf).^6); surface_area,time,av_delta_M1_M2_subsurf
# 2;  2; Unitless;                                         12|0|div|exp:7.9800213523163e+00,0.0000000000000e+00,4.1769518874321e+00,4.6573048760082e+02; (exp(7.980021e+00*((av_mu_C_critical_subsurf+4.176952e+00) / (time+4.657305e+02)))); $\left(\exp{ \left(7.980e+00\left(\frac{ av_{mu, C, critical, subsurf} +4.177e+00 }{ time+4.657e+02 } \right) \right)}\right)$; exp(7.980021e+00.*((av_mu_C_critical_subsurf+4.176952e+00) ./ (time+4.657305e+02))); av_mu_C_critical_subsurf,time
# 3;  2; eV^6 * nm^-0.333333;                              16|sp|3|cbrt|div; ((av_BE_H_surf^6) / cbrt(std_dev)); $\left(\frac{ \left(av_{BE, H, surf}^6\right) }{ \left(\sqrt[3]{ std_{dev} }\right) } \right)$; ((av_BE_H_surf).^6 ./ nthroot(std_dev, 3)); av_BE_H_surf,std_dev
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 167                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.108440883807938e-01,  7.660313335186942e+01,  7.736412116376937e-07,  9.951155552472928e-01,  7.041774097860819e+01
PdAg_1_9_100,  3.628741788873400e-01,  2.810489974167316e-01,  2.298094000556082e+02,  2.578804038792312e-07,  9.953754656740631e-01,  7.041774097860819e+01
PdAg_1_9_100,  3.099375324862660e-01,  2.622848194210992e-01,  3.064125334074777e+02,  1.934103029094234e-07,  9.954953169893704e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.856868471553150e-01,  2.405443652031556e-01,  4.596188001112164e+02,  1.289402019396156e-07,  9.957173013437508e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.813651505179750e-01,  2.331775826812461e-01,  5.362219334630859e+02,  1.105201730910991e-07,  9.958202865155662e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.742250823045090e-01,  2.217599445389999e-01,  6.894282001668247e+02,  8.596013462641041e-08,  9.960120799197031e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.739275035497000e-01,  2.171087607770002e-01,  7.660313335186941e+02,  7.736412116376937e-08,  9.961015240931156e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.725813187048580e-01,  2.129401876509241e-01,  8.426344668705635e+02,  7.033101923979033e-08,  9.961870440400377e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.699577938430830e-01,  2.056806274434199e-01,  9.958407335743022e+02,  5.951086243366874e-08,  9.963473008527958e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.691444146104700e-01,  2.024670377454564e-01,  1.072443866926172e+03,  5.526008654554954e-08,  9.964224815976148e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.679801391469650e-01,  1.994744520370104e-01,  1.149047000278041e+03,  5.157608077584624e-08,  9.964946299815551e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.658907762370700e-01,  1.966725415229848e-01,  1.225650133629911e+03,  4.835257572735586e-08,  9.965639258397930e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.637375021423530e-01,  1.915493737547269e-01,  1.378856400333649e+03,  4.298006731320521e-08,  9.966946109229002e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.642144249687690e-01,  1.891928731499724e-01,  1.455459533685519e+03,  4.071795850724703e-08,  9.967562952503611e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.621887653386570e-01,  1.869545824590288e-01,  1.532062667037388e+03,  3.868206058188468e-08,  9.968157194827387e-01,  7.041774097860819e+01
PdAg_1_9_100,  2.609797547787540e-01,  1.848233557656376e-01,  1.608665800389258e+03,  3.684005769703303e-08,  9.968730055990924e-01,  7.041774097860819e+01
