# c0 + a0 * (std_dev * time) + a1 * (av_mu_C_critical_surf^3)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.211515832839242; Max AE: 0.639693856997644
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  4.162917698961462e-04,  1.113500168962188e-02,  1.038432018853540e+00, 
# 3   ,  4.291637051295922e-04,  1.064389754118020e-02,  1.186393971416806e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm;                                         3|0|mult; (std_dev * time); $\left(std_{dev} time\right)$; (std_dev .* time); std_dev,time
# 1;  1; eV^3;                                             11|cb; (av_mu_C_critical_surf^3); $\left(av_{mu, C, critical, surf}^3\right)$; (av_mu_C_critical_surf).^3; av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.144958889760948e-01,  4.050000000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  4.889175556194310e-01,  3.482155223376827e-01,  1.215000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.056601140297000e-01,  3.650753390184767e-01,  1.620000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.190263630918930e-01,  3.819351556992706e-01,  2.025000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.343009987338970e-01,  3.987949723800644e-01,  2.430000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.224295719363120e-01,  4.156547890608585e-01,  2.835000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.250038067660980e-01,  4.493744224224461e-01,  3.645000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.324653140763990e-01,  4.662342391032402e-01,  4.050000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.309811253181910e-01,  4.830940557840340e-01,  4.455000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.301609565427799e-01,  4.999538724648281e-01,  4.860000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.311850747278510e-01,  5.168136891456220e-01,  5.265000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.331594707700800e-01,  5.336735058264158e-01,  5.670000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.354507873556270e-01,  5.505333225072099e-01,  6.075000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.337303696543760e-01,  5.673931391880037e-01,  6.480000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.357515610659280e-01,  5.842529558687978e-01,  6.885000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.338785022320920e-01,  6.011127725495916e-01,  7.290000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.368098128623250e-01,  6.179725892303854e-01,  7.695000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.372121836650180e-01,  6.348324059111795e-01,  8.100000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.374193757726820e-01,  6.516922225919733e-01,  8.505000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.370904880212340e-01,  6.685520392727672e-01,  8.910000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.357670351206070e-01,  6.854118559535612e-01,  9.315000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.243066765750370e-01,  7.022716726343551e-01,  9.720000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.406782826954460e-01,  7.359913059959430e-01,  1.053000000000000e+03, -6.652858860799999e+01
PdAg_1_9_100,  5.449528999218350e-01,  7.528511226767368e-01,  1.093500000000000e+03, -6.652858860799999e+01
PdAg_1_9_100,  5.492079417796780e-01,  7.697109393575309e-01,  1.134000000000000e+03, -6.652858860799999e+01
PdAg_1_9_100,  5.484023401121820e-01,  7.865707560383247e-01,  1.174500000000000e+03, -6.652858860799999e+01
PdAg_1_9_100,  5.513618316460450e-01,  8.034305727191186e-01,  1.215000000000000e+03, -6.652858860799999e+01
PdAg_1_5_100,  2.374958845661730e-01,  1.960306239318591e-01,  5.400000000000000e+01, -7.767229629629648e+01
PdAg_1_5_100,  4.808701435604430e-01,  2.185103795062509e-01,  1.080000000000000e+02, -7.767229629629648e+01
