# c0 + a0 * (std_dev / surface_area) + a1 * (av_E_def_subsurf * time) + a2 * (av_delta_M1_M2_subsurf * time) + a3 * (av_BE_H_surf * av_mu_C_critical_surf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.140218945665549; Max AE: 0.724838906961384
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  1.340636854433312e+01,  1.107243403503606e-02, -2.032308317651802e-02, -2.576649612795094e-01,  2.071815022996501e+00, 
# 3   ,  1.964590918256547e+01,  3.583703468475948e-02, -9.974063753395675e-02, -2.762958557840465e-01,  2.259488694590276e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; min;                                              15|0|mult; (av_delta_M1_M2_subsurf * time); $\left(av_{delta, M1, M2, subsurf} time\right)$; (av_delta_M1_M2_subsurf .* time); av_delta_M1_M2_subsurf,time
# 3;  1; eV^2;                                             16|11|mult; (av_BE_H_surf * av_mu_C_critical_surf); $\left(av_{BE, H, surf} av_{mu, C, critical, surf}\right)$; (av_BE_H_surf .* av_mu_C_critical_surf); av_BE_H_surf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.785460880820026e-01,  4.109589041095890e-02,  2.781000000000000e+00,  9.763200000000000e-01,  8.752319999999999e+00
PdAg_1_9_100,  5.056601140297000e-01,  4.113979075356142e-01,  4.109589041095890e-02,  1.112400000000000e+01,  3.905280000000000e+00,  8.752319999999999e+00
PdAg_1_9_100,  5.190263630918930e-01,  4.223485140201517e-01,  4.109589041095890e-02,  1.390500000000000e+01,  4.881600000000000e+00,  8.752319999999999e+00
PdAg_1_9_100,  5.343009987338970e-01,  4.332991205046887e-01,  4.109589041095890e-02,  1.668600000000000e+01,  5.857920000000000e+00,  8.752319999999999e+00
PdAg_1_9_100,  5.224295719363120e-01,  4.442497269892258e-01,  4.109589041095890e-02,  1.946700000000000e+01,  6.834239999999999e+00,  8.752319999999999e+00
PdAg_1_9_100,  5.324653140763990e-01,  4.771015464428374e-01,  4.109589041095890e-02,  2.781000000000000e+01,  9.763199999999999e+00,  8.752319999999999e+00
PdAg_1_9_100,  5.309811253181910e-01,  4.880521529273744e-01,  4.109589041095890e-02,  3.059100000000000e+01,  1.073952000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.301609565427799e-01,  4.990027594119119e-01,  4.109589041095890e-02,  3.337200000000000e+01,  1.171584000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.209039723809860e-01,  4.109589041095890e-02,  3.893400000000000e+01,  1.366848000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.428051853500605e-01,  4.109589041095890e-02,  4.449600000000000e+01,  1.562112000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.537557918345976e-01,  4.109589041095890e-02,  4.727699999999999e+01,  1.659744000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.338785022320920e-01,  5.647063983191351e-01,  4.109589041095890e-02,  5.005800000000000e+01,  1.757376000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.368098128623250e-01,  5.756570048036725e-01,  4.109589041095890e-02,  5.283900000000000e+01,  1.855008000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.372121836650180e-01,  5.866076112882092e-01,  4.109589041095890e-02,  5.562000000000000e+01,  1.952640000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.374193757726820e-01,  5.975582177727462e-01,  4.109589041095890e-02,  5.840100000000000e+01,  2.050272000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.370904880212340e-01,  6.085088242572841e-01,  4.109589041095890e-02,  6.118200000000000e+01,  2.147904000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.357670351206070e-01,  6.194594307418212e-01,  4.109589041095890e-02,  6.396299999999999e+01,  2.245536000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.243066765750370e-01,  6.304100372263587e-01,  4.109589041095890e-02,  6.674400000000000e+01,  2.343168000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.406782826954460e-01,  6.523112501954328e-01,  4.109589041095890e-02,  7.230600000000000e+01,  2.538432000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.449528999218350e-01,  6.632618566799698e-01,  4.109589041095890e-02,  7.508699999999999e+01,  2.636064000000000e+01,  8.752319999999999e+00
PdAg_1_9_100,  5.484023401121820e-01,  6.851630696490444e-01,  4.109589041095890e-02,  8.064900000000000e+01,  2.831328000000000e+01,  8.752319999999999e+00
PdAg_1_5_100,  2.374958845661730e-01,  3.370533357057303e-01,  5.128205128205128e-02,  2.744999999999996e+00,  9.540000000000045e-01,  9.443555555555548e+00
PdAg_1_5_100,  5.154914790070170e-01,  3.590645558572815e-01,  5.128205128205128e-02,  8.234999999999987e+00,  2.862000000000013e+00,  9.443555555555548e+00
PdAg_1_5_100,  5.367991849441260e-01,  3.700701659330571e-01,  5.128205128205128e-02,  1.097999999999998e+01,  3.816000000000018e+00,  9.443555555555548e+00
PdAg_1_5_100,  5.423108450430540e-01,  3.810757760088327e-01,  5.128205128205128e-02,  1.372499999999998e+01,  4.770000000000023e+00,  9.443555555555548e+00
PdAg_1_5_100,  5.645630120222940e-01,  4.030869961603843e-01,  5.128205128205128e-02,  1.921499999999997e+01,  6.678000000000032e+00,  9.443555555555548e+00
PdAg_1_5_100,  5.565493546496050e-01,  4.361038263877112e-01,  5.128205128205128e-02,  2.744999999999996e+01,  9.540000000000045e+00,  9.443555555555548e+00
PdAg_1_5_100,  5.598480318312991e-01,  4.471094364634868e-01,  5.128205128205128e-02,  3.019499999999995e+01,  1.049400000000005e+01,  9.443555555555548e+00
PdAg_1_5_100,  5.575686028510159e-01,  4.581150465392624e-01,  5.128205128205128e-02,  3.293999999999995e+01,  1.144800000000005e+01,  9.443555555555548e+00
PdAg_1_5_100,  5.579843483292020e-01,  5.021374868423653e-01,  5.128205128205128e-02,  4.391999999999993e+01,  1.526400000000007e+01,  9.443555555555548e+00
PdAg_1_5_100,  5.640054092902220e-01,  5.131430969181404e-01,  5.128205128205128e-02,  4.666499999999993e+01,  1.621800000000008e+01,  9.443555555555548e+00
PdAg_1_5_100,  5.670953068021050e-01,  5.241487069939160e-01,  5.128205128205128e-02,  4.940999999999992e+01,  1.717200000000008e+01,  9.443555555555548e+00
PdAg_1_5_100,  5.722223250453750e-01,  5.571655372212433e-01,  5.128205128205128e-02,  5.764499999999990e+01,  2.003400000000009e+01,  9.443555555555548e+00
PdAg_1_5_100,  5.688182680948790e-01,  5.791767573727945e-01,  5.128205128205128e-02,  6.313499999999990e+01,  2.194200000000010e+01,  9.443555555555548e+00
PdAg_1_5_100,  5.669074847793930e-01,  5.901823674485701e-01,  5.128205128205128e-02,  6.587999999999990e+01,  2.289600000000011e+01,  9.443555555555548e+00
