# c0 + a0 * (std_dev * time) + a1 * (ln(-1.0*av_BE_H_surf+2.525938e-03))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.212505160528557; Max AE: 0.593593939208179
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  4.053279674795056e-04, -8.432597788752604e+00,  6.842612268540008e+00, 
# 3   ,  4.489628893507380e-04, -7.580330224185377e+00,  6.302525579935118e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm;                                         3|0|mult; (std_dev * time); $\left(std_{dev} time\right)$; (std_dev .* time); std_dev,time
# 1;  1; Unitless;                                         16|log:-1.0000000000000e+00,2.5259381777506e-03; (ln(-1.0*av_BE_H_surf+2.525938e-03)); $\left(\ln{ \left(-1.0av_{BE, H, surf}+2.526e-03 \right)}\right)$; log(-1.0*av_BE_H_surf+2.525938e-03); av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.551597120031622e-01,  4.050000000000000e+01,  7.712769542850274e-01
PdAg_1_9_100,  4.889175556194310e-01,  3.879912773690024e-01,  1.215000000000000e+02,  7.712769542850274e-01
PdAg_1_9_100,  5.190263630918930e-01,  4.208228427348426e-01,  2.025000000000000e+02,  7.712769542850274e-01
PdAg_1_9_100,  5.343009987338970e-01,  4.372386254177623e-01,  2.430000000000000e+02,  7.712769542850274e-01
PdAg_1_9_100,  5.224295719363120e-01,  4.536544081006828e-01,  2.835000000000000e+02,  7.712769542850274e-01
PdAg_1_9_100,  5.250038067660980e-01,  4.864859734665221e-01,  3.645000000000000e+02,  7.712769542850274e-01
PdAg_1_9_100,  5.309811253181910e-01,  5.193175388323623e-01,  4.455000000000000e+02,  7.712769542850274e-01
PdAg_1_9_100,  5.301609565427799e-01,  5.357333215152820e-01,  4.860000000000000e+02,  7.712769542850274e-01
PdAg_1_9_100,  5.311850747278510e-01,  5.521491041982025e-01,  5.265000000000000e+02,  7.712769542850274e-01
PdAg_1_9_100,  5.331594707700800e-01,  5.685648868811222e-01,  5.670000000000000e+02,  7.712769542850274e-01
