# c0 + a0 * (particle_diameter * time) + a1 * (total_metal_loading * time) + a2 * (time / av_E_def_subsurf) + a3 * (av_mu_C_critical_subsurf * std_dev) + a4 * (1.0 / av_BE_H_subsurf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.102173675251982; Max AE: 0.540065556258953
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  4.574271241653820e-04,  2.852126782818444e-01, -1.192302926912897e-03, -2.538719738212940e-02, -8.226065290756054e+00, -5.622066564064329e+00, 
# 3   ,  7.495443216404504e-04,  5.928729931466157e-01, -2.456391007893614e-03, -3.450216645111137e-02, -8.256511103853651e+00, -5.579589999211271e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm;                                         2|0|mult; (particle_diameter * time); $\left(particle_{diameter} time\right)$; (particle_diameter .* time); particle_diameter,time
# 1;  1; min;                                              1|0|mult; (total_metal_loading * time); $\left(total_{metal, loading} time\right)$; (total_metal_loading .* time); total_metal_loading,time
# 2;  1; eV^-1 * min;                                      0|14|div; (time / av_E_def_subsurf); $\left(\frac{ time }{ av_{E, def, subsurf} } \right)$; (time ./ av_E_def_subsurf); time,av_E_def_subsurf
# 3;  1; eV * nm;                                          12|3|mult; (av_mu_C_critical_subsurf * std_dev); $\left(av_{mu, C, critical, subsurf} std_{dev}\right)$; (av_mu_C_critical_subsurf .* std_dev); av_mu_C_critical_subsurf,std_dev
# 4;  1; eV^-1;                                            19|inv; (1.0 / av_BE_H_subsurf); $\left(\frac{1.0}{ av_{BE, H, subsurf} }\right)$; (av_BE_H_subsurf).^(-1); av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.707258702348129e-01,  8.100000000000000e+01,  1.714500000000000e-01,  6.553398058252428e+01, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  4.889175556194310e-01,  4.863557780108563e-01,  2.430000000000000e+02,  5.143500000000000e-01,  1.966019417475728e+02, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.190263630918930e-01,  5.019856857868987e-01,  4.050000000000000e+02,  8.572500000000000e-01,  3.276699029126214e+02, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.343009987338970e-01,  5.098006396749204e-01,  4.860000000000000e+02,  1.028700000000000e+00,  3.932038834951456e+02, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.224295719363120e-01,  5.176155935629421e-01,  5.670000000000000e+02,  1.200150000000000e+00,  4.587378640776699e+02, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.250038067660980e-01,  5.332455013389845e-01,  7.290000000000000e+02,  1.543050000000000e+00,  5.898058252427185e+02, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.309811253181910e-01,  5.488754091150287e-01,  8.910000000000000e+02,  1.885950000000000e+00,  7.208737864077671e+02, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.301609565427799e-01,  5.566903630030495e-01,  9.720000000000000e+02,  2.057400000000000e+00,  7.864077669902913e+02, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.311850747278510e-01,  5.645053168910712e-01,  1.053000000000000e+03,  2.228850000000000e+00,  8.519417475728155e+02, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.331594707700800e-01,  5.723202707790929e-01,  1.134000000000000e+03,  2.400300000000000e+00,  9.174757281553399e+02, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.354507873556270e-01,  5.801352246671145e-01,  1.215000000000000e+03,  2.571750000000000e+00,  9.830097087378641e+02, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.337303696543760e-01,  5.879501785551353e-01,  1.296000000000000e+03,  2.743200000000000e+00,  1.048543689320388e+03, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.357515610659280e-01,  5.957651324431570e-01,  1.377000000000000e+03,  2.914650000000000e+00,  1.114077669902913e+03, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.338785022320920e-01,  6.035800863311795e-01,  1.458000000000000e+03,  3.086100000000000e+00,  1.179611650485437e+03, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.368098128623250e-01,  6.113950402192003e-01,  1.539000000000000e+03,  3.257550000000000e+00,  1.245145631067961e+03, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.374193757726820e-01,  6.270249479952437e-01,  1.701000000000000e+03,  3.600450000000000e+00,  1.376213592233010e+03, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.370904880212340e-01,  6.348399018832653e-01,  1.782000000000000e+03,  3.771900000000000e+00,  1.441747572815534e+03, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.243066765750370e-01,  6.504698096593078e-01,  1.944000000000000e+03,  4.114800000000000e+00,  1.572815533980583e+03, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.406782826954460e-01,  6.660997174353520e-01,  2.106000000000000e+03,  4.457700000000000e+00,  1.703883495145631e+03, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.449528999218350e-01,  6.739146713233719e-01,  2.187000000000000e+03,  4.629150000000000e+00,  1.769417475728156e+03, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.492079417796780e-01,  6.817296252113945e-01,  2.268000000000000e+03,  4.800600000000000e+00,  1.834951456310680e+03, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.513618316460450e-01,  6.973595329874369e-01,  2.430000000000000e+03,  5.143500000000000e+00,  1.966019417475728e+03, -1.341300000000000e+01, -6.983240223463687e-01
PdAg_1_5_100,  2.374958845661730e-01,  3.017020025447955e-01,  8.100000000000000e+01,  1.836000000000000e-01,  6.639344262295093e+01, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  4.808701435604430e-01,  3.119575513675693e-01,  1.620000000000000e+02,  3.672000000000000e-01,  1.327868852459019e+02, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.367991849441260e-01,  3.324686490131187e-01,  3.240000000000000e+02,  7.343999999999999e-01,  2.655737704918037e+02, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.645630120222940e-01,  3.632352954814436e-01,  5.670000000000000e+02,  1.285200000000000e+00,  4.647540983606565e+02, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.557853067401700e-01,  3.734908443042174e-01,  6.480000000000000e+02,  1.468800000000000e+00,  5.311475409836074e+02, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.565493546496050e-01,  3.940019419497668e-01,  8.100000000000000e+02,  1.836000000000000e+00,  6.639344262295093e+02, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.598480318312991e-01,  4.042574907725424e-01,  8.910000000000000e+02,  2.019600000000000e+00,  7.303278688524601e+02, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.581440247555720e-01,  4.350241372408655e-01,  1.134000000000000e+03,  2.570400000000000e+00,  9.295081967213130e+02, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.573180603724570e-01,  4.452796860636402e-01,  1.215000000000000e+03,  2.754000000000000e+00,  9.959016393442639e+02, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.579843483292020e-01,  4.555352348864149e-01,  1.296000000000000e+03,  2.937600000000000e+00,  1.062295081967215e+03, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.640054092902220e-01,  4.657907837091905e-01,  1.377000000000000e+03,  3.121200000000000e+00,  1.128688524590166e+03, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.641858757894110e-01,  4.965574301775145e-01,  1.620000000000000e+03,  3.672000000000000e+00,  1.327868852459019e+03, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.722223250453750e-01,  5.068129790002883e-01,  1.701000000000000e+03,  3.855600000000000e+00,  1.394262295081970e+03, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.681292230354840e-01,  5.170685278230639e-01,  1.782000000000000e+03,  4.039200000000000e+00,  1.460655737704920e+03, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.688182680948790e-01,  5.273240766458386e-01,  1.863000000000000e+03,  4.222799999999999e+00,  1.527049180327871e+03, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.669074847793930e-01,  5.375796254686133e-01,  1.944000000000000e+03,  4.406400000000000e+00,  1.593442622950822e+03, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.713037334532890e-01,  5.478351742913871e-01,  2.025000000000000e+03,  4.590000000000000e+00,  1.659836065573773e+03, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.756184173897150e-01,  5.683462719369364e-01,  2.187000000000000e+03,  4.957199999999999e+00,  1.792622950819675e+03, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.748142709268410e-01,  5.786018207597120e-01,  2.268000000000000e+03,  5.140800000000000e+00,  1.859016393442626e+03, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_5_100,  5.845225345839020e-01,  5.991129184052614e-01,  2.430000000000000e+03,  5.508000000000000e+00,  1.991803278688528e+03, -1.882000000000000e+01, -6.607929515418517e-01
PdAg_1_1_100, -9.717271086694580e-01, -7.151369774502143e-01,  1.215000000000000e+02,  1.930500000000000e-01,  7.105263157894737e+01, -2.350000000000000e+01, -5.208333333333334e-01
PdAg_1_1_100, -9.805113751193140e-01, -6.892155349182527e-01,  2.430000000000000e+02,  3.861000000000000e-01,  1.421052631578947e+02, -2.350000000000000e+01, -5.208333333333334e-01
PdAg_1_1_100, -9.271610956676301e-01, -6.373726498543313e-01,  4.860000000000000e+02,  7.722000000000000e-01,  2.842105263157895e+02, -2.350000000000000e+01, -5.208333333333334e-01
PdAg_1_1_100, -8.529977989918130e-01, -6.114512073223688e-01,  6.075000000000000e+02,  9.652500000000001e-01,  3.552631578947368e+02, -2.350000000000000e+01, -5.208333333333334e-01
PdAg_1_1_100, -7.530017323218090e-01, -5.855297647904072e-01,  7.290000000000000e+02,  1.158300000000000e+00,  4.263157894736842e+02, -2.350000000000000e+01, -5.208333333333334e-01
PdAg_1_1_100, -4.916379417262000e-01, -5.077654371945242e-01,  1.093500000000000e+03,  1.737450000000000e+00,  6.394736842105264e+02, -2.350000000000000e+01, -5.208333333333334e-01
PdAg_1_1_100, -4.356272700356220e-01, -4.818439946625626e-01,  1.215000000000000e+03,  1.930500000000000e+00,  7.105263157894736e+02, -2.350000000000000e+01, -5.208333333333334e-01
