# c0 + a0 * (av_E_def_subsurf * time) + a1 * (time / total_metal_loading) + a2 * (av_E_def_subsurf * particle_diameter) + a3 * (av_E_def_subsurf - av_mu_C_critical_surf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.129302889919114; Max AE: 0.592641999883388
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  5.643705087642828e-03, -3.822963434864890e-06,  6.596761611529548e-01, -8.898684563767028e-01,  3.387512026208234e+00, 
# 3   ,  1.904433657445494e-02, -4.216515193944221e-05,  1.199591337705694e+00, -9.082057715754851e-01,  2.960524227492065e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 1;  1; min;                                              0|1|div; (time / total_metal_loading); $\left(\frac{ time }{ total_{metal, loading} } \right)$; (time ./ total_metal_loading); time,total_metal_loading
# 2;  1; eV * nm;                                          14|2|mult; (av_E_def_subsurf * particle_diameter); $\left(av_{E, def, subsurf} particle_{diameter}\right)$; (av_E_def_subsurf .* particle_diameter); av_E_def_subsurf,particle_diameter
# 3;  1; eV;                                               14|11|sub; (av_E_def_subsurf - av_mu_C_critical_surf); $\left(av_{E, def, subsurf} - av_{mu, C, critical, surf}\right)$; (av_E_def_subsurf - av_mu_C_critical_surf); av_E_def_subsurf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  4.889175556194310e-01,  4.487059655999288e-01,  8.343000000000000e+00,  3.188976377952756e+03,  1.236000000000000e+00,  4.258000000000000e+00
PdAg_1_9_100,  5.056601140297000e-01,  4.603373294194761e-01,  1.112400000000000e+01,  4.251968503937008e+03,  1.236000000000000e+00,  4.258000000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  4.719686932390234e-01,  1.390500000000000e+01,  5.314960629921260e+03,  1.236000000000000e+00,  4.258000000000000e+00
PdAg_1_9_100,  5.343009987338970e-01,  4.836000570585716e-01,  1.668600000000000e+01,  6.377952755905512e+03,  1.236000000000000e+00,  4.258000000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  5.184941485172144e-01,  2.502900000000000e+01,  9.566929133858268e+03,  1.236000000000000e+00,  4.258000000000000e+00
PdAg_1_9_100,  5.324653140763990e-01,  5.301255123367618e-01,  2.781000000000000e+01,  1.062992125984252e+04,  1.236000000000000e+00,  4.258000000000000e+00
PdAg_1_9_100,  5.309811253181910e-01,  5.417568761563100e-01,  3.059100000000000e+01,  1.169291338582677e+04,  1.236000000000000e+00,  4.258000000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.533882399758573e-01,  3.337200000000000e+01,  1.275590551181102e+04,  1.236000000000000e+00,  4.258000000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.650196037954046e-01,  3.615300000000000e+01,  1.381889763779528e+04,  1.236000000000000e+00,  4.258000000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.766509676149528e-01,  3.893400000000000e+01,  1.488188976377953e+04,  1.236000000000000e+00,  4.258000000000000e+00
