# c0 + a0 * (std_dev / av_EA) + a1 * (av_E_def_subsurf * time) + a2 * (av_BE_H_subsurf / av_BE_H_surf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.163540383644519; Max AE: 0.589994304675685
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  1.973614571384512e-01,  4.659338942072063e-03, -1.217945818196293e+01,  7.973427962116370e+00, 
# 3   ,  2.112452733462487e-01,  6.192889157543460e-03, -1.130103407411822e+01,  7.440039155545298e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * nm;                                       3|6|div; (std_dev / av_EA); $\left(\frac{ std_{dev} }{ av_{EA} } \right)$; (std_dev ./ av_EA); std_dev,av_EA
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; Unitless;                                         19|16|div; (av_BE_H_subsurf / av_BE_H_surf); $\left(\frac{ av_{BE, H, subsurf} }{ av_{BE, H, surf} } \right)$; (av_BE_H_subsurf ./ av_BE_H_surf); av_BE_H_subsurf,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 179                   
# 3   , 166                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.933035919489222e-01,  2.439421044072207e+00,  2.781000000000000e+00,  6.629629629629629e-01
PdAg_1_9_100,  4.889175556194310e-01,  4.192188351447265e-01,  2.439421044072207e+00,  8.343000000000000e+00,  6.629629629629629e-01
PdAg_1_9_100,  5.056601140297000e-01,  4.321764567426304e-01,  2.439421044072207e+00,  1.112400000000000e+01,  6.629629629629629e-01
PdAg_1_9_100,  5.190263630918930e-01,  4.451340783405326e-01,  2.439421044072207e+00,  1.390500000000000e+01,  6.629629629629629e-01
PdAg_1_9_100,  5.224295719363120e-01,  4.710493215363369e-01,  2.439421044072207e+00,  1.946700000000000e+01,  6.629629629629629e-01
PdAg_1_9_100,  5.250038067660980e-01,  4.969645647321412e-01,  2.439421044072207e+00,  2.502900000000000e+01,  6.629629629629629e-01
PdAg_1_9_100,  5.324653140763990e-01,  5.099221863300434e-01,  2.439421044072207e+00,  2.781000000000000e+01,  6.629629629629629e-01
PdAg_1_9_100,  5.301609565427799e-01,  5.358374295258495e-01,  2.439421044072207e+00,  3.337200000000000e+01,  6.629629629629629e-01
PdAg_1_9_100,  5.311850747278510e-01,  5.487950511237516e-01,  2.439421044072207e+00,  3.615300000000000e+01,  6.629629629629629e-01
PdAg_1_9_100,  5.354507873556270e-01,  5.747102943195559e-01,  2.439421044072207e+00,  4.171500000000000e+01,  6.629629629629629e-01
