# c0 + a0 * (|(av_BE_H_surf / av_d_band_center_surf) - (exp(-1.0 * av_delta_M1_M2_subsurf))|) + a1 * ((time / av_W_change_H) * (av_E_b_C_subsurf^2)) + a2 * ((time / av_W_change_H) * (av_BE_H_surf^3)) + a3 * ((av_BE_H_subsurf * time) / (av_d_band_center_surf * av_W_change_H)) + a4 * (exp(3.334326e-01*((std_dev+2.549069e+01) / (av_BE_H_subsurf-4.776949e-01))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.0953940085517482; Max AE: 0.587031740735867
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  2.084237302957198e+00,  7.378321504128485e-05,  8.419727077996939e-05, -1.980787375275348e-03, -7.253298734669508e+01,  2.144759368664866e-01, 
# 3   ,  6.036098241949098e-01,  5.987072100998714e-05,  7.984980009318234e-05, -1.287632097649271e-03, -8.937513547356168e+01,  9.709870295433631e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         16|18|div|15|nexp|abd; (|(av_BE_H_surf / av_d_band_center_surf) - (exp(-1.0 * av_delta_M1_M2_subsurf))|); $\left(\left|\left(\frac{ av_{BE, H, surf} }{ av_{d, band, center, surf} } \right) - \left(\exp{ \left(-av_{delta, M1, M2, subsurf} \right) } \right)\right|\right)$; abs((av_BE_H_surf ./ av_d_band_center_surf) - exp(-1.0 * (av_delta_M1_M2_subsurf))); av_BE_H_surf,av_d_band_center_surf,av_delta_M1_M2_subsurf
# 1;  2; eV * min;                                         0|17|div|13|sq|mult; ((time / av_W_change_H) * (av_E_b_C_subsurf^2)); $\left(\left(\frac{ time }{ av_{W, change, H} } \right) \left(av_{E, b, C, subsurf}^2\right)\right)$; ((time ./ av_W_change_H) .* (av_E_b_C_subsurf).^2); time,av_W_change_H,av_E_b_C_subsurf
# 2;  2; eV^2 * min;                                       0|17|div|16|cb|mult; ((time / av_W_change_H) * (av_BE_H_surf^3)); $\left(\left(\frac{ time }{ av_{W, change, H} } \right) \left(av_{BE, H, surf}^3\right)\right)$; ((time ./ av_W_change_H) .* (av_BE_H_surf).^3); time,av_W_change_H,av_BE_H_surf
# 3;  2; eV^-1 * min;                                      19|0|mult|18|17|mult|div; ((av_BE_H_subsurf * time) / (av_d_band_center_surf * av_W_change_H)); $\left(\frac{ \left(av_{BE, H, subsurf} time\right) }{ \left(av_{d, band, center, surf} av_{W, change, H}\right) } \right)$; ((av_BE_H_subsurf .* time) ./ (av_d_band_center_surf .* av_W_change_H)); av_BE_H_subsurf,time,av_d_band_center_surf,av_W_change_H
# 4;  2; Unitless;                                         3|19|div|exp:3.3343258997463e-01,0.0000000000000e+00,2.5490688233033e+01,-4.7769487993340e-01; (exp(3.334326e-01*((std_dev+2.549069e+01) / (av_BE_H_subsurf-4.776949e-01)))); $\left(\exp{ \left(3.334e-01\left(\frac{ std_{dev} +2.549e+01 }{ av_{BE, H, subsurf}-4.777e-01 } \right) \right)}\right)$; exp(3.334326e-01.*((std_dev+2.549069e+01) ./ (av_BE_H_subsurf-4.776949e-01))); std_dev,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.932324941258485e-01,  3.722378235238968e-01,  2.867023703883495e+03, -1.320863067961165e+03,  4.848600371695932e+01,  6.912166663423509e-03
PdAg_1_9_100,  4.889175556194310e-01,  5.018018881970544e-01,  3.722378235238968e-01,  8.601071111650484e+03, -3.962589203883496e+03,  1.454580111508780e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.056601140297000e-01,  5.060865852326571e-01,  3.722378235238968e-01,  1.146809481553398e+04, -5.283452271844661e+03,  1.939440148678373e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.190263630918930e-01,  5.103712822682601e-01,  3.722378235238968e-01,  1.433511851941747e+04, -6.604315339805826e+03,  2.424300185847966e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.343009987338970e-01,  5.146559793038631e-01,  3.722378235238968e-01,  1.720214222330097e+04, -7.925178407766992e+03,  2.909160223017559e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.224295719363120e-01,  5.189406763394663e-01,  3.722378235238968e-01,  2.006916592718447e+04, -9.246041475728158e+03,  3.394020260187152e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.250038067660980e-01,  5.275100704106720e-01,  3.722378235238968e-01,  2.580321333495145e+04, -1.188776761165049e+04,  4.363740334526339e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.324653140763990e-01,  5.317947674462747e-01,  3.722378235238968e-01,  2.867023703883494e+04, -1.320863067961165e+04,  4.848600371695932e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.309811253181910e-01,  5.360794644818777e-01,  3.722378235238968e-01,  3.153726074271844e+04, -1.452949374757282e+04,  5.333460408865525e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.301609565427799e-01,  5.403641615174805e-01,  3.722378235238968e-01,  3.440428444660194e+04, -1.585035681553398e+04,  5.818320446035118e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.311850747278510e-01,  5.446488585530832e-01,  3.722378235238968e-01,  3.727130815048543e+04, -1.717121988349515e+04,  6.303180483204711e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.331594707700800e-01,  5.489335555886868e-01,  3.722378235238968e-01,  4.013833185436893e+04, -1.849208295145632e+04,  6.788040520374303e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.354507873556270e-01,  5.532182526242896e-01,  3.722378235238968e-01,  4.300535555825242e+04, -1.981294601941748e+04,  7.272900557543896e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.337303696543760e-01,  5.575029496598926e-01,  3.722378235238968e-01,  4.587237926213592e+04, -2.113380908737865e+04,  7.757760594713491e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.357515610659280e-01,  5.617876466954960e-01,  3.722378235238968e-01,  4.873940296601941e+04, -2.245467215533981e+04,  8.242620631883084e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.338785022320920e-01,  5.660723437310978e-01,  3.722378235238968e-01,  5.160642666990290e+04, -2.377553522330098e+04,  8.727480669052677e+02,  6.912166663423509e-03
PdAg_1_9_100,  5.368098128623250e-01,  5.703570407667010e-01,  3.722378235238968e-01,  5.447345037378640e+04, -2.509639829126214e+04,  9.212340706222270e+02,  6.912166663423509e-03
