# c0 + a0 * ((av_E_def_subsurf * std_dev) / (av_PE * surface_area)) + a1 * (exp(2.311734e-03*((time+7.072403e+02) / (av_mu_C_critical_surf+4.051807e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.149676231149742; Max AE: 0.482471692323283
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  8.596832527512622e+01, -4.767303677304898e+00,  8.021093552190513e-02, 
# 3   ,  1.226615303422469e+02, -4.551449486802438e+00,  9.922780406477019e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * g * m^-2 * nm;                               14|3|mult|7|4|mult|div; ((av_E_def_subsurf * std_dev) / (av_PE * surface_area)); $\left(\frac{ \left(av_{E, def, subsurf} std_{dev}\right) }{ \left(av_{PE} surface_{area}\right) } \right)$; ((av_E_def_subsurf .* std_dev) ./ (av_PE .* surface_area)); av_E_def_subsurf,std_dev,av_PE,surface_area
# 1;  2; Unitless;                                         0|11|div|exp:2.3117340007243e-03,0.0000000000000e+00,7.0724033339807e+02,4.0518071613903e+00; (exp(2.311734e-03*((time+7.072403e+02) / (av_mu_C_critical_surf+4.051807e+00)))); $\left(\exp{ \left(2.312e-03\left(\frac{ time +7.072e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.311734e-03.*((time+7.072403e+02) ./ (av_mu_C_critical_surf+4.051807e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  4.889175556194310e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.343009987338970e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.224295719363120e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.309811253181910e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.354507873556270e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.357515610659280e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.338785022320920e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.368098128623250e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.374193757726820e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.370904880212340e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.243066765750370e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.406782826954460e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.449528999218350e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.492079417796780e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.513618316460450e-01,  4.520998696608794e-01,  4.325883201153569e-03,  0.000000000000000e+00
PdAg_1_5_100,  2.374958845661730e-01,  5.320514611018677e-01,  5.279671102455904e-03,  4.287448922923017e-04
PdAg_1_5_100,  4.808701435604430e-01,  5.323277922481879e-01,  5.279671102455904e-03,  3.707810693380874e-04
PdAg_1_5_100,  5.367991849441260e-01,  5.327734300703371e-01,  5.279671102455904e-03,  2.773031094022466e-04
PdAg_1_5_100,  5.645630120222940e-01,  5.332403842975422e-01,  5.279671102455904e-03,  1.793537739260783e-04
PdAg_1_5_100,  5.557853067401700e-01,  5.333559799229055e-01,  5.279671102455904e-03,  1.551061838441571e-04
PdAg_1_5_100,  5.565493546496050e-01,  5.335424003949473e-01,  5.279671102455904e-03,  1.160022197041627e-04
PdAg_1_5_100,  5.598480318312991e-01,  5.336171651954681e-01,  5.279671102455904e-03,  1.003193923490002e-04
PdAg_1_5_100,  5.581440247555720e-01,  5.337860942941319e-01,  5.279671102455904e-03,  6.488445677565270e-05
PdAg_1_5_100,  5.573180603724570e-01,  5.338279130927731e-01,  5.279671102455904e-03,  5.611245451361700e-05
PdAg_1_5_100,  5.579843483292020e-01,  5.338640782323639e-01,  5.279671102455904e-03,  4.852637608463771e-05
PdAg_1_5_100,  5.640054092902220e-01,  5.338953540548199e-01,  5.279671102455904e-03,  4.196589146418903e-05
PdAg_1_5_100,  5.641858757894110e-01,  5.339660209523526e-01,  5.279671102455904e-03,  2.714264916285693e-05
PdAg_1_5_100,  5.722223250453750e-01,  5.339835147102776e-01,  5.279671102455904e-03,  2.347312040842090e-05
PdAg_1_5_100,  5.681292230354840e-01,  5.339986434135853e-01,  5.279671102455904e-03,  2.029969066034340e-05
PdAg_1_5_100,  5.688182680948790e-01,  5.340117268039438e-01,  5.279671102455904e-03,  1.755529021006524e-05
PdAg_1_5_100,  5.669074847793930e-01,  5.340230413958025e-01,  5.279671102455904e-03,  1.518191678465697e-05
PdAg_1_5_100,  5.713037334532890e-01,  5.340328263204601e-01,  5.279671102455904e-03,  1.312940968210818e-05
PdAg_1_5_100,  5.756184173897150e-01,  5.340486064182609e-01,  5.279671102455904e-03,  9.819342006764550e-06
PdAg_1_5_100,  5.748142709268410e-01,  5.340549351001452e-01,  5.279671102455904e-03,  8.491823914213280e-06
PdAg_1_5_100,  5.845225345839020e-01,  5.340651413329552e-01,  5.279671102455904e-03,  6.350942296249017e-06
PdAg_1_1_100, -9.717271086694580e-01, -7.690767470910000e-01,  5.333894795943433e-03,  2.743340416176784e-01
PdAg_1_1_100, -9.805113751193140e-01, -7.377732274980027e-01,  5.333894795943433e-03,  2.677677471854567e-01
PdAg_1_1_100, -9.271610956676301e-01, -6.773960410107299e-01,  5.333894795943433e-03,  2.551028970785288e-01
PdAg_1_1_100, -8.529977989918130e-01, -6.482869355937027e-01,  5.333894795943433e-03,  2.489969077421240e-01
PdAg_1_1_100, -7.530017323218090e-01, -6.198745681961341e-01,  5.333894795943433e-03,  2.430370676898051e-01
PdAg_1_1_100, -4.916379417262000e-01, -5.386531133665052e-01,  5.333894795943433e-03,  2.259998784676690e-01
PdAg_1_1_100, -4.356272700356220e-01, -5.128648751226813e-01,  5.333894795943433e-03,  2.205904814605955e-01
PdAg_1_1_100, -3.303847196540950e-01, -4.391449278072155e-01,  5.333894795943433e-03,  2.051268247889185e-01
PdAg_1_1_100, -3.034303343562620e-01, -4.157384575749206e-01,  5.333894795943433e-03,  2.002170326261656e-01
PdAg_1_1_100, -2.964391635700440e-01, -3.928922305200968e-01,  5.333894795943433e-03,  1.954247582922302e-01
PdAg_1_1_100, -2.763484965311610e-01, -3.705928369993935e-01,  5.333894795943433e-03,  1.907471889511242e-01
PdAg_1_1_100, -2.576351643592600e-01, -3.488271883346092e-01,  5.333894795943433e-03,  1.861815790932078e-01
PdAg_1_1_100, -2.410399546736480e-01, -3.275825091302625e-01,  5.333894795943433e-03,  1.817252489237069e-01
PdAg_1_1_100, -2.257372496018260e-01, -3.068463297750461e-01,  5.333894795943433e-03,  1.773755827898013e-01
PdAg_1_1_100, -1.875776586949730e-01, -2.475685289754224e-01,  5.333894795943433e-03,  1.649413422185912e-01
PdAg_1_1_100, -1.649059173329500e-01, -2.103769915954725e-01,  5.333894795943433e-03,  1.571399643544113e-01
PdAg_1_1_100, -1.405274874960350e-01, -1.749445355504265e-01,  5.333894795943433e-03,  1.497075752213832e-01
PdAg_1_1_100, -1.177762941936660e-01, -1.411879600005022e-01,  5.333894795943433e-03,  1.426267224301870e-01
PdAg_1_1_100, -1.127993153452220e-01, -1.249132083373434e-01,  5.333894795943433e-03,  1.392128950835810e-01
PdAg_1_1_100, -1.052140905390360e-01, -1.090279993302891e-01,  5.333894795943433e-03,  1.358807790527359e-01
PdAu_1_9_100, -7.191156478202700e-02, -1.646803653477799e-01,  4.967183237841123e-03,  1.409416665357927e-01
PdAu_1_9_100,  4.079877212234700e-02, -7.602287633354103e-02,  4.967183237841123e-03,  1.223446785913705e-01
PdAu_1_9_100,  5.806571622389000e-02, -5.575039735510690e-02,  4.967183237841123e-03,  1.180922792581913e-01
PdAu_1_9_100,  9.683182273926901e-02, -1.729481263238488e-02,  4.967183237841123e-03,  1.100257520709696e-01
PdAu_1_9_100,  1.082976085838650e-01,  9.364236716880852e-04,  4.967183237841123e-03,  1.062015282459038e-01
PdAu_1_9_100,  1.191551569766660e-01,  1.853398715896911e-02,  4.967183237841123e-03,  1.025102250106903e-01
PdAu_1_9_100,  1.835385422534630e-01,  9.776134272951235e-02,  4.967183237841123e-03,  8.589132239122618e-02
PdAu_1_9_100,  2.085112147402500e-01,  1.257310037938138e-01,  4.967183237841123e-03,  8.002434538335208e-02
PdAu_1_9_100,  2.229614152668760e-01,  1.389910154120172e-01,  4.967183237841123e-03,  7.724289647307421e-02
PdAu_1_9_100,  2.228328257008080e-01,  1.517901417247673e-01,  4.967183237841123e-03,  7.455812386803097e-02
PdAu_1_9_100,  2.440082744924090e-01,  1.641444019687656e-01,  4.967183237841123e-03,  7.196666733825048e-02
PdAu_1_9_100,  2.700130477468170e-01,  1.875796366041078e-01,  4.967183237841123e-03,  6.705084149168079e-02
PdAu_1_9_100,  2.857011488378830e-01,  1.986899422608532e-01,  4.967183237841123e-03,  6.472031958479309e-02
PdAu_1_9_100,  2.971222466409820e-01,  2.094140810903192e-01,  4.967183237841123e-03,  6.247080087246119e-02
PdAu_1_9_100,  3.090110205184420e-01,  2.197654752991575e-01,  4.967183237841123e-03,  6.029946988339144e-02
PdAu_1_9_100,  3.282848750136670e-01,  2.297570805712154e-01,  4.967183237841123e-03,  5.820360900512943e-02
PdAu_1_9_100,  3.423906872889970e-01,  2.394014022827173e-01,  4.967183237841123e-03,  5.618059508272832e-02
PdAu_1_9_100,  3.588392118477170e-01,  2.487105111538476e-01,  4.967183237841123e-03,  5.422789613563857e-02
PdAu_1_5_100, -3.133863092721550e-01, -2.512638618627195e-01,  6.523489932885916e-03,  1.871683371277095e-01
PdAu_1_5_100, -1.362761787390710e-01, -1.495587586469448e-01,  6.523489932885916e-03,  1.658344532176181e-01
PdAu_1_5_100, -1.087631903666510e-01, -1.259981872197556e-01,  6.523489932885916e-03,  1.608923364526738e-01
