# c0 + a0 * ((av_mu_C_critical_subsurf * time) / (std_dev - particle_diameter)) + a1 * (ln(1.0*|av_d_band_center_surf - (3.724865e+00*av_BE_H_surf+7.279394e+00)|-2.008461e-01))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.14012481719801; Max AE: 0.615291164908152
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  3.348737260981928e-04,  5.455763436877732e-01, -2.415424759836580e-01, 
# 3   ,  4.913117121360859e-04,  5.405884386596386e-01, -9.952106192901743e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min * nm^-1;                                 12|0|mult|3|2|sub|div; ((av_mu_C_critical_subsurf * time) / (std_dev - particle_diameter)); $\left(\frac{ \left(av_{mu, C, critical, subsurf} time\right) }{ \left(std_{dev} - particle_{diameter}\right) } \right)$; ((av_mu_C_critical_subsurf .* time) ./ (std_dev - particle_diameter)); av_mu_C_critical_subsurf,time,std_dev,particle_diameter
# 1;  2; Unitless;                                         18|16|abd|log:1.0000000000000e+00,-2.0084614909689e-01,3.7248651198629e+00,7.2793936786611e+00; (ln(1.0*|av_d_band_center_surf - (3.724865e+00*av_BE_H_surf+7.279394e+00)|-2.008461e-01)); $\left(\ln{ \left(1.0\left(\left|av_{d, band, center, surf} - \left(3.725e+00av_{BE, H, surf}+7.279e+00\right)\right|\right)-2.008e-01 \right)}\right)$; log(1.0*abs(av_d_band_center_surf - (3.724865e+00.*av_BE_H_surf+7.279394e+00))-2.008461e-01); av_d_band_center_surf,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  4.889175556194310e-01,  3.602727190669919e-01,  6.035850000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.056601140297000e-01,  3.670102109992245e-01,  8.047799999999999e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.190263630918930e-01,  3.737477029314571e-01,  1.005975000000000e+02,  1.066033610113411e+00
PdAg_1_9_100,  5.343009987338970e-01,  3.804851948636896e-01,  1.207170000000000e+02,  1.066033610113411e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.006976706603874e-01,  1.810755000000000e+02,  1.066033610113411e+00
PdAg_1_9_100,  5.324653140763990e-01,  4.074351625926200e-01,  2.011950000000000e+02,  1.066033610113411e+00
PdAg_1_9_100,  5.309811253181910e-01,  4.141726545248526e-01,  2.213145000000000e+02,  1.066033610113411e+00
PdAg_1_9_100,  5.301609565427799e-01,  4.209101464570852e-01,  2.414340000000000e+02,  1.066033610113411e+00
PdAg_1_9_100,  5.311850747278510e-01,  4.276476383893178e-01,  2.615535000000000e+02,  1.066033610113411e+00
PdAg_1_9_100,  5.331594707700800e-01,  4.343851303215504e-01,  2.816730000000000e+02,  1.066033610113411e+00
PdAg_1_9_100,  5.354507873556270e-01,  4.411226222537830e-01,  3.017925000000000e+02,  1.066033610113411e+00
PdAg_1_9_100,  5.337303696543760e-01,  4.478601141860156e-01,  3.219120000000000e+02,  1.066033610113411e+00
PdAg_1_9_100,  5.357515610659280e-01,  4.545976061182481e-01,  3.420315000000000e+02,  1.066033610113411e+00
PdAg_1_9_100,  5.338785022320920e-01,  4.613350980504807e-01,  3.621510000000000e+02,  1.066033610113411e+00
