# c0 + a0 * ((av_E_def_subsurf^2) / cbrt(time)) + a1 * ((av_E_def_subsurf * time) / (std_dev - particle_diameter)) + a2 * (ln(1.0*|av_d_band_center_surf - (3.724865e+00*av_BE_H_surf+7.279394e+00)|-2.008461e-01))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.121991221116124; Max AE: 0.6666451484034
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -1.710897508622791e+01, -5.706964102623982e-03,  5.078229987493875e-01, -1.180395887211138e-02, 
# 3   , -9.313570256715058e+00, -8.520471002200290e-03,  5.109851503894460e-01,  4.980289510357636e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2 * min^-0.333333;                             14|sq|0|cbrt|div; ((av_E_def_subsurf^2) / cbrt(time)); $\left(\frac{ \left(av_{E, def, subsurf}^2\right) }{ \left(\sqrt[3]{ time }\right) } \right)$; ((av_E_def_subsurf).^2 ./ nthroot(time, 3)); av_E_def_subsurf,time
# 1;  2; eV * min * nm^-1;                                 14|0|mult|3|2|sub|div; ((av_E_def_subsurf * time) / (std_dev - particle_diameter)); $\left(\frac{ \left(av_{E, def, subsurf} time\right) }{ \left(std_{dev} - particle_{diameter}\right) } \right)$; ((av_E_def_subsurf .* time) ./ (std_dev - particle_diameter)); av_E_def_subsurf,time,std_dev,particle_diameter
# 2;  2; Unitless;                                         18|16|abd|log:1.0000000000000e+00,-2.0084614909689e-01,3.7248651198629e+00,7.2793936786611e+00; (ln(1.0*|av_d_band_center_surf - (3.724865e+00*av_BE_H_surf+7.279394e+00)|-2.008461e-01)); $\left(\ln{ \left(1.0\left(\left|av_{d, band, center, surf} - \left(3.725e+00av_{BE, H, surf}+7.279e+00\right)\right|\right)-2.008e-01 \right)}\right)$; log(1.0*abs(av_d_band_center_surf - (3.724865e+00.*av_BE_H_surf+7.279394e+00))-2.008461e-01); av_d_band_center_surf,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  4.889175556194310e-01,  3.340064016037226e-01,  1.235708686718319e-02, -2.781000000000000e+00,  1.066033610113411e+00
PdAg_1_9_100,  5.056601140297000e-01,  3.586286734923835e-01,  1.122715850688708e-02, -3.708000000000000e+00,  1.066033610113411e+00
PdAg_1_9_100,  5.190263630918930e-01,  3.776881235521556e-01,  1.042237071175356e-02, -4.635000000000000e+00,  1.066033610113411e+00
PdAg_1_9_100,  5.343009987338970e-01,  3.934927035163883e-01,  9.807826346114509e-03, -5.562000000000000e+00,  1.066033610113411e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.305772034142674e-01,  8.567925497491628e-03, -8.343000000000000e+00,  1.066033610113411e+00
PdAg_1_9_100,  5.324653140763990e-01,  4.409264158550942e-01,  8.272241115920077e-03, -9.270000000000000e+00,  1.066033610113411e+00
PdAg_1_9_100,  5.309811253181910e-01,  4.506424993433886e-01,  8.013562396542872e-03, -1.019700000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.301609565427799e-01,  4.598522726118351e-01,  7.784476929671796e-03, -1.112400000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.311850747278510e-01,  4.686491226877649e-01,  7.579526350509402e-03, -1.205100000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.331594707700800e-01,  4.771036255025647e-01,  7.394585576692134e-03, -1.297800000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.354507873556270e-01,  4.852702965771389e-01,  7.226468238456182e-03, -1.390500000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.337303696543760e-01,  4.931920395602409e-01,  7.072666666666665e-03, -1.483200000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.009031690548222e-01,  6.931175212079332e-03, -1.575900000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.338785022320920e-01,  5.084315196651539e-01,  6.800366973951684e-03, -1.668600000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.368098128623250e-01,  5.157999517408162e-01,  6.678905791031229e-03, -1.761300000000000e+01,  1.066033610113411e+00
