# c0 + a0 * ((av_E_def_subsurf^3) / sqrt(time)) + a1 * ((av_E_def_subsurf * time) / (std_dev - particle_diameter)) + a2 * (ln(1.0*|av_d_band_center_surf - (3.724865e+00*av_BE_H_surf+7.279394e+00)|-2.008461e-01))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.122000805283805; Max AE: 0.675909963174433
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -8.909097746377418e+01, -5.554698901147597e-03,  5.109743407068863e-01, -8.541516733817871e-02, 
# 3   , -4.649074935057190e+01, -8.408152443394934e-03,  5.121142005831486e-01,  7.742042845680560e-03, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^3 * min^-0.5;                                  14|cb|0|sqrt|div; ((av_E_def_subsurf^3) / sqrt(time)); $\left(\frac{ \left(av_{E, def, subsurf}^3\right) }{ \left(\sqrt{ time }\right) } \right)$; ((av_E_def_subsurf).^3 ./ sqrt(time)); av_E_def_subsurf,time
# 1;  2; eV * min * nm^-1;                                 14|0|mult|3|2|sub|div; ((av_E_def_subsurf * time) / (std_dev - particle_diameter)); $\left(\frac{ \left(av_{E, def, subsurf} time\right) }{ \left(std_{dev} - particle_{diameter}\right) } \right)$; ((av_E_def_subsurf .* time) ./ (std_dev - particle_diameter)); av_E_def_subsurf,time,std_dev,particle_diameter
# 2;  2; Unitless;                                         18|16|abd|log:1.0000000000000e+00,-2.0084614909689e-01,3.7248651198629e+00,7.2793936786611e+00; (ln(1.0*|av_d_band_center_surf - (3.724865e+00*av_BE_H_surf+7.279394e+00)|-2.008461e-01)); $\left(\ln{ \left(1.0\left(\left|av_{d, band, center, surf} - \left(3.725e+00av_{BE, H, surf}+7.279e+00\right)\right|\right)-2.008e-01 \right)}\right)$; log(1.0*abs(av_d_band_center_surf - (3.724865e+00.*av_BE_H_surf+7.279394e+00))-2.008461e-01); av_d_band_center_surf,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  4.889175556194310e-01,  3.523689971614861e-01,  1.373643860774457e-03, -2.781000000000000e+00,  1.066033610113411e+00
PdAg_1_9_100,  5.056601140297000e-01,  3.739139168947774e-01,  1.189610479183215e-03, -3.708000000000000e+00,  1.066033610113411e+00
PdAg_1_9_100,  5.190263630918930e-01,  3.902521049545106e-01,  1.064019959279907e-03, -4.635000000000000e+00,  1.066033610113411e+00
PdAg_1_9_100,  5.343009987338970e-01,  4.036606743548131e-01,  9.713128888888886e-04, -5.562000000000000e+00,  1.066033610113411e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.349877997654570e-01,  7.930736527888098e-04, -8.343000000000000e+00,  1.066033610113411e+00
PdAg_1_9_100,  5.324653140763990e-01,  4.437628235002609e-01,  7.523757285246562e-04, -9.270000000000000e+00,  1.066033610113411e+00
PdAg_1_9_100,  5.309811253181910e-01,  4.520314268622970e-01,  7.173621102046575e-04, -1.019700000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.301609565427799e-01,  4.599014872155149e-01,  6.868219303872287e-04, -1.112400000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.311850747278510e-01,  4.674512284727746e-01,  6.598771662345181e-04, -1.205100000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.331594707700800e-01,  4.747389401548881e-01,  6.358735481170805e-04, -1.297800000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.354507873556270e-01,  4.818090667322458e-01,  6.143122099133888e-04, -1.390500000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.337303696543760e-01,  4.886961676669340e-01,  5.948052395916073e-04, -1.483200000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.357515610659280e-01,  4.954275756177922e-01,  5.770458422369451e-04, -1.575900000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.338785022320920e-01,  5.020252301273316e-01,  5.607877578673529e-04, -1.668600000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.368098128623250e-01,  5.085069729359168e-01,  5.458307222038557e-04, -1.761300000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.372121836650180e-01,  5.148874822815739e-01,  5.320099796399533e-04, -1.854000000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.374193757726820e-01,  5.211789593728442e-01,  5.191885779399782e-04, -1.946700000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.357670351206070e-01,  5.335341890428050e-01,  4.961018640460879e-04, -2.132100000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.406782826954460e-01,  5.516098341720004e-01,  4.666036189945905e-04, -2.410200000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.449528999218350e-01,  5.575361211432237e-01,  4.578812869248191e-04, -2.502900000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.492079417796780e-01,  5.634203978880449e-01,  4.496304978507380e-04, -2.595600000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.484023401121820e-01,  5.692663181442090e-01,  4.418102404617836e-04, -2.688300000000000e+01,  1.066033610113411e+00
PdAg_1_9_100,  5.513618316460450e-01,  5.750771057010314e-01,  4.343843293954510e-04, -2.781000000000000e+01,  1.066033610113411e+00
PdAg_1_5_100,  4.808701435604430e-01,  2.645177282666901e-01,  1.617870882110244e-03, -2.744999999999996e+00,  9.370782586777081e-01
PdAg_1_5_100,  5.154914790070170e-01,  2.985913129632923e-01,  1.320986043625539e-03, -4.117499999999993e+00,  9.370782586777081e-01
PdAg_1_5_100,  5.423108450430540e-01,  3.403662146267665e-01,  1.023231389506827e-03, -6.862499999999989e+00,  9.370782586777081e-01
PdAg_1_5_100,  5.557853067401700e-01,  3.823295228663307e-01,  8.089354410551222e-04, -1.097999999999998e+01,  9.370782586777081e-01
PdAg_1_5_100,  5.565493546496050e-01,  4.051856821960113e-01,  7.235338542432111e-04, -1.372499999999998e+01,  9.370782586777081e-01
PdAg_1_5_100,  5.575686028510159e-01,  4.260497000610195e-01,  6.604930218127694e-04, -1.646999999999997e+01,  9.370782586777081e-01
PdAg_1_5_100,  5.581440247555720e-01,  4.456623882882388e-01,  6.114977153537721e-04, -1.921499999999997e+01,  9.370782586777081e-01
PdAg_1_5_100,  5.573180603724570e-01,  4.551334958782301e-01,  5.907629181750415e-04, -2.058749999999997e+01,  9.370782586777081e-01
PdAg_1_5_100,  5.579843483292020e-01,  4.644285940042722e-01,  5.720037359122077e-04, -2.195999999999997e+01,  9.370782586777081e-01
PdAg_1_5_100,  5.670953068021050e-01,  4.825907150008113e-01,  5.392902940367482e-04, -2.470499999999996e+01,  9.370782586777081e-01
PdAg_1_5_100,  5.641858757894110e-01,  5.003039205855320e-01,  5.116156947534136e-04, -2.744999999999996e+01,  9.370782586777081e-01
