# c0 + a0 * ((time^3) / (av_d_band_center_surf^6)) + a1 * ((particle_diameter^6) / cbrt(time)) + a2 * (exp(2.241964e+01*((av_E_def_subsurf-1.973956e-01) / (time+1.931650e+02)))) + a3 * (|(av_PE + total_metal_loading) - (av_mu_C_critical_subsurf / av_BE_H_surf)|) + a4 * ((av_mu_C_critical_surf^6) / cbrt(std_dev))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.0870215082382001; Max AE: 0.489142368928654
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.457699299453804e-07, -6.332275055730553e-06, -9.400813504334583e+01,  9.917200510781067e-01, -5.339216920098864e-05,  9.472401364679540e+01, 
# 3   ,  1.139828367211701e-06, -2.335355238739651e-06, -6.282746179874881e+01,  1.184586456611091e+00, -6.016629409614924e-05,  6.358203255364496e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-6 * min^3;                                    0|cb|18|sp|div; ((time^3) / (av_d_band_center_surf^6)); $\left(\frac{ \left(time^3\right) }{ \left(av_{d, band, center, surf}^6\right) } \right)$; ((time).^3 ./ (av_d_band_center_surf).^6); time,av_d_band_center_surf
# 1;  2; min^-0.333333 * nm^6;                             2|sp|0|cbrt|div; ((particle_diameter^6) / cbrt(time)); $\left(\frac{ \left(particle_{diameter}^6\right) }{ \left(\sqrt[3]{ time }\right) } \right)$; ((particle_diameter).^6 ./ nthroot(time, 3)); particle_diameter,time
# 2;  2; Unitless;                                         14|0|div|exp:2.2419637909416e+01,0.0000000000000e+00,-1.9739561529833e-01,1.9316499595162e+02; (exp(2.241964e+01*((av_E_def_subsurf-1.973956e-01) / (time+1.931650e+02)))); $\left(\exp{ \left(2.242e+01\left(\frac{ av_{E, def, subsurf} -1.974e-01 }{ time+1.932e+02 } \right) \right)}\right)$; exp(2.241964e+01.*((av_E_def_subsurf-1.973956e-01) ./ (time+1.931650e+02))); av_E_def_subsurf,time
# 3;  2; Unitless;                                         7|1|add|12|16|div|abd; (|(av_PE + total_metal_loading) - (av_mu_C_critical_subsurf / av_BE_H_surf)|); $\left(\left|\left(av_{PE} + total_{metal, loading}\right) - \left(\frac{ av_{mu, C, critical, subsurf} }{ av_{BE, H, surf} } \right)\right|\right)$; abs((av_PE + total_metal_loading) - (av_mu_C_critical_subsurf ./ av_BE_H_surf)); av_PE,total_metal_loading,av_mu_C_critical_subsurf,av_BE_H_surf
# 4;  2; eV^6 * nm^-0.333333;                              11|sp|3|cbrt|div; ((av_mu_C_critical_surf^6) / cbrt(std_dev)); $\left(\frac{ \left(av_{mu, C, critical, surf}^6\right) }{ \left(\sqrt[3]{ std_{dev} }\right) } \right)$; ((av_mu_C_critical_surf).^6 ./ nthroot(std_dev, 3)); av_mu_C_critical_surf,std_dev
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  4.889175556194310e-01,  4.877283607422577e-01,  1.974358626963299e+01,  1.358592338757892e+04,  1.000825912498905e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.056601140297000e-01,  4.998333969042951e-01,  4.679961189838932e+01,  1.234363058010472e+04,  1.000780784060197e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.190263630918930e-01,  5.092326526165958e-01,  9.140549198904164e+01,  1.145881157337106e+04,  1.000740331810172e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.343009987338970e-01,  5.169296006895326e-01,  1.579486901570639e+02,  1.078315453870107e+04,  1.000703864733341e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.250038067660980e-01,  5.340261967889786e-01,  5.330768292800908e+02,  9.419953153241810e+03,  1.000613243720925e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.324653140763990e-01,  5.384281486046866e-01,  7.312439359123331e+02,  9.094864772937299e+03,  1.000588008781647e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.309811253181910e-01,  5.423785495241883e-01,  9.732856786993153e+02,  8.810462041028943e+03,  1.000564768590771e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.301609565427799e-01,  5.459497543312491e-01,  1.263589521256511e+03,  8.558595429134872e+03,  1.000543295622362e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.311850747278510e-01,  5.491973799826076e-01,  1.606542927199396e+03,  8.333263771546957e+03,  1.000523395685938e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.331594707700800e-01,  5.521651809929818e-01,  2.006533360143442e+03,  8.129931771753893e+03,  1.000504902037100e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.354507873556270e-01,  5.548882367015970e-01,  2.467948283704124e+03,  7.945096195056359e+03,  1.000487670694118e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.337303696543760e-01,  5.573951145693801e-01,  2.995175161496916e+03,  7.775999999999999e+03,  1.000471576681891e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.357515610659280e-01,  5.597093856420672e-01,  3.592601457137293e+03,  7.620438087821033e+03,  1.000456510995871e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.338785022320920e-01,  5.618507151623435e-01,  4.264614634240726e+03,  7.476621772473603e+03,  1.000442378129954e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.368098128623250e-01,  5.638356658141376e-01,  5.015602156422692e+03,  7.343082019661444e+03,  1.000429094049762e+00,  1.002074074074075e-01,  3.068853819265908e+03
PdAg_1_9_100,  5.372121836650180e-01,  5.656783013023715e-01,  5.849951487298665e+03,  7.218598954034594e+03,  1.000416584520455e+00,  1.002074074074075e-01,  3.068853819265908e+03
