# c0 + a0 * (exp(5.324014e+01*((av_BE_H_subsurf+1.361088e+00) / (time+5.800701e+02))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.239480674405261; Max AE: 0.615897704298387
# Coefficients
# Task   a0                      c0
# 2   ,  3.529986342342891e+01, -3.456731183893049e+01, 
# 3   ,  3.397288701891208e+01, -3.307571188087172e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         19|0|div|exp:5.3240138927182e+01,0.0000000000000e+00,1.3610878687420e+00,5.8007009549980e+02; (exp(5.324014e+01*((av_BE_H_subsurf+1.361088e+00) / (time+5.800701e+02)))); $\left(\exp{ \left(5.324e+01\left(\frac{ av_{BE, H, subsurf} +1.361e+00 }{ time+5.801e+02 } \right) \right)}\right)$; exp(5.324014e+01.*((av_BE_H_subsurf+1.361088e+00) ./ (time+5.800701e+02))); av_BE_H_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 167                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.087411610066555e-01,  9.936597368435363e-01
PdAg_1_9_100,  4.889175556194310e-01,  5.184491983194183e-01,  9.939347531289058e-01
PdAg_1_9_100,  5.056601140297000e-01,  5.229940990334623e-01,  9.940635043554906e-01
PdAg_1_9_100,  5.343009987338970e-01,  5.315286104291802e-01,  9.943052761519802e-01
PdAg_1_9_100,  5.224295719363120e-01,  5.355403846039553e-01,  9.944189245853085e-01
PdAg_1_9_100,  5.250038067660980e-01,  5.431019986561455e-01,  9.946331354439026e-01
PdAg_1_9_100,  5.324653140763990e-01,  5.466692344048646e-01,  9.947341906719620e-01
PdAg_1_9_100,  5.309811253181910e-01,  5.501046148859520e-01,  9.948315106088660e-01
PdAg_1_9_100,  5.311850747278510e-01,  5.566080101222075e-01,  9.950157434813348e-01
PdAg_1_9_100,  5.331594707700800e-01,  5.596888904221331e-01,  9.951030208813341e-01
PdAg_1_9_100,  5.354507873556270e-01,  5.626637315221817e-01,  9.951872943263717e-01
PdAg_1_9_100,  5.337303696543760e-01,  5.655379153543347e-01,  9.952687162796998e-01
PdAg_1_9_100,  5.338785022320920e-01,  5.710040775094121e-01,  9.954235656650787e-01
PdAg_1_9_100,  5.368098128623250e-01,  5.736051433443904e-01,  9.954972505347276e-01
PdAg_1_9_100,  5.372121836650180e-01,  5.761237773651311e-01,  9.955686002164680e-01
PdAg_1_9_100,  5.374193757726820e-01,  5.785638370291937e-01,  9.956377239871408e-01
PdAg_1_9_100,  5.370904880212340e-01,  5.809289428077409e-01,  9.957047244100653e-01
PdAg_1_9_100,  5.357670351206070e-01,  5.832224961095449e-01,  9.957696978428033e-01
PdAg_1_9_100,  5.243066765750370e-01,  5.854476956024838e-01,  9.958327348995264e-01
PdAg_1_9_100,  5.492079417796780e-01,  5.937226312323592e-01,  9.960671532464366e-01
PdAg_1_9_100,  5.484023401121820e-01,  5.956479187586180e-01,  9.961216941805803e-01
PdAg_1_9_100,  5.513618316460450e-01,  5.975205367881482e-01,  9.961747430552195e-01
PdAg_1_5_100,  2.374958845661730e-01,  2.537863025286204e-01,  9.864371916619926e-01
PdAg_1_5_100,  4.808701435604430e-01,  2.643621423967693e-01,  9.867367916842729e-01
PdAg_1_5_100,  5.154914790070170e-01,  2.744808500818382e-01,  9.870234417362488e-01
PdAg_1_5_100,  5.367991849441260e-01,  2.841714369355842e-01,  9.872979636724247e-01
PdAg_1_5_100,  5.423108450430540e-01,  2.934605103035600e-01,  9.875611112448828e-01
PdAg_1_5_100,  5.645630120222940e-01,  3.109299605245077e-01,  9.880559984349945e-01
PdAg_1_5_100,  5.557853067401700e-01,  3.191535859958708e-01,  9.882889632307139e-01
PdAg_1_5_100,  5.565493546496050e-01,  3.346745813960181e-01,  9.887286531868469e-01
PdAg_1_5_100,  5.598480318312991e-01,  3.420060859723277e-01,  9.889363453381838e-01
PdAg_1_5_100,  5.575686028510159e-01,  3.490722929508765e-01,  9.891365219477584e-01
PdAg_1_5_100,  5.581440247555720e-01,  3.624644023646595e-01,  9.895159032856730e-01
PdAg_1_5_100,  5.573180603724570e-01,  3.688157140272557e-01,  9.896958278249385e-01
PdAg_1_5_100,  5.640054092902220e-01,  3.808860505918207e-01,  9.900377650279180e-01
PdAg_1_5_100,  5.670953068021050e-01,  3.866257147124237e-01,  9.902003623743086e-01
PdAg_1_5_100,  5.641858757894110e-01,  3.975607396175843e-01,  9.905101376494703e-01
PdAg_1_5_100,  5.722223250453750e-01,  4.027730383408034e-01,  9.906577954083884e-01
PdAg_1_5_100,  5.681292230354840e-01,  4.078256215282411e-01,  9.908009286303737e-01
PdAg_1_5_100,  5.688182680948790e-01,  4.127257193727218e-01,  9.909397421375452e-01
PdAg_1_5_100,  5.669074847793930e-01,  4.174801321507336e-01,  9.910744285730416e-01
PdAg_1_5_100,  5.713037334532890e-01,  4.220952617083636e-01,  9.912051692929779e-01
PdAg_1_5_100,  5.726284043483260e-01,  4.265771402200957e-01,  9.913321351811449e-01
PdAg_1_5_100,  5.756184173897150e-01,  4.309314564920391e-01,  9.914554873941468e-01
PdAg_1_5_100,  5.748142709268410e-01,  4.351635800508774e-01,  9.915753780438095e-01
PdAg_1_1_100, -9.805113751193140e-01, -9.560085869366919e-01,  9.521652491631342e-01
PdAg_1_1_100, -9.654552652811350e-01, -9.201491288617946e-01,  9.531811017641699e-01
PdAg_1_1_100, -9.271610956676301e-01, -8.857807912958043e-01,  9.541547128275821e-01
PdAg_1_1_100, -8.529977989918130e-01, -8.528124789724220e-01,  9.550886629658000e-01
PdAg_1_1_100, -7.530017323218090e-01, -8.211603674480357e-01,  9.559853268181416e-01
PdAg_1_1_100, -6.470710172478540e-01, -7.907471920141351e-01,  9.568468931950165e-01
PdAg_1_1_100, -5.593859615030060e-01, -7.615016184476754e-01,  9.576753829037628e-01
PdAg_1_1_100, -4.916379417262000e-01, -7.333576848196732e-01,  9.584726645614964e-01
PdAg_1_1_100, -4.356272700356220e-01, -7.062543051748271e-01,  9.592404686552328e-01
PdAg_1_1_100, -3.942969479298420e-01, -6.801348272277025e-01,  9.599804000717886e-01
PdAg_1_1_100, -3.303847196540950e-01, -6.306408069865612e-01,  9.613825023872410e-01
PdAg_1_1_100, -2.964391635700440e-01, -5.844970662733355e-01,  9.626896955669914e-01
PdAg_1_1_100, -2.763484965311610e-01, -5.625770281793990e-01,  9.633106622214795e-01
PdAg_1_1_100, -2.576351643592600e-01, -5.413746064442776e-01,  9.639112997219932e-01
PdAg_1_1_100, -2.410399546736480e-01, -5.208551326465707e-01,  9.644925901805871e-01
PdAg_1_1_100, -2.257372496018260e-01, -5.009861358609148e-01,  9.650554534570628e-01
PdAg_1_1_100, -1.990275787567010e-01, -4.630796646243253e-01,  9.661292953238682e-01
PdAg_1_1_100, -1.875776586949730e-01, -4.449867706779204e-01,  9.666418438776508e-01
PdAg_1_1_100, -1.649059173329500e-01, -4.103953237589695e-01,  9.676217753437877e-01
PdAg_1_1_100, -1.507812993782130e-01, -3.938506218411724e-01,  9.680904655967595e-01
PdAg_1_1_100, -1.405274874960350e-01, -3.777780293674617e-01,  9.685457815927710e-01
PdAg_1_1_100, -1.177762941936660e-01, -3.469705908851938e-01,  9.694185169377418e-01
PdAg_1_1_100, -1.127993153452220e-01, -3.321991414062235e-01,  9.698369732162204e-01
PdAu_1_9_100, -4.245180861522260e-01,  5.861038047098489e-02,  9.809081073220205e-01
PdAu_1_9_100, -7.191156478202700e-02,  8.766294669198522e-02,  9.817311293794293e-01
PdAu_1_9_100, -3.733330199173200e-02,  1.012697653879126e-01,  9.821165931568018e-01
PdAu_1_9_100,  9.299946229292000e-03,  1.268306110376628e-01,  9.828406992345829e-01
PdAu_1_9_100,  5.806571622389000e-02,  1.504021168718286e-01,  9.835084498587545e-01
PdAu_1_9_100,  9.683182273926901e-02,  1.722078176349462e-01,  9.841261774828406e-01
PdAu_1_9_100,  1.082976085838650e-01,  1.825093567382178e-01,  9.844180069151447e-01
PdAu_1_9_100,  1.191551569766660e-01,  1.924389674751495e-01,  9.846993000923399e-01
PdAu_1_9_100,  1.835385422534630e-01,  2.371546994008646e-01,  9.859660396088457e-01
PdAu_1_9_100,  2.229614152668760e-01,  2.605984528781964e-01,  9.866301711720792e-01
PdAu_1_9_100,  2.228328257008080e-01,  2.679276205256976e-01,  9.868377971212107e-01
PdAu_1_9_100,  2.440082744924090e-01,  2.750326366390111e-01,  9.870390731439558e-01
PdAu_1_9_100,  2.592868694966930e-01,  2.819236292048656e-01,  9.872342861532299e-01
PdAu_1_9_100,  2.700130477468170e-01,  2.886101251122328e-01,  9.874237060336176e-01
PdAu_1_9_100,  2.971222466409820e-01,  3.014049888684083e-01,  9.877861681656293e-01
PdAu_1_9_100,  3.090110205184420e-01,  3.075297818621793e-01,  9.879596757206105e-01
PdAu_1_9_100,  3.588392118477170e-01,  3.249027571217468e-01,  9.884518298984093e-01
PdAu_1_5_100, -3.409682634967890e-01, -1.405648413007022e-01,  9.752657279342438e-01
PdAu_1_5_100, -3.133863092721550e-01, -1.218026512809653e-01,  9.757972367900907e-01
PdAu_1_5_100, -2.650632524963940e-01, -1.038298123762562e-01,  9.763063843380322e-01
PdAu_1_5_100, -2.174925417142420e-01, -8.659753953134577e-02,  9.767945525963114e-01
PdAu_1_5_100, -1.699783647313870e-01, -7.006098651077075e-02,  9.772630120014433e-01
PdAu_1_5_100, -1.087631903666510e-01, -3.891305664534887e-02,  9.781453930319814e-01
PdAu_1_5_100, -9.689959266113200e-02, -2.422839544011484e-02,  9.785613907096237e-01
PdAu_1_5_100, -7.525787289907200e-02,  3.525375919220228e-03,  9.793476195691074e-01
PdAu_1_5_100, -5.369294007029500e-02,  1.665266283441600e-02,  9.797194988242119e-01
PdAu_1_5_100,  2.416643494279400e-02,  6.475201986124117e-02,  9.810820921138761e-01
PdAu_1_5_100,  2.409704628662700e-02,  7.578367499394141e-02,  9.813946047998424e-01
PdAu_1_5_100,  2.990216406339200e-02,  8.645679057511566e-02,  9.816969605187059e-01
PdAu_1_5_100,  6.101614798206100e-02,  9.678856594434407e-02,  9.819896465057676e-01
PdAu_1_5_100,  1.588196272209420e-01,  1.438580133504808e-01,  9.833230637726145e-01
PdAu_1_5_100,  1.785182843851090e-01,  1.524477635834582e-01,  9.835664004147409e-01
PdAu_1_5_100,  2.273428967445060e-01,  1.688965941558402e-01,  9.840323747550683e-01
PdAu_1_5_100,  2.487554516102670e-01,  1.767761021042857e-01,  9.842555911413169e-01
PdAu_1_5_100,  2.698969616536510e-01,  1.844383515381802e-01,  9.844726528716127e-01
PdAu_1_1_100, -9.528343749756660e-01, -1.233508010497852e+00,  9.443040452759548e-01
PdAu_1_1_100, -9.568121972548200e-01, -1.191000578794907e+00,  9.455082264704557e-01
PdAu_1_1_100, -9.568121972548200e-01, -1.150291858163115e+00,  9.466614524799585e-01
PdAu_1_1_100, -9.568121972548200e-01, -1.073832519742806e+00,  9.488274477843358e-01
PdAu_1_1_100, -9.568121972548200e-01, -1.037884662667918e+00,  9.498458046160234e-01
PdAu_1_1_100, -9.568121972548200e-01, -1.003339340186317e+00,  9.508244294358201e-01
PdAu_1_1_100, -9.516325070624611e-01, -9.073433006778502e-01,  9.535438745044023e-01
PdAu_1_1_100, -9.495458690001219e-01, -8.490336910930363e-01,  9.551957111952523e-01
PdAu_1_1_100, -9.482966843584680e-01, -8.214064421758425e-01,  9.559783558357088e-01
PdAu_1_1_100, -9.465978713907660e-01, -7.947276540743612e-01,  9.567341317938609e-01
PdAu_1_1_100, -9.450757646884210e-01, -7.689493170615491e-01,  9.574643991238955e-01
PdAu_1_1_100, -9.425030865561980e-01, -7.199176272712310e-01,  9.588534042087643e-01
PdAu_1_1_100, -9.389000320363100e-01, -6.739865080409397e-01,  9.601545740937392e-01
PdAu_1_1_100, -9.371761903144160e-01, -6.520931985362431e-01,  9.607747835614666e-01
PdAu_1_1_100, -9.358850517740310e-01, -6.308709100292262e-01,  9.613759838622284e-01
PdAu_1_1_100, -9.309761215251300e-01, -5.709352685758388e-01,  9.630738839570375e-01
PdAu_1_1_100, -9.287832471261041e-01, -5.521106766368594e-01,  9.636071605794758e-01
PdAu_1_1_100, -9.240702334290249e-01, -4.819520265372276e-01,  9.655946654391424e-01
PdAu_1_1_100, -9.219351704858600e-01, -4.655934735088201e-01,  9.660580823320687e-01
PdCu_1_9_100, -9.866203845893050e-01, -7.152633504219224e-01,  9.589852539214241e-01
PdCu_1_9_100, -9.549894506478580e-01, -6.837216969179163e-01,  9.598787886392687e-01
PdCu_1_9_100, -8.743534284765540e-01, -6.245886718113968e-01,  9.615539516391139e-01
PdCu_1_9_100, -8.289577796871100e-01, -5.968357814532533e-01,  9.623401555409603e-01
PdCu_1_9_100, -7.852647984540430e-01, -5.701950784576296e-01,  9.630948525967552e-01
PdCu_1_9_100, -7.406333925295950e-01, -5.446010280582368e-01,  9.638198993226416e-01
PdCu_1_9_100, -6.974282966305561e-01, -5.199931445045193e-01,  9.645170092026017e-01
PdCu_1_9_100, -6.621506078470860e-01, -4.963155140628708e-01,  9.651877662012233e-01
PdCu_1_9_100, -6.065222712070060e-01, -4.735163710857645e-01,  9.658336367731183e-01
PdCu_1_9_100, -5.627389810449770e-01, -4.515477203868316e-01,  9.664559805605549e-01
PdCu_1_9_100, -4.863474741535960e-01, -4.303650001270435e-01,  9.670560599434607e-01
PdCu_1_9_100, -4.568785227914880e-01, -4.099267802312649e-01,  9.676350485828958e-01
PdCu_1_9_100, -4.152953588062170e-01, -3.901944920421275e-01,  9.681940390796138e-01
PdCu_1_9_100, -3.340530961146040e-01, -3.527063106400856e-01,  9.692560313301889e-01
PdCu_1_9_100, -2.139924317016600e-01, -3.009437725623086e-01,  9.707223978556588e-01
PdCu_1_9_100, -1.746696479659310e-01, -2.847696182029313e-01,  9.711805909700447e-01
PdCu_1_9_100, -1.334862873082910e-01, -2.690938777297593e-01,  9.716246646562553e-01
PdCu_1_9_100, -6.194786560311300e-02, -2.391482461747561e-01,  9.724729861127946e-01
PdCu_1_9_100, -2.272871368258400e-02, -2.248369497247802e-01,  9.728784068442663e-01
PdCu_1_9_100,  5.063551683309100e-02, -1.974427659382506e-01,  9.736544490475443e-01
PdCu_1_9_100,  9.766771516175300e-02, -1.843252295679381e-01,  9.740260520821783e-01
PdCu_1_9_100,  1.148476403332230e-01, -1.715725703193795e-01,  9.743873186144475e-01
PdCu_1_9_100,  1.728076184903540e-01, -1.591697737447356e-01,  9.747386739844632e-01
PdCu_1_9_100,  2.178155404455340e-01, -1.471026379840646e-01,  9.750805205127606e-01
PdCu_1_5_100, -1.050447729960220e+00, -8.727860174417836e-01,  9.545228381570812e-01
PdCu_1_5_100, -1.003761569886260e+00, -8.378928781920228e-01,  9.555113161812370e-01
PdCu_1_5_100, -9.725859018790340e-01, -6.839466951024209e-01,  9.598724147283613e-01
PdCu_1_5_100, -9.576219724636360e-01, -6.304991880691589e-01,  9.613865142701116e-01
PdCu_1_5_100, -9.479534614018320e-01, -6.052597556254723e-01,  9.621015151226909e-01
PdCu_1_5_100, -9.288776058542270e-01, -5.574845645863903e-01,  9.634549252043677e-01
PdCu_1_5_100, -8.840211165581610e-01, -4.918937952047099e-01,  9.653130278433186e-01
PdCu_1_5_100, -8.010350850736860e-01, -4.141550913045195e-01,  9.675152659360755e-01
PdCu_1_5_100, -7.731228977008010e-01, -3.962385391284752e-01,  9.680228189529564e-01
PdCu_1_5_100, -7.150570805231480e-01, -3.620340100667427e-01,  9.689917895308717e-01
PdCu_1_5_100, -6.991275061596950e-01, -3.298412825640621e-01,  9.699037683427023e-01
PdCu_1_5_100, -6.374955687997910e-01, -3.144446862895260e-01,  9.703399342306507e-01
PdCu_1_5_100, -6.099103525069640e-01, -2.994879486702470e-01,  9.707636394852538e-01
PdCu_1_5_100, -5.834928286422441e-01, -2.849524873322135e-01,  9.711754105214099e-01
PdCu_1_5_100, -5.671718941973490e-01, -2.708207520051938e-01,  9.715757445158366e-01
PdCu_1_5_100, -5.560527855292540e-01, -2.570761538526644e-01,  9.719651114090639e-01
PdCu_1_1_100, -9.823924572290270e-01, -1.598290161527414e+00,  9.339702333103410e-01
PdCu_1_1_100, -9.823924572290270e-01, -1.502249939755249e+00,  9.366909300059668e-01
PdCu_1_1_100, -9.823924572290270e-01, -1.413808431052737e+00,  9.391963648752647e-01
PdCu_1_1_100, -9.823924572290270e-01, -1.293532116960284e+00,  9.426036390805418e-01
