# c0 + a0 * ((av_bulk_int_dist / total_metal_loading) / (av_E_def_subsurf * particle_diameter)) + a1 * (exp(5.861916e-04*((time+4.516348e+02) / (av_BE_H_surf+2.131449e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.141542128863534; Max AE: 0.666023761410889
# Coefficients
# Task   a0                      a1                      c0
# 2   , -3.867979548744145e-03, -3.433889033013917e+00,  1.222497757400768e+00, 
# 3   , -7.267775419056021e-03, -3.241701176999866e+00,  2.009525394591816e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; A * eV^-1 * nm^-1;                                8|1|div|14|2|mult|div; ((av_bulk_int_dist / total_metal_loading) / (av_E_def_subsurf * particle_diameter)); $\left(\frac{ \left(\frac{ av_{bulk, int, dist} }{ total_{metal, loading} } \right) }{ \left(av_{E, def, subsurf} particle_{diameter}\right) } \right)$; ((av_bulk_int_dist ./ total_metal_loading) ./ (av_E_def_subsurf .* particle_diameter)); av_bulk_int_dist,total_metal_loading,av_E_def_subsurf,particle_diameter
# 1;  2; Unitless;                                         0|16|div|exp:5.8619162424199e-04,0.0000000000000e+00,4.5163481927641e+02,2.1314488595580e+00; (exp(5.861916e-04*((time+4.516348e+02) / (av_BE_H_surf+2.131449e+00)))); $\left(\exp{ \left(5.862e-04\left(\frac{ time +4.516e+02 }{ av_{BE, H, surf}+2.131e+00 } \right) \right)}\right)$; exp(5.861916e-04.*((time+4.516348e+02) ./ (av_BE_H_surf+2.131449e+00))); time,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 167                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.137199484239378e-01,  1.831791657110822e+02,  7.121437180942594e-05
PdAg_1_9_100,  4.889175556194310e-01,  5.138240137296028e-01,  1.831791657110822e+02,  4.090899366101698e-05
PdAg_1_9_100,  5.056601140297000e-01,  5.138580198473367e-01,  1.831791657110822e+02,  3.100590203314841e-05
PdAg_1_9_100,  5.343009987338970e-01,  5.139033286605793e-01,  1.831791657110822e+02,  1.781129591541652e-05
PdAg_1_9_100,  5.224295719363120e-01,  5.139181345252973e-01,  1.831791657110822e+02,  1.349960599893900e-05
PdAg_1_9_100,  5.250038067660980e-01,  5.139378614510420e-01,  1.831791657110822e+02,  7.754829288036008e-06
PdAg_1_9_100,  5.324653140763990e-01,  5.139443077508449e-01,  1.831791657110822e+02,  5.877570081069005e-06
PdAg_1_9_100,  5.309811253181910e-01,  5.139491935552190e-01,  1.831791657110822e+02,  4.454750552816687e-06
PdAg_1_9_100,  5.311850747278510e-01,  5.139557032661967e-01,  1.831791657110822e+02,  2.559025060478994e-06
PdAg_1_9_100,  5.331594707700800e-01,  5.139578304881032e-01,  1.831791657110822e+02,  1.939546129710663e-06
PdAg_1_9_100,  5.354507873556270e-01,  5.139594427603235e-01,  1.831791657110822e+02,  1.470028272631092e-06
PdAg_1_9_100,  5.337303696543760e-01,  5.139606647398941e-01,  1.831791657110822e+02,  1.114169490084323e-06
PdAg_1_9_100,  5.338785022320920e-01,  5.139622928717670e-01,  1.831791657110822e+02,  6.400330642406254e-07
PdAg_1_9_100,  5.368098128623250e-01,  5.139628249073364e-01,  1.831791657110822e+02,  4.850963250834288e-07
PdAg_1_9_100,  5.372121836650180e-01,  5.139632281497842e-01,  1.831791657110822e+02,  3.676660750154279e-07
PdAg_1_9_100,  5.374193757726820e-01,  5.139635337768534e-01,  1.831791657110822e+02,  2.786628876110364e-07
PdAg_1_9_100,  5.370904880212340e-01,  5.139637654188988e-01,  1.831791657110822e+02,  2.112052490251178e-07
PdAg_1_9_100,  5.357670351206070e-01,  5.139639409859299e-01,  1.831791657110822e+02,  1.600774957805875e-07
PdAg_1_9_100,  5.243066765750370e-01,  5.139640740523703e-01,  1.831791657110822e+02,  1.213265521271991e-07
PdAg_1_9_100,  5.492079417796780e-01,  5.139643531927403e-01,  1.831791657110822e+02,  4.003668886354623e-08
PdAg_1_9_100,  5.484023401121820e-01,  5.139643864737437e-01,  1.831791657110822e+02,  3.034476142143998e-08
PdAg_1_9_100,  5.513618316460450e-01,  5.139644116982098e-01,  1.831791657110822e+02,  2.299901844686545e-08
PdAg_1_5_100,  2.374958845661730e-01,  4.313537449268557e-01,  1.727539376406301e+02,  3.580060786269305e-02
PdAg_1_5_100,  4.808701435604430e-01,  4.426785736299745e-01,  1.727539376406301e+02,  3.250264785459721e-02
PdAg_1_5_100,  5.154914790070170e-01,  4.529601565785892e-01,  1.727539376406301e+02,  2.950849666049455e-02
PdAg_1_5_100,  5.367991849441260e-01,  4.622945978050716e-01,  1.727539376406301e+02,  2.679016734445091e-02
PdAg_1_5_100,  5.423108450430540e-01,  4.707691482168247e-01,  1.727539376406301e+02,  2.432225113333359e-02
PdAg_1_5_100,  5.645630120222940e-01,  4.854481327832090e-01,  1.727539376406301e+02,  2.004751062038796e-02
PdAg_1_5_100,  5.557853067401700e-01,  4.917897743712680e-01,  1.727539376406301e+02,  1.820072945562417e-02
PdAg_1_5_100,  5.565493546496050e-01,  5.027742932511792e-01,  1.727539376406301e+02,  1.500187277321412e-02
PdAg_1_5_100,  5.598480318312991e-01,  5.075198450595235e-01,  1.727539376406301e+02,  1.361989689609056e-02
PdAg_1_5_100,  5.575686028510159e-01,  5.118282355732806e-01,  1.727539376406301e+02,  1.236522894603871e-02
PdAg_1_5_100,  5.581440247555720e-01,  5.192909084921518e-01,  1.727539376406301e+02,  1.019198664055829e-02
PdAg_1_5_100,  5.573180603724570e-01,  5.225149460082599e-01,  1.727539376406301e+02,  9.253098550374901e-03
PdAg_1_5_100,  5.640054092902220e-01,  5.280993834876524e-01,  1.727539376406301e+02,  7.626826581274288e-03
PdAg_1_5_100,  5.670953068021050e-01,  5.305119823159347e-01,  1.727539376406301e+02,  6.924241609806911e-03
PdAg_1_5_100,  5.641858757894110e-01,  5.346909061814552e-01,  1.727539376406301e+02,  5.707276289919246e-03
PdAg_1_5_100,  5.722223250453750e-01,  5.364962924640736e-01,  1.727539376406301e+02,  5.181520720865859e-03
PdAg_1_5_100,  5.681292230354840e-01,  5.381353661583115e-01,  1.727539376406301e+02,  4.704197872492023e-03
PdAg_1_5_100,  5.688182680948790e-01,  5.396234480170294e-01,  1.727539376406301e+02,  4.270846111730011e-03
PdAg_1_5_100,  5.669074847793930e-01,  5.409744474419058e-01,  1.727539376406301e+02,  3.877414812148784e-03
PdAg_1_5_100,  5.713037334532890e-01,  5.422009924974236e-01,  1.727539376406301e+02,  3.520226491930606e-03
PdAg_1_5_100,  5.726284043483260e-01,  5.433145479479399e-01,  1.727539376406301e+02,  3.195942439705760e-03
