# c0 + a0 * ((std_dev / time) * (av_W_change_H * av_E_b_C_subsurf)) + a1 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a2 * ((av_bulk_int_dist / total_metal_loading) / (av_E_def_subsurf * particle_diameter)) + a3 * (exp(5.861916e-04*((time+4.516348e+02) / (av_BE_H_surf+2.131449e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.105318838379599; Max AE: 0.462397417118434
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -5.528830476938558e-01,  2.740687436841453e-07, -3.654998817498450e-03, -3.421148975650807e+00,  1.178052932952853e+00, 
# 3   , -2.465362514642577e+00,  9.808855777532961e-07, -6.497593854797868e-03, -3.180318222756395e+00,  1.851150325567852e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2 * min^-1 * nm;                               3|0|div|17|13|mult|mult; ((std_dev / time) * (av_W_change_H * av_E_b_C_subsurf)); $\left(\left(\frac{ std_{dev} }{ time } \right) \left(av_{W, change, H} av_{E, b, C, subsurf}\right)\right)$; ((std_dev ./ time) .* (av_W_change_H .* av_E_b_C_subsurf)); std_dev,time,av_W_change_H,av_E_b_C_subsurf
# 1;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 2;  2; A * eV^-1 * nm^-1;                                8|1|div|14|2|mult|div; ((av_bulk_int_dist / total_metal_loading) / (av_E_def_subsurf * particle_diameter)); $\left(\frac{ \left(\frac{ av_{bulk, int, dist} }{ total_{metal, loading} } \right) }{ \left(av_{E, def, subsurf} particle_{diameter}\right) } \right)$; ((av_bulk_int_dist ./ total_metal_loading) ./ (av_E_def_subsurf .* particle_diameter)); av_bulk_int_dist,total_metal_loading,av_E_def_subsurf,particle_diameter
# 3;  2; Unitless;                                         0|16|div|exp:5.8619162424199e-04,0.0000000000000e+00,4.5163481927641e+02,2.1314488595580e+00; (exp(5.861916e-04*((time+4.516348e+02) / (av_BE_H_surf+2.131449e+00)))); $\left(\exp{ \left(5.862e-04\left(\frac{ time +4.516e+02 }{ av_{BE, H, surf}+2.131e+00 } \right) \right)}\right)$; exp(5.861916e-04.*((time+4.516348e+02) ./ (av_BE_H_surf+2.131449e+00))); time,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 167                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.491237910048234e-01,  1.070513333333333e-01,  7.660313335186942e+01,  1.831791657110822e+02,  7.121437180942594e-05
PdAg_1_9_100,  4.889175556194310e-01,  4.887273708892887e-01,  3.568377777777777e-02,  2.298094000556082e+02,  1.831791657110822e+02,  4.090899366101698e-05
PdAg_1_9_100,  5.056601140297000e-01,  4.937144843183393e-01,  2.676283333333333e-02,  3.064125334074777e+02,  1.831791657110822e+02,  3.100590203314841e-05
PdAg_1_9_100,  5.343009987338970e-01,  4.987338530333353e-01,  1.784188888888888e-02,  4.596188001112164e+02,  1.831791657110822e+02,  1.781129591541652e-05
PdAg_1_9_100,  5.224295719363120e-01,  5.001788096207539e-01,  1.529304761904762e-02,  5.362219334630859e+02,  1.831791657110822e+02,  1.349960599893900e-05
PdAg_1_9_100,  5.250038067660980e-01,  5.021194005792308e-01,  1.189459259259259e-02,  6.894282001668247e+02,  1.831791657110822e+02,  7.754829288036008e-06
PdAg_1_9_100,  5.324653140763990e-01,  5.028044493475310e-01,  1.070513333333333e-02,  7.660313335186941e+02,  1.831791657110822e+02,  5.877570081069005e-06
PdAg_1_9_100,  5.309811253181910e-01,  5.033683739808318e-01,  9.731939393939393e-03,  8.426344668705635e+02,  1.831791657110822e+02,  4.454750552816687e-06
PdAg_1_9_100,  5.311850747278510e-01,  5.042446369449046e-01,  8.234717948717949e-03,  9.958407335743022e+02,  1.831791657110822e+02,  2.559025060478994e-06
PdAg_1_9_100,  5.331594707700800e-01,  5.045929533674474e-01,  7.646523809523808e-03,  1.072443866926172e+03,  1.831791657110822e+02,  1.939546129710663e-06
PdAg_1_9_100,  5.354507873556270e-01,  5.048973964083746e-01,  7.136755555555555e-03,  1.149047000278041e+03,  1.831791657110822e+02,  1.470028272631092e-06
PdAg_1_9_100,  5.337303696543760e-01,  5.051662203264419e-01,  6.690708333333331e-03,  1.225650133629911e+03,  1.831791657110822e+02,  1.114169490084323e-06
PdAg_1_9_100,  5.338785022320920e-01,  5.056208513795588e-01,  5.947296296296295e-03,  1.378856400333649e+03,  1.831791657110822e+02,  6.400330642406254e-07
PdAg_1_9_100,  5.368098128623250e-01,  5.058154369816311e-01,  5.634280701754385e-03,  1.455459533685519e+03,  1.831791657110822e+02,  4.850963250834288e-07
PdAg_1_9_100,  5.372121836650180e-01,  5.059925881668282e-01,  5.352566666666666e-03,  1.532062667037388e+03,  1.831791657110822e+02,  3.676660750154279e-07
PdAg_1_9_100,  5.374193757726820e-01,  5.061548082974474e-01,  5.097682539682538e-03,  1.608665800389258e+03,  1.831791657110822e+02,  2.786628876110364e-07
PdAg_1_9_100,  5.370904880212340e-01,  5.063041437072676e-01,  4.865969696969697e-03,  1.685268933741127e+03,  1.831791657110822e+02,  2.112052490251178e-07
PdAg_1_9_100,  5.357670351206070e-01,  5.064422832411896e-01,  4.654405797101449e-03,  1.761872067092997e+03,  1.831791657110822e+02,  1.600774957805875e-07
PdAg_1_9_100,  5.243066765750370e-01,  5.065706329243901e-01,  4.460472222222221e-03,  1.838475200444866e+03,  1.831791657110822e+02,  1.213265521271991e-07
PdAg_1_9_100,  5.492079417796780e-01,  5.070071919095420e-01,  3.823261904761904e-03,  2.144887733852343e+03,  1.831791657110822e+02,  4.003668886354623e-08
PdAg_1_9_100,  5.484023401121820e-01,  5.071011098224185e-01,  3.691425287356321e-03,  2.221490867204213e+03,  1.831791657110822e+02,  3.034476142143998e-08
PdAg_1_9_100,  5.513618316460450e-01,  5.071901603599266e-01,  3.568377777777777e-03,  2.298094000556082e+03,  1.831791657110822e+02,  2.299901844686545e-08
PdAg_1_5_100,  2.374958845661730e-01,  3.451164568645323e-01,  1.430082304526743e-01,  9.122135255363506e+01,  1.727539376406301e+02,  3.580060786269305e-02
PdAg_1_5_100,  4.808701435604430e-01,  3.959576834384482e-01,  7.150411522633715e-02,  1.824427051072701e+02,  1.727539376406301e+02,  3.250264785459721e-02
PdAg_1_5_100,  5.154914790070170e-01,  4.194039260335845e-01,  4.766941015089143e-02,  2.736640576609052e+02,  1.727539376406301e+02,  2.950849666049455e-02
PdAg_1_5_100,  5.367991849441260e-01,  4.353176387016387e-01,  3.575205761316858e-02,  3.648854102145402e+02,  1.727539376406301e+02,  2.679016734445091e-02
PdAg_1_5_100,  5.423108450430540e-01,  4.477390899556851e-01,  2.860164609053486e-02,  4.561067627681754e+02,  1.727539376406301e+02,  2.432225113333359e-02
PdAg_1_5_100,  5.645630120222940e-01,  4.669317202855898e-01,  2.042974720752490e-02,  6.385494678754454e+02,  1.727539376406301e+02,  2.004751062038796e-02
PdAg_1_5_100,  5.557853067401700e-01,  4.746867423096280e-01,  1.787602880658429e-02,  7.297708204290805e+02,  1.727539376406301e+02,  1.820072945562417e-02
PdAg_1_5_100,  5.565493546496050e-01,  4.876571800723414e-01,  1.430082304526743e-02,  9.122135255363507e+02,  1.727539376406301e+02,  1.500187277321412e-02
PdAg_1_5_100,  5.598480318312991e-01,  4.931289156802102e-01,  1.300074822297039e-02,  1.003434878089986e+03,  1.727539376406301e+02,  1.361989689609056e-02
PdAg_1_5_100,  5.575686028510159e-01,  4.980453136821216e-01,  1.191735253772286e-02,  1.094656230643621e+03,  1.727539376406301e+02,  1.236522894603871e-02
PdAg_1_5_100,  5.581440247555720e-01,  5.064715729539825e-01,  1.021487360376245e-02,  1.277098935750891e+03,  1.727539376406301e+02,  1.019198664055829e-02
PdAg_1_5_100,  5.573180603724570e-01,  5.100851586001126e-01,  9.533882030178286e-03,  1.368320288304526e+03,  1.727539376406301e+02,  9.253098550374901e-03
PdAg_1_5_100,  5.640054092902220e-01,  5.163190110952784e-01,  8.412248850157313e-03,  1.550762993411796e+03,  1.727539376406301e+02,  7.626826581274288e-03
PdAg_1_5_100,  5.670953068021050e-01,  5.190060481934484e-01,  7.944901691815240e-03,  1.641984345965431e+03,  1.727539376406301e+02,  6.924241609806911e-03
PdAg_1_5_100,  5.641858757894110e-01,  5.236587298400680e-01,  7.150411522633716e-03,  1.824427051072701e+03,  1.727539376406301e+02,  5.707276289919246e-03
PdAg_1_5_100,  5.722223250453750e-01,  5.256706732363977e-01,  6.809915735841633e-03,  1.915648403626337e+03,  1.727539376406301e+02,  5.181520720865859e-03
PdAg_1_5_100,  5.681292230354840e-01,  5.274998070483202e-01,  6.500374111485195e-03,  2.006869756179971e+03,  1.727539376406301e+02,  4.704197872492023e-03
PdAg_1_5_100,  5.688182680948790e-01,  5.291636274522353e-01,  6.217749150116274e-03,  2.098091108733607e+03,  1.727539376406301e+02,  4.270846111730011e-03
PdAg_1_5_100,  5.669074847793930e-01,  5.306778524654412e-01,  5.958676268861429e-03,  2.189312461287242e+03,  1.727539376406301e+02,  3.877414812148784e-03
PdAg_1_5_100,  5.713037334532890e-01,  5.320566258865915e-01,  5.720329218106971e-03,  2.280533813840877e+03,  1.727539376406301e+02,  3.520226491930606e-03
PdAg_1_5_100,  5.726284043483260e-01,  5.333126921323996e-01,  5.500316555872089e-03,  2.371755166394512e+03,  1.727539376406301e+02,  3.195942439705760e-03
PdAg_1_5_100,  5.756184173897150e-01,  5.344575475216249e-01,  5.296601127876825e-03,  2.462976518948147e+03,  1.727539376406301e+02,  2.901531506943095e-03
PdAg_1_5_100,  5.748142709268410e-01,  5.355015721841685e-01,  5.107436801881225e-03,  2.554197871501782e+03,  1.727539376406301e+02,  2.634241775192477e-03
PdAg_1_1_100, -9.805113751193140e-01, -8.102602490963206e-01,  6.738888888888889e-02,  7.578947368421051e+02,  1.153641679957470e+02,  4.471032499076799e-01
PdAg_1_1_100, -9.654552652811350e-01, -7.633997233548985e-01,  4.492592592592592e-02,  1.136842105263158e+03,  1.153641679957470e+02,  4.370664824551584e-01
PdAg_1_1_100, -9.271610956676301e-01, -7.235197113881330e-01,  3.369444444444444e-02,  1.515789473684210e+03,  1.153641679957470e+02,  4.272550247066410e-01
PdAg_1_1_100, -8.529977989918130e-01, -6.868770921112435e-01,  2.695555555555556e-02,  1.894736842105263e+03,  1.153641679957470e+02,  4.176638188122813e-01
PdAg_1_1_100, -7.530017323218090e-01, -6.522130111640969e-01,  2.246296296296296e-02,  2.273684210526315e+03,  1.153641679957470e+02,  4.082879204630375e-01
PdAg_1_1_100, -6.470710172478540e-01, -6.189786734165937e-01,  1.925396825396825e-02,  2.652631578947368e+03,  1.153641679957470e+02,  3.991224963418589e-01
PdAg_1_1_100, -5.593859615030060e-01, -5.868917847508623e-01,  1.684722222222222e-02,  3.031578947368420e+03,  1.153641679957470e+02,  3.901628216320905e-01
PdAg_1_1_100, -4.916379417262000e-01, -5.557886938305938e-01,  1.497530864197531e-02,  3.410526315789473e+03,  1.153641679957470e+02,  3.814042775818079e-01
PdAg_1_1_100, -4.356272700356220e-01, -5.255652439961708e-01,  1.347777777777778e-02,  3.789473684210526e+03,  1.153641679957470e+02,  3.728423491228310e-01
PdAg_1_1_100, -3.942969479298420e-01, -4.961498835022010e-01,  1.225252525252525e-02,  4.168421052631578e+03,  1.153641679957470e+02,  3.644726225431866e-01
PdAg_1_1_100, -3.303847196540950e-01, -4.395457596886766e-01,  1.036752136752137e-02,  4.926315789473683e+03,  1.153641679957470e+02,  3.482926133543825e-01
PdAg_1_1_100, -2.964391635700440e-01, -3.856768886612588e-01,  8.985185185185186e-03,  5.684210526315788e+03,  1.153641679957470e+02,  3.328308822505633e-01
PdAg_1_1_100, -2.763484965311610e-01, -3.597013227553769e-01,  8.423611111111111e-03,  6.063157894736841e+03,  1.153641679957470e+02,  3.253593504134402e-01
PdAg_1_1_100, -2.576351643592600e-01, -3.343360938901480e-01,  7.928104575163400e-03,  6.442105263157893e+03,  1.153641679957470e+02,  3.180555427598892e-01
PdAg_1_1_100, -2.410399546736480e-01, -3.095622330061755e-01,  7.487654320987656e-03,  6.821052631578946e+03,  1.153641679957470e+02,  3.109156941447748e-01
PdAg_1_1_100, -2.257372496018260e-01, -2.853623418760198e-01,  7.093567251461989e-03,  7.199999999999999e+03,  1.153641679957470e+02,  3.039361239445699e-01
PdAg_1_1_100, -1.990275787567010e-01, -2.386208603671527e-01,  6.417989417989418e-03,  7.957894736842104e+03,  1.153641679957470e+02,  2.904435075611543e-01
PdAg_1_1_100, -1.875776586949730e-01, -2.160498148488824e-01,  6.126262626262626e-03,  8.336842105263157e+03,  1.153641679957470e+02,  2.839235058745462e-01
PdAg_1_1_100, -1.649059173329500e-01, -1.724390031774709e-01,  5.615740740740741e-03,  9.094736842105262e+03,  1.153641679957470e+02,  2.713193083303992e-01
