# c0 + a0 * (av_mu_C_critical_subsurf / surface_area) + a1 * (ln(-1.0*surface_area+7.900000e+01)) + a2 * (ln(1.0*av_EA-8.503993e-01))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.0109840576151324; Max AE: 0.0791932263588298
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -9.096775608564672e-01, -2.592525459259540e-03,  3.613266239071888e-02,  6.302960729700484e-02, 
# 3   , -1.105298830555567e+00, -1.962290589382551e-03,  3.636398238325113e-02,  4.726497575640583e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * g * m^-2;                                    12|4|div; (av_mu_C_critical_subsurf / surface_area); $\left(\frac{ av_{mu, C, critical, subsurf} }{ surface_{area} } \right)$; (av_mu_C_critical_subsurf ./ surface_area); av_mu_C_critical_subsurf,surface_area
# 1;  1; Unitless;                                         4|log:-1.0000000000000e+00,7.9000000000100e+01; (ln(-1.0*surface_area+7.900000e+01)); $\left(\ln{ \left(-1.0surface_{area}+7.900e+01 \right)}\right)$; log(-1.0*surface_area+7.900000e+01); surface_area
# 2;  1; Unitless;                                         6|log:1.0000000000000e+00,-8.5039933371696e-01; (ln(1.0*av_EA-8.503993e-01)); $\left(\ln{ \left(1.0av_{EA}-8.504e-01 \right)}\right)$; log(1.0*av_EA-8.503993e-01); av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.739314961236501e-02,  7.908064036281348e-02, -6.124657534246575e-02,  1.791759469244722e+00, -9.691624653334724e-01
PdAg_1_9_100,  7.460314808079400e-02,  7.908064036281348e-02, -6.124657534246575e-02,  1.791759469244722e+00, -9.691624653334724e-01
PdAg_1_9_100,  7.236301709318101e-02,  7.908064036281348e-02, -6.124657534246575e-02,  1.791759469244722e+00, -9.691624653334724e-01
PdAg_1_9_100,  7.338282477917900e-02,  7.908064036281348e-02, -6.124657534246575e-02,  1.791759469244722e+00, -9.691624653334724e-01
PdAg_1_9_100,  7.232835059269099e-02,  7.908064036281348e-02, -6.124657534246575e-02,  1.791759469244722e+00, -9.691624653334724e-01
PdAg_1_9_100,  7.484064918597000e-02,  7.908064036281348e-02, -6.124657534246575e-02,  1.791759469244722e+00, -9.691624653334724e-01
PdAg_1_9_100,  7.551852479397100e-02,  7.908064036281348e-02, -6.124657534246575e-02,  1.791759469244722e+00, -9.691624653334724e-01
PdAg_1_9_100,  7.624140955711101e-02,  7.908064036281348e-02, -6.124657534246575e-02,  1.791759469244722e+00, -9.691624653334724e-01
PdAg_1_9_100,  7.687977851198700e-02,  7.908064036281348e-02, -6.124657534246575e-02,  1.791759469244722e+00, -9.691624653334724e-01
PdAg_1_9_100,  7.687620918890400e-02,  7.908064036281348e-02, -6.124657534246575e-02,  1.791759469244722e+00, -9.691624653334724e-01
PdAg_1_9_100,  7.689679201728600e-02,  7.908064036281348e-02, -6.124657534246575e-02,  1.791759469244722e+00, -9.691624653334724e-01
