# FEAT_ID     Feature Postfix Expression (RPN)
0             17|6|abd
1             17|6|sub
2             18|12|add
3             6
4             2|17|div
5             9|6|mult
6             6|5|div
7             9|16|div
8             11|19|div
9             15|inv
10            18|6|div
11            16|6|div
12            6|sqrt
13            15|cb
14            11|6|mult
15            15|log
16            15|log:1.0000000000000e+00,1.5072969237721e-03
17            15|cbrt
18            15|sqrt
19            15|sq
20            15|nexp
21            15
22            15|exp
23            15|exp:1.0000031941099e+00,0.0000000000000e+00
24            15|9|mult
25            16|6|mult
26            19|6|mult
27            15|6|mult
28            17|14|sub
29            19|11|div
30            6|cbrt
31            6|7|div
32            16|9|div
33            1|15|div
34            14|6|add
35            6|8|div
36            15|1|sub
37            6|18|div
38            15|7|mult
39            12|6|mult
40            1|6|div
41            15|8|mult
42            5|6|div
43            13|6|mult
44            7|6|div
45            15|5|mult
46            14|6|mult
47            6|inv
48            6|log:1.0000000000000e+00,-8.3925083363061e-01
49            8|6|div
#-----------------------------------------------------------------------
50            10|7|div
51            19|11|sub
52            8|10|div
53            18|12|div
54            18|8|div
55            9|5|div
56            18|13|div
57            14|cb
58            18
59            18|16|div
60            11|inv
61            18|19|div
62            11|16|div
63            5|9|div
64            14|18|div
65            16|14|mult
66            18|16|mult
67            18|8|mult
68            18|7|div
69            16|11|div
70            12|6|sub
71            14|12|mult
72            18|14|add
73            14|13|mult
74            7|10|div
75            8|11|div
76            18|sq
77            18|17|abd
78            18|17|sub
79            15|18|div
80            18|15|div
81            9|8|div
82            13|6|add
83            18|5|div
84            18|10|div
85            18|11|div
86            19|14|mult
87            8|9|div
88            18|16|add
89            14|11|mult
90            18|9|div
91            18|14|div
92            19|15|mult
93            18|cb
94            15|13|mult
95            19|18|add
96            15|12|mult
97            14|sp
98            18|sp
99            18|16|abd
#-----------------------------------------------------------------------
100           3|10|div
101           3|1|div
102           8|2|div
103           3|19|div
104           3|11|div
105           3|sq
106           3|1|mult
107           4|3|mult
108           3|9|div
109           3|0|mult
110           7|3|mult
111           8|3|mult
112           3|16|div
113           10|3|mult
114           3|7|div
115           3|5|div
116           5|3|mult
117           3|4|div
118           19|3|mult
119           3
120           12|3|mult
121           11|3|mult
122           16|3|mult
123           13|3|mult
124           9|3|mult
125           3|18|div
126           3|sqrt
127           3|8|div
128           15|3|mult
129           3|cbrt
130           6|3|div
131           14|3|div
132           1|3|div
133           12|3|div
134           13|3|div
135           19|3|div
136           11|3|div
137           15|3|div
138           10|3|div
139           16|3|div
140           4|3|div
141           9|3|div
142           3|inv
143           5|3|div
144           7|3|div
145           8|3|div
146           18|3|div
147           2|3|div
148           14|3|mult
149           3|2|div
#-----------------------------------------------------------------------
150           4|sqrt
151           4
152           7|0|mult
153           4|0|mult
154           5|0|mult
155           4|sq
156           4|cb
157           0
158           0|15|div
159           0|2|div
160           0|8|div
161           8|0|mult
162           0|13|div
163           0|5|div
164           14|0|mult
165           0|12|div
166           0|9|div
167           18|0|mult
168           0|16|div
169           0|7|div
170           0|14|div
171           15|0|mult
172           0|10|div
173           0|11|div
174           0|19|div
175           12|0|div
176           13|0|div
177           19|0|div
178           2|0|mult
179           0|4|div
180           11|0|div
181           10|0|div
182           16|0|div
183           1|0|mult
184           0|sqrt
185           9|0|div
186           4|0|div
187           0|inv
188           3|0|div
189           1|0|div
190           0|cbrt
191           14|0|div
192           5|0|div
193           7|0|div
194           8|0|div
195           15|0|div
196           0|log:1.0000000000000e+00,4.3140680637778e+00
197           2|0|div
198           6|0|div
199           18|0|div
#-----------------------------------------------------------------------
200           16|5|mult
201           10|5|mult
202           11|7|mult
203           15|4|mult
204           10|sq
205           10|inv
206           11|5|sub
207           10
208           10|log:1.0000000000000e+00,1.8670976145390e+01
209           10|cbrt
210           10|sqrt
211           16|7|mult
212           19|5|sub
213           10|8|mult
214           6|5|abd
215           18|4|mult
216           10|9|div
217           9|10|div
218           18|2|div
219           9|4|mult
220           2|4|div
221           14|2|mult
222           16|4|mult
223           4|1|mult
224           7|4|mult
225           4|12|div
226           4|13|div
227           7|4|div
228           12|4|div
229           4|7|div
230           4|19|div
231           13|4|div
232           4|8|div
233           8|4|div
234           5|4|div
235           4|10|div
236           4|11|div
237           10|4|div
238           19|4|div
239           4|5|div
240           9|4|div
241           4|9|div
242           11|4|div
243           4|inv
244           5|4|mult
245           4|log:1.0000000000000e+00,-1.5523506014905e+01
246           4|cbrt
247           4|16|div
248           16|4|div
249           8|4|mult
#-----------------------------------------------------------------------
