# c0 + a0 * (av_EA / time) + a1 * (av_IP / std_dev) + a2 * (1.0 / std_dev) + a3 * (av_mu_C_critical_subsurf * av_EA) + a4 * cbrt(av_delta_M1_M2_subsurf)
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.0082646896487333; Max AE: 0.0588608145837499
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -2.728295387889747e-01, -9.211403953153829e-01,  7.142709089109082e+00, -1.320564665424435e-01, -2.416202478573027e+00,  3.305247185946788e-01, 
# 3   , -2.542806084104467e-01, -5.725755279147490e-01,  4.415117898178110e+00, -8.792314139366414e-02, -1.226360748149405e+00,  9.315694864553317e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * min^-1;                                      6|0|div; (av_EA / time); $\left(\frac{ av_{EA} }{ time } \right)$; (av_EA ./ time); av_EA,time
# 1;  1; eV * nm^-1;                                       5|3|div; (av_IP / std_dev); $\left(\frac{ av_{IP} }{ std_{dev} } \right)$; (av_IP ./ std_dev); av_IP,std_dev
# 2;  1; nm^-1;                                            3|inv; (1.0 / std_dev); $\left(\frac{1.0}{ std_{dev} }\right)$; (std_dev).^(-1); std_dev
# 3;  1; eV^2;                                             12|6|mult; (av_mu_C_critical_subsurf * av_EA); $\left(av_{mu, C, critical, subsurf} av_{EA}\right)$; (av_mu_C_critical_subsurf .* av_EA); av_mu_C_critical_subsurf,av_EA
# 4;  1; Unitless;                                         15|cbrt; cbrt(av_delta_M1_M2_subsurf); $\left(\sqrt[3]{ av_{delta, M1, M2, subsurf} }\right)$; nthroot(av_delta_M1_M2_subsurf, 3); av_delta_M1_M2_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.739314961236501e-02,  5.645749102001611e-02,  9.109629629629630e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00,  4.166321749226236e-01
PdAg_1_9_100,  7.460314808079400e-02,  6.888437127196749e-02,  4.554814814814815e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00,  4.166321749226236e-01
PdAg_1_9_100,  7.236301709318101e-02,  7.302666468928447e-02,  3.036543209876543e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00,  4.166321749226236e-01
PdAg_1_9_100,  7.106406789827700e-02,  7.509781139794296e-02,  2.277407407407408e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00,  4.166321749226236e-01
PdAg_1_9_100,  7.232835059269099e-02,  7.716895810660145e-02,  1.518271604938272e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00,  4.166321749226236e-01
PdAg_1_9_100,  7.484064918597000e-02,  7.820453146093069e-02,  1.138703703703704e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00,  4.166321749226236e-01
PdAg_1_9_100,  7.551852479397100e-02,  7.854972257904029e-02,  1.012181069958848e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00,  4.166321749226236e-01
PdAg_1_9_100,  7.670706670425401e-02,  7.924010481525993e-02,  7.591358024691358e-03,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00,  4.166321749226236e-01
PdAg_1_9_100,  7.687977851198700e-02,  7.953598291649693e-02,  6.506878306878307e-03,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00,  4.166321749226236e-01
PdAg_1_9_100,  7.689679201728600e-02,  7.975789149242456e-02,  5.693518518518519e-03,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00,  4.166321749226236e-01
PdAg_1_9_100,  7.696036194524600e-02,  8.000315886581826e-02,  4.794541910331384e-03,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00,  4.166321749226236e-01
PdAg_1_9_100,  7.767667904030801e-02,  8.018153513737751e-02,  4.140740740740741e-03,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00,  4.166321749226236e-01
