# c0 + a0 * (av_d_band_center_surf / time) + a1 * (av_IP / std_dev) + a2 * (1.0 / std_dev) + a3 * (av_mu_C_critical_subsurf * av_EA) + a4 * ln(av_delta_M1_M2_subsurf)
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00827345100081362; Max AE: 0.0568326435794224
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  1.351770602448674e-01, -9.351036659446832e-01,  7.252000307501371e+00, -1.332138415196860e-01, -3.509578321841520e-01, -1.604413155905630e+00, 
# 3   ,  1.126458277042612e-01, -5.813067000636757e-01,  4.483265050913507e+00, -8.850132536268665e-02, -1.810175366919736e-01, -8.960684191712921e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * min^-1;                                      18|0|div; (av_d_band_center_surf / time); $\left(\frac{ av_{d, band, center, surf} }{ time } \right)$; (av_d_band_center_surf ./ time); av_d_band_center_surf,time
# 1;  1; eV * nm^-1;                                       5|3|div; (av_IP / std_dev); $\left(\frac{ av_{IP} }{ std_{dev} } \right)$; (av_IP ./ std_dev); av_IP,std_dev
# 2;  1; nm^-1;                                            3|inv; (1.0 / std_dev); $\left(\frac{1.0}{ std_{dev} }\right)$; (std_dev).^(-1); std_dev
# 3;  1; eV^2;                                             12|6|mult; (av_mu_C_critical_subsurf * av_EA); $\left(av_{mu, C, critical, subsurf} av_{EA}\right)$; (av_mu_C_critical_subsurf .* av_EA); av_mu_C_critical_subsurf,av_EA
# 4;  1; Unitless;                                         15|log; ln(av_delta_M1_M2_subsurf); $\left(\ln{ av_{delta, M1, M2, subsurf} }\right)$; log(av_delta_M1_M2_subsurf); av_delta_M1_M2_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.739314961236501e-02,  4.330333537602488e-02, -2.867407407407407e-01,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00, -2.626654562898216e+00
PdAg_1_9_100,  7.460314808079400e-02,  6.268372056890953e-02, -1.433703703703704e-01,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00, -2.626654562898216e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.914384896653775e-02, -9.558024691358025e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00, -2.626654562898216e+00
PdAg_1_9_100,  7.106406789827700e-02,  7.237391316535186e-02, -7.168518518518519e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00, -2.626654562898216e+00
PdAg_1_9_100,  7.232835059269099e-02,  7.560397736416596e-02, -4.779012345679012e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00, -2.626654562898216e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.721900946357280e-02, -3.584259259259259e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00, -2.626654562898216e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.775735349670870e-02, -3.186008230452675e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00, -2.626654562898216e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.883404156298007e-02, -2.389506172839506e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00, -2.626654562898216e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.929547930566755e-02, -2.048148148148148e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00, -2.626654562898216e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.964155761268349e-02, -1.792129629629630e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00, -2.626654562898216e+00
PdAg_1_9_100,  7.696036194524600e-02,  8.002406521517474e-02, -1.509161793372320e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00, -2.626654562898216e+00
PdAg_1_9_100,  7.767667904030801e-02,  8.030225256244111e-02, -1.303367003367003e-02,  2.550700000000000e+00,  3.333333333333333e-01, -5.498435800000000e+00, -2.626654562898216e+00
