# c0 + a0 * ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_EA / time)) + a1 * ((ln(1.0*time-5.204947e+00)) / (av_BE_H_subsurf * surface_area)) + a2 * (|(ln(-1.0*surface_area+7.900000e+01)) - (av_PE / av_delta_M1_M2_subsurf)|) + a3 * (exp(2.125798e+00*((av_EA-9.073580e-01) / (av_d_band_center_surf+1.838263e+00))))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00743479358334219; Max AE: 0.0478106863266661
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -2.319006660424947e-02, -7.414482530438248e-01,  2.576629699710314e-03, -1.129111265043683e-01,  5.194358968808923e-02, 
# 3   , -6.348250797239065e-02, -1.184308967986087e+00,  2.019031979366152e-03, -1.036724155218879e-01,  4.327833961147629e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min^-1;                                      11|log:1.0000000000000e+00,6.0100000001000e+00|6|0|div|mult; ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_EA / time)); $\left(\left(\ln{ \left(1.0av_{mu, C, critical, surf}+6.010e+00 \right)}\right) \left(\frac{ av_{EA} }{ time } \right)\right)$; (log(1.0*av_mu_C_critical_surf+6.010000e+00) .* (av_EA ./ time)); av_mu_C_critical_surf,av_EA,time
# 1;  2; eV^-1 * g * m^-2;                                 0|log:1.0000000000000e+00,-5.2049474395502e+00|19|4|mult|div; ((ln(1.0*time-5.204947e+00)) / (av_BE_H_subsurf * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-5.205e+00 \right)}\right) }{ \left(av_{BE, H, subsurf} surface_{area}\right) } \right)$; (log(1.0*time-5.204947e+00) ./ (av_BE_H_subsurf .* surface_area)); time,av_BE_H_subsurf,surface_area
# 2;  2; Unitless;                                         4|log:-1.0000000000000e+00,7.9000000000100e+01|7|15|div|abd; (|(ln(-1.0*surface_area+7.900000e+01)) - (av_PE / av_delta_M1_M2_subsurf)|); $\left(\left|\left(\ln{ \left(-1.0surface_{area}+7.900e+01 \right)}\right) - \left(\frac{ av_{PE} }{ av_{delta, M1, M2, subsurf} } \right)\right|\right)$; abs(log(-1.0*surface_area+7.900000e+01) - (av_PE ./ av_delta_M1_M2_subsurf)); surface_area,av_PE,av_delta_M1_M2_subsurf
# 3;  2; Unitless;                                         6|18|div|exp:2.1257980615145e+00,0.0000000000000e+00,-9.0735802829927e-01,1.8382627738160e+00; (exp(2.125798e+00*((av_EA-9.073580e-01) / (av_d_band_center_surf+1.838263e+00)))); $\left(\exp{ \left(2.126e+00\left(\frac{ av_{EA} -9.074e-01 }{ av_{d, band, center, surf}+1.838e+00 } \right) \right)}\right)$; exp(2.125798e+00.*((av_EA-9.073580e-01) ./ (av_d_band_center_surf+1.838263e+00))); av_EA,av_d_band_center_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 212                   
# 3   , 219                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.739314961236501e-02,  5.004579187425746e-02,  6.120974626720144e-02, -2.023857101882372e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.460314808079400e-02,  5.760729076433400e-02,  3.060487313360072e-02, -2.947963378425013e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.236301709318101e-02,  6.126299926485333e-02,  2.040324875573381e-02, -3.409105762628991e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.106406789827700e-02,  6.367853242772219e-02,  1.530243656680036e-02, -3.718937902504025e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.338282477917900e-02,  6.548193265144063e-02,  1.224194925344029e-02, -3.952592417430471e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.232835059269099e-02,  6.692049901863921e-02,  1.020162437786691e-02, -4.140232093123050e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.484064918597000e-02,  6.914083542105522e-02,  7.651218283400180e-03, -4.431714648560359e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.551852479397100e-02,  7.003574853396650e-02,  6.801082918577938e-03, -4.549753690878625e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.624140955711101e-02,  7.083049041974258e-02,  6.120974626720143e-03, -4.654814310549913e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.670706670425401e-02,  7.219455726040887e-02,  5.100812188933453e-03, -4.835596880376487e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.687977851198700e-02,  7.333836483164584e-02,  4.372124733371532e-03, -4.987584460896446e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.687620918890400e-02,  7.384785186746724e-02,  4.080649751146762e-03, -5.055387940034244e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.689679201728600e-02,  7.432320743685893e-02,  3.825609141700090e-03, -5.118702022810036e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.681367034897300e-02,  7.518790372593219e-02,  3.400541459288969e-03, -5.233995158601714e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.696036194524600e-02,  7.558370604186808e-02,  3.221565593010602e-03, -5.286817705835255e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.735004744771500e-02,  7.595859386790561e-02,  3.060487313360072e-03, -5.336875468933390e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.746072776044501e-02,  7.631466610549219e-02,  2.914749822247687e-03, -5.384443532383948e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.767667904030801e-02,  7.665372084812701e-02,  2.782261193963702e-03, -5.429757864320305e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.765536965325100e-02,  7.697731023371070e-02,  2.661293315965280e-03, -5.473022398442415e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.697005438102600e-02,  7.728678334056575e-02,  2.550406094466726e-03, -5.514414582393628e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  7.857665605556700e-02,  7.758332012356632e-02,  2.448389850688057e-03, -5.554089774600900e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  8.016373252178199e-02,  7.865916574770208e-02,  2.110680905765567e-03, -5.698134099585916e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_9_100,  8.064863733312801e-02,  7.890443759662642e-02,  2.040324875573381e-03, -5.730994152448403e-02,  2.526852814137475e+01,  7.137634298688048e-01
PdAg_1_5_100,  6.050679933141600e-02,  6.303903075164716e-02,  1.619822404690854e-02, -3.019097594054430e-02,  2.794811320744704e+01,  7.344352015538017e-01
PdAg_1_5_100,  6.369128751365800e-02,  6.516737602767325e-02,  1.214866803518140e-02, -3.293484349171142e-02,  2.794811320744704e+01,  7.344352015538017e-01
PdAg_1_5_100,  6.783442568252800e-02,  6.802760917928763e-02,  8.099112023454268e-03, -3.666581684909456e-02,  2.794811320744704e+01,  7.344352015538017e-01
PdAg_1_5_100,  7.059051849144300e-02,  6.998851172924686e-02,  6.074334017590701e-03, -3.924718082869423e-02,  2.794811320744704e+01,  7.344352015538017e-01
PdAg_1_5_100,  7.195603596803600e-02,  7.077923736560773e-02,  5.399408015636179e-03, -4.029253234748297e-02,  2.794811320744704e+01,  7.344352015538017e-01
PdAg_1_5_100,  7.236155798974900e-02,  7.148161309694695e-02,  4.859467214072562e-03, -4.122294720159664e-02,  2.794811320744704e+01,  7.344352015538017e-01
PdAg_1_5_100,  7.396647068078400e-02,  7.268745884067437e-02,  4.049556011727134e-03, -4.282395420933899e-02,  2.794811320744704e+01,  7.344352015538017e-01
PdAg_1_5_100,  7.479978112520599e-02,  7.321347645791842e-02,  3.738051703132740e-03, -4.352365753920789e-02,  2.794811320744704e+01,  7.344352015538017e-01
PdAg_1_5_100,  7.511084231693500e-02,  7.369886318246682e-02,  3.471048010051830e-03, -4.416995333821348e-02,  2.794811320744704e+01,  7.344352015538017e-01
PdAg_1_5_100,  7.534057278525801e-02,  7.414944414546212e-02,  3.239644809381707e-03, -4.477041966277710e-02,  2.794811320744704e+01,  7.344352015538017e-01
PdAg_1_5_100,  7.581028328531100e-02,  7.456987582019400e-02,  3.037167008795351e-03, -4.533112797835234e-02,  2.794811320744704e+01,  7.344352015538017e-01
PdAg_1_5_100,  7.662152720325401e-02,  7.533474535380072e-02,  2.699704007818090e-03, -4.635216180104964e-02,  2.794811320744704e+01,  7.344352015538017e-01
