# c0 + a0 * ((av_W_change_H / time) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00))) + a1 * ((av_E_def_subsurf * particle_diameter) / (av_d_band_center_surf * av_mu_C_critical_surf)) + a2 * ((ln(1.0*time-5.681945e+00)) / (av_mu_C_critical_surf * surface_area)) + a3 * ((av_BE_H_subsurf / av_EA) / (av_mu_C_critical_subsurf + av_EA)) + a4 * ((av_B_0 / av_EA) / (av_mu_C_critical_surf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.0062099155799136; Max AE: 0.0384364230236198
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  1.769158270418867e+00,  1.751394938275104e+00, -8.726604969599988e-01,  1.545154129163401e+00,  4.051301139946221e-02,  6.265076731842322e-01, 
# 3   ,  3.825889252154889e-01,  1.548245307064779e+00, -2.199206707333405e+00,  5.904516363347408e-01,  2.287075890199335e-02,  4.144759631196828e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min^-1;                                      17|0|div|12|log:1.0000000000000e+00,6.6650000001000e+00|div; ((av_W_change_H / time) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00))); $\left(\frac{ \left(\frac{ av_{W, change, H} }{ time } \right) }{ \left(\ln{ \left(1.0av_{mu, C, critical, subsurf}+6.665e+00 \right)}\right) } \right)$; ((av_W_change_H ./ time) ./ log(1.0*av_mu_C_critical_subsurf+6.665000e+00)); av_W_change_H,time,av_mu_C_critical_subsurf
# 1;  2; eV^-1 * nm;                                       14|2|mult|18|11|mult|div; ((av_E_def_subsurf * particle_diameter) / (av_d_band_center_surf * av_mu_C_critical_surf)); $\left(\frac{ \left(av_{E, def, subsurf} particle_{diameter}\right) }{ \left(av_{d, band, center, surf} av_{mu, C, critical, surf}\right) } \right)$; ((av_E_def_subsurf .* particle_diameter) ./ (av_d_band_center_surf .* av_mu_C_critical_surf)); av_E_def_subsurf,particle_diameter,av_d_band_center_surf,av_mu_C_critical_surf
# 2;  2; eV^-1 * g * m^-2;                                 0|log:1.0000000000000e+00,-5.6819454022573e+00|11|4|mult|div; ((ln(1.0*time-5.681945e+00)) / (av_mu_C_critical_surf * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-5.682e+00 \right)}\right) }{ \left(av_{mu, C, critical, surf} surface_{area}\right) } \right)$; (log(1.0*time-5.681945e+00) ./ (av_mu_C_critical_surf .* surface_area)); time,av_mu_C_critical_surf,surface_area
# 3;  2; eV^-1;                                            19|6|div|12|6|add|div; ((av_BE_H_subsurf / av_EA) / (av_mu_C_critical_subsurf + av_EA)); $\left(\frac{ \left(\frac{ av_{BE, H, subsurf} }{ av_{EA} } \right) }{ \left(av_{mu, C, critical, subsurf} + av_{EA}\right) } \right)$; ((av_BE_H_subsurf ./ av_EA) ./ (av_mu_C_critical_subsurf + av_EA)); av_BE_H_subsurf,av_EA,av_mu_C_critical_subsurf,av_EA
# 4;  2; Gpa * eV^-2;                                      10|6|div|11|6|add|div; ((av_B_0 / av_EA) / (av_mu_C_critical_surf + av_EA)); $\left(\frac{ \left(\frac{ av_{B, 0} }{ av_{EA} } \right) }{ \left(av_{mu, C, critical, surf} + av_{EA}\right) } \right)$; ((av_B_0 ./ av_EA) ./ (av_mu_C_critical_surf + av_EA)); av_B_0,av_EA,av_mu_C_critical_surf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.739314961236501e-02,  8.431442998499385e-02,  9.710288466322433e-03,  7.879993563396843e-02, -6.952209465107680e-03,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.236301709318101e-02,  7.726846905694786e-02,  3.236762822107477e-03,  7.879993563396843e-02, -1.200197454504073e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.106406789827700e-02,  7.680357586460597e-02,  2.427572116580608e-03,  7.879993563396843e-02, -1.310972863733034e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.338282477917900e-02,  7.667152691627745e-02,  1.942057693264486e-03,  7.879993563396843e-02, -1.394270195469842e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.232835059269099e-02,  7.668163094718318e-02,  1.618381411053739e-03,  7.879993563396843e-02, -1.461047436395423e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.551852479397100e-02,  7.699671735945370e-02,  1.078920940702493e-03,  7.879993563396843e-02, -1.606519515099428e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.624140955711101e-02,  7.713111300076016e-02,  9.710288466322432e-04,  7.879993563396843e-02, -1.643793326962904e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.670706670425401e-02,  7.740420825965356e-02,  8.091907055268693e-04,  7.879993563396843e-02, -1.707897585909865e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.687620918890400e-02,  7.779758108035574e-02,  6.473525644214955e-04,  7.879993563396843e-02, -1.785784703394369e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.681367034897300e-02,  7.815875079111724e-02,  5.394604703512463e-04,  7.879993563396843e-02, -1.849045032379306e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.696036194524600e-02,  7.827174466370003e-02,  5.110678140169701e-04,  7.879993563396843e-02, -1.867749325277228e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.735004744771500e-02,  7.838120245383308e-02,  4.855144233161216e-04,  7.879993563396843e-02, -1.885472802295781e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.746072776044501e-02,  7.848725967888438e-02,  4.623946888724968e-04,  7.879993563396843e-02, -1.902313222477979e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.767667904030801e-02,  7.859006081351351e-02,  4.413767484692015e-04,  7.879993563396843e-02, -1.918354420424778e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.765536965325100e-02,  7.868975296147097e-02,  4.221864550574970e-04,  7.879993563396843e-02, -1.933668831323877e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.697005438102600e-02,  7.878648183933647e-02,  4.045953527634347e-04,  7.879993563396843e-02, -1.948319468360878e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  7.857665605556700e-02,  7.888038927894493e-02,  3.884115386528973e-04,  7.879993563396843e-02, -1.962361489125624e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  8.016373252178199e-02,  7.923043850471446e-02,  3.348375333214632e-04,  7.879993563396843e-02, -2.013335507306894e-02,  3.592548989172117e-01, -3.106540724397814e+01
PdAg_1_9_100,  8.064863733312801e-02,  7.931215710615060e-02,  3.236762822107477e-04,  7.879993563396843e-02, -2.024962551443791e-02,  3.592548989172117e-01, -3.106540724397814e+01
