# c0 + a0 * ((particle_diameter / surface_area) * cbrt(time)) + a1 * ((av_E_def_subsurf^3) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * ((av_EA / av_mu_C_critical_surf) * (av_E_b_C_subsurf - av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.0087297441416468; Max AE: 0.060513082150657
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  2.219890586256575e-02, -1.347806473426551e-02, -2.915529514524769e-01, -2.352820431044972e-01, 
# 3   ,  5.070843850884319e-02, -1.086428571936791e-02, -2.750973324793651e-01, -2.300553768014583e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; g * m^-2 * min^0.333333 * nm;                     2|4|div|0|cbrt|mult; ((particle_diameter / surface_area) * cbrt(time)); $\left(\left(\frac{ particle_{diameter} }{ surface_{area} } \right) \left(\sqrt[3]{ time }\right)\right)$; ((particle_diameter ./ surface_area) .* nthroot(time, 3)); particle_diameter,surface_area,time
# 1;  2; eV^2;                                             14|cb|18|16|sub|div; ((av_E_def_subsurf^3) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(av_{E, def, subsurf}^3\right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((av_E_def_subsurf).^3 ./ (av_d_band_center_surf - av_BE_H_surf)); av_E_def_subsurf,av_d_band_center_surf,av_BE_H_surf
# 2;  2; eV;                                               6|11|div|13|6|sub|mult; ((av_EA / av_mu_C_critical_surf) * (av_E_b_C_subsurf - av_EA)); $\left(\left(\frac{ av_{EA} }{ av_{mu, C, critical, surf} } \right) \left(av_{E, b, C, subsurf} - av_{EA}\right)\right)$; ((av_EA ./ av_mu_C_critical_surf) .* (av_E_b_C_subsurf - av_EA)); av_EA,av_mu_C_critical_surf,av_E_b_C_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 169                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.739314961236501e-02,  7.416580921858941e-02,  1.957069790097780e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.460314808079400e-02,  7.529503123033139e-02,  2.465753424657534e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.106406789827700e-02,  7.671776181292976e-02,  3.106654643576400e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.338282477917900e-02,  7.725028609000455e-02,  3.346542267034816e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.232835059269099e-02,  7.771577394844452e-02,  3.556231817196349e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.851029002227462e-02,  3.914139580195561e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.918122856854119e-02,  4.216379046600074e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.976770651986019e-02,  4.480571324791577e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.687977851198700e-02,  8.029214521576387e-02,  4.716816615055205e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.687620918890400e-02,  8.053573942964960e-02,  4.826549146646544e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.689679201728600e-02,  8.076873404575856e-02,  4.931506849315069e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.681367034897300e-02,  8.120708909346795e-02,  5.128973810264971e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.696036194524600e-02,  8.141414815429864e-02,  5.222248254560827e-01, -5.109185271770894e-03, -1.046240513326752e+00
PdAg_1_9_100,  7.735004744771500e-02,  8.161406364338571e-02,  5.312304715147110e-01, -5.109185271770894e-03, -1.046240513326752e+00
