# c0 + a0 * ((ln(1.0*time-1.080511e+01)) * (total_metal_loading / surface_area)) + a1 * ((ln(1.0*av_EA-8.297532e-01)) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * ((av_EA / av_BE_H_subsurf) * (av_mu_C_critical_subsurf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00890538518713904; Max AE: 0.0626659909420813
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  2.877182012077139e+01,  5.239278774421229e-04,  9.167987437932970e-02, -2.053495115371348e-01, 
# 3   ,  2.644057653534813e+01,  3.405715068091147e-04,  9.117385405778133e-02, -1.989858664916777e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; g * m^-2;                                         0|log:1.0000000000000e+00,-1.0805113475598e+01|1|4|div|mult; ((ln(1.0*time-1.080511e+01)) * (total_metal_loading / surface_area)); $\left(\left(\ln{ \left(1.0time-1.081e+01 \right)}\right) \left(\frac{ total_{metal, loading} }{ surface_{area} } \right)\right)$; (log(1.0*time-1.080511e+01) .* (total_metal_loading ./ surface_area)); time,total_metal_loading,surface_area
# 1;  2; eV^-1;                                            6|log:1.0000000000000e+00,-8.2975323300721e-01|18|16|sub|div; ((ln(1.0*av_EA-8.297532e-01)) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\ln{ \left(1.0av_{EA}-8.298e-01 \right)}\right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; (log(1.0*av_EA-8.297532e-01) ./ (av_d_band_center_surf - av_BE_H_surf)); av_EA,av_d_band_center_surf,av_BE_H_surf
# 2;  2; eV;                                               6|19|div|12|6|add|mult; ((av_EA / av_BE_H_subsurf) * (av_mu_C_critical_subsurf + av_EA)); $\left(\left(\frac{ av_{EA} }{ av_{BE, H, subsurf} } \right) \left(av_{mu, C, critical, subsurf} + av_{EA}\right)\right)$; ((av_EA ./ av_BE_H_subsurf) .* (av_mu_C_critical_subsurf + av_EA)); av_EA,av_BE_H_subsurf,av_mu_C_critical_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 167                   
# 3   , 178                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  7.460314808079400e-02,  6.406434867425281e-02,  4.844607319352562e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.709908489421243e-02,  5.899367222348319e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.897488546732067e-02,  6.551324785420262e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.338282477917900e-02,  7.033619305674468e-02,  7.024463983326351e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.303433269129053e-02,  7.962235602647009e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.368534683617797e-02,  8.188503576711481e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.426135246988383e-02,  8.388701420048484e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.524602430835597e-02,  8.730936229782085e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.606847026668950e-02,  9.016787439361894e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.643400831108946e-02,  9.143834683111366e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.677465927954233e-02,  9.262232117483942e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.681367034897300e-02,  7.739342448281186e-02,  9.477291575200637e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.696036194524600e-02,  7.767630288455035e-02,  9.575609443361596e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.794404637392524e-02,  9.668666986558731e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.746072776044501e-02,  7.819819256531368e-02,  9.756998621582740e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.767667904030801e-02,  7.844005603868975e-02,  9.841061246874032e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.765536965325100e-02,  7.867076949297516e-02,  9.921248545875960e-04,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  7.857665605556700e-02,  7.910255343192338e-02,  1.007132036515461e-03,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_9_100,  8.064863733312801e-02,  8.004268180011370e-02,  1.039807354387047e-03,  5.354610293550498e-01,  2.783538938547486e+00
PdAg_1_5_100,  6.369128751365800e-02,  6.594233956481724e-02,  6.565874466954609e-04,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  6.783442568252800e-02,  6.837817864233356e-02,  7.412480301167303e-04,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  7.236155798974900e-02,  7.124054715632208e-02,  8.407331687688406e-04,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  7.396647068078400e-02,  7.222740582908116e-02,  8.750326558578290e-04,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  7.479978112520599e-02,  7.265645241329793e-02,  8.899446976548313e-04,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  7.511084231693500e-02,  7.305167833809945e-02,  9.036812608316664e-04,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  7.581028328531100e-02,  7.375943570934948e-02,  9.282802388691760e-04,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  7.662152720325401e-02,  7.437957511355503e-02,  9.498339466847559e-04,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  7.685288582387600e-02,  7.493141986774174e-02,  9.690139899309012e-04,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  7.863335891894600e-02,  7.588079308669454e-02,  1.002010623962664e-03,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  7.998374643776000e-02,  7.629563291999142e-02,  1.016428892655975e-03,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  8.118700916977900e-02,  7.667877306273410e-02,  1.029745399610851e-03,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  8.232400549504200e-02,  7.685990081065225e-02,  1.036040717291756e-03,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_5_100,  8.311749789736000e-02,  7.703471610347754e-02,  1.042116637831073e-03,  6.964558584823528e-01,  2.749084728340676e+00
PdAg_1_1_100,  3.009804408552100e-02,  2.323582876851873e-02,  2.054549593371830e-04,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  2.369807884796900e-02,  3.392925271491323e-02,  5.771180623841310e-04,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  2.696882955527700e-02,  3.754440864326639e-02,  7.027672536128507e-04,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  2.796475357978000e-02,  3.977897239799386e-02,  7.804322656054106e-04,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  3.230869246046200e-02,  4.140064190911985e-02,  8.367953842513269e-04,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  3.371685647622500e-02,  4.267425682580897e-02,  8.810614373318425e-04,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  3.714431523677600e-02,  4.461482422625146e-02,  9.485082443915569e-04,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  3.871765226704800e-02,  4.539035049105575e-02,  9.754626136858513e-04,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  4.412626246903200e-02,  4.724952110980118e-02,  1.040080375472957e-03,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  4.556967115939200e-02,  4.775949399986448e-02,  1.057805110575660e-03,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  4.739556882899600e-02,  4.822926701406269e-02,  1.074132649543522e-03,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  4.829188170907200e-02,  4.866471739013153e-02,  1.089267263003532e-03,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  5.016604379635700e-02,  4.907052082042701e-02,  1.103371460395012e-03,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  5.226652898659100e-02,  4.945045818555735e-02,  1.116576650874290e-03,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  5.366931621849900e-02,  4.980763025291940e-02,  1.128990605426446e-03,  4.780280757999398e+00,  2.401503125000000e+00
PdAg_1_1_100,  5.627720349399800e-02,  5.046356337186639e-02,  1.151788367827075e-03,  4.780280757999398e+00,  2.401503125000000e+00
