# c0 + a0 * ((av_EA / std_dev) / sqrt(time)) + a1 * ((av_delta_M1_M2_subsurf * particle_diameter) / (av_bulk_int_dist^6)) + a2 * ((av_mu_C_critical_surf / av_EA) / (av_mu_C_critical_subsurf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00959414620886976; Max AE: 0.0534948563224206
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -2.364949402697185e-01,  8.793669776813927e+01, -4.081958346437498e-01,  4.293025182574333e-01, 
# 3   , -1.615318278512229e-01,  9.407599723505608e+01, -3.730920752449945e-01,  3.838666056000675e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min^-0.5 * nm^-1;                            6|3|div|0|sqrt|div; ((av_EA / std_dev) / sqrt(time)); $\left(\frac{ \left(\frac{ av_{EA} }{ std_{dev} } \right) }{ \left(\sqrt{ time }\right) } \right)$; ((av_EA ./ std_dev) ./ sqrt(time)); av_EA,std_dev,time
# 1;  2; A^-6 * nm;                                        15|2|mult|8|sp|div; ((av_delta_M1_M2_subsurf * particle_diameter) / (av_bulk_int_dist^6)); $\left(\frac{ \left(av_{delta, M1, M2, subsurf} particle_{diameter}\right) }{ \left(av_{bulk, int, dist}^6\right) } \right)$; ((av_delta_M1_M2_subsurf .* particle_diameter) ./ (av_bulk_int_dist).^6); av_delta_M1_M2_subsurf,particle_diameter,av_bulk_int_dist
# 2;  2; eV^-1;                                            11|6|div|12|6|add|div; ((av_mu_C_critical_surf / av_EA) / (av_mu_C_critical_subsurf + av_EA)); $\left(\frac{ \left(\frac{ av_{mu, C, critical, surf} }{ av_{EA} } \right) }{ \left(av_{mu, C, critical, subsurf} + av_{EA}\right) } \right)$; ((av_mu_C_critical_surf ./ av_EA) ./ (av_mu_C_critical_subsurf + av_EA)); av_mu_C_critical_surf,av_EA,av_mu_C_critical_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.739314961236501e-02,  5.547844727594151e-02,  1.115697216916575e-01,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.460314808079400e-02,  6.320663245983436e-02,  7.889170678326686e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.663034557135881e-02,  6.441480885209008e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.338282477917900e-02,  7.006408950562908e-02,  4.989549638665580e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.232835059269099e-02,  7.109221536762660e-02,  4.554814814814814e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.253537720157675e-02,  3.944585339163343e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.306889705419332e-02,  3.718990723055250e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.352023898840730e-02,  3.528144384567319e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.481225376301863e-02,  2.981826237913594e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.505137003897248e-02,  2.880717827018572e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.526770327647479e-02,  2.789243042291437e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.681367034897300e-02,  7.564495878215759e-02,  2.629723559442228e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.596410572447414e-02,  2.494774819332790e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.746072776044501e-02,  7.610629568495079e-02,  2.434650928177034e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.767667904030801e-02,  7.623867720270820e-02,  2.378674458825747e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.765536965325100e-02,  7.636232845055034e-02,  2.326389514504687e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.697005438102600e-02,  7.647816865547290e-02,  2.277407407407407e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  7.857665605556700e-02,  7.658698700984366e-02,  2.231394433833150e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_9_100,  8.016373252178199e-02,  7.696442516293082e-02,  2.071797719985190e-02,  7.677504106964952e-04,  1.016550873193116e+00
PdAg_1_5_100,  6.050679933141600e-02,  6.693466145527338e-02,  4.636787244780662e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  6.369128751365800e-02,  6.840379569143362e-02,  4.015575545923707e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  7.059051849144300e-02,  7.118529509541843e-02,  2.839440698889526e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  7.195603596803600e-02,  7.156934002103954e-02,  2.677050363949138e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  7.396647068078400e-02,  7.241754506776232e-02,  2.318393622390331e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  7.511084231693500e-02,  7.282426482709548e-02,  2.146415414793463e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  7.534057278525801e-02,  7.299638849215334e-02,  2.073634295306703e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  7.581028328531100e-02,  7.315211218584250e-02,  2.007787772961854e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  7.662152720325401e-02,  7.342367295702940e-02,  1.892960465926351e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  7.652448575173899e-02,  7.354307462739335e-02,  1.842472421561538e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  7.685288582387600e-02,  7.365340529617864e-02,  1.795819977894248e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  7.827570721293500e-02,  7.394005895389449e-02,  1.674610764120400e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  7.863335891894600e-02,  7.402344449740378e-02,  1.639351851851847e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  7.998374643776000e-02,  7.417554276306593e-02,  1.575038312843922e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  8.073321891950801e-02,  7.424517293859201e-02,  1.545595748260221e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  8.118700916977900e-02,  7.431103879727080e-02,  1.517744895043794e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  8.232400549504200e-02,  7.437346773144765e-02,  1.491347317951605e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_5_100,  8.311749789736000e-02,  7.443274860803589e-02,  1.466280871912358e-02,  7.645496453987706e-04,  1.025571613288783e+00
PdAg_1_1_100,  3.009804408552100e-02,  3.953515674958181e-02,  6.348260916713069e-02,  1.114316553630646e-03,  1.158128828168816e+00
PdAg_1_1_100,  2.696882955527700e-02,  4.588053065771176e-02,  3.665170149150272e-02,  1.114316553630646e-03,  1.158128828168816e+00
PdAg_1_1_100,  2.796475357978000e-02,  4.704181468115504e-02,  3.174130458356535e-02,  1.114316553630646e-03,  1.158128828168816e+00
PdAg_1_1_100,  3.230869246046200e-02,  4.783431364519392e-02,  2.839028589735111e-02,  1.114316553630646e-03,  1.158128828168816e+00
PdAg_1_1_100,  3.371685647622500e-02,  4.841931207740475e-02,  2.591666666666667e-02,  1.114316553630646e-03,  1.158128828168816e+00
PdAg_1_1_100,  4.412626246903200e-02,  5.021450163521996e-02,  1.832585074575136e-02,  1.114316553630646e-03,  1.158128828168816e+00
PdAg_1_1_100,  4.556967115939200e-02,  5.038452798508892e-02,  1.760690788094846e-02,  1.114316553630646e-03,  1.158128828168816e+00
PdAg_1_1_100,  4.739556882899600e-02,  5.053599516992020e-02,  1.696644096584841e-02,  1.114316553630646e-03,  1.158128828168816e+00
PdAg_1_1_100,  4.829188170907200e-02,  5.067205112544044e-02,  1.639113920520610e-02,  1.114316553630646e-03,  1.158128828168816e+00
PdAg_1_1_100,  5.016604379635700e-02,  5.079514364694166e-02,  1.587065229178267e-02,  1.114316553630646e-03,  1.158128828168816e+00
PdAg_1_1_100,  5.226652898659100e-02,  5.090720866599214e-02,  1.539679429328729e-02,  1.114316553630646e-03,  1.158128828168816e+00
PdAg_1_1_100,  5.495949808906900e-02,  5.110418173615400e-02,  1.456390937009534e-02,  1.114316553630646e-03,  1.158128828168816e+00
