# c0 + a0 * ((surface_area^3) * (av_BE_H_subsurf + av_E_def_subsurf)) + a1 * ((av_EA / std_dev) / cbrt(time)) + a2 * ((av_delta_M1_M2_subsurf * particle_diameter) / (av_bulk_int_dist^6)) + a3 * ((av_B_0 / av_EA) / (av_mu_C_critical_surf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00803748962713974; Max AE: 0.0528539770695924
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -1.412229539439236e-08, -1.556957893557425e-01,  8.034574064318910e+01,  1.633993235388716e-02,  5.269099906743756e-01, 
# 3   ,  4.877740134826484e-08, -1.118950530933002e-01,  9.399832173955028e+01,  1.360135674743202e-02,  4.578117400208169e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * g^-3 * m^6;                                  4|cb|19|14|add|mult; ((surface_area^3) * (av_BE_H_subsurf + av_E_def_subsurf)); $\left(\left(surface_{area}^3\right) \left(av_{BE, H, subsurf} + av_{E, def, subsurf}\right)\right)$; ((surface_area).^3 .* (av_BE_H_subsurf + av_E_def_subsurf)); surface_area,av_BE_H_subsurf,av_E_def_subsurf
# 1;  2; eV * min^-0.333333 * nm^-1;                       6|3|div|0|cbrt|div; ((av_EA / std_dev) / cbrt(time)); $\left(\frac{ \left(\frac{ av_{EA} }{ std_{dev} } \right) }{ \left(\sqrt[3]{ time }\right) } \right)$; ((av_EA ./ std_dev) ./ nthroot(time, 3)); av_EA,std_dev,time
# 2;  2; A^-6 * nm;                                        15|2|mult|8|sp|div; ((av_delta_M1_M2_subsurf * particle_diameter) / (av_bulk_int_dist^6)); $\left(\frac{ \left(av_{delta, M1, M2, subsurf} particle_{diameter}\right) }{ \left(av_{bulk, int, dist}^6\right) } \right)$; ((av_delta_M1_M2_subsurf .* particle_diameter) ./ (av_bulk_int_dist).^6); av_delta_M1_M2_subsurf,particle_diameter,av_bulk_int_dist
# 3;  2; Gpa * eV^-2;                                      10|6|div|11|6|add|div; ((av_B_0 / av_EA) / (av_mu_C_critical_surf + av_EA)); $\left(\frac{ \left(\frac{ av_{B, 0} }{ av_{EA} } \right) }{ \left(av_{mu, C, critical, surf} + av_{EA}\right) } \right)$; ((av_B_0 ./ av_EA) ./ (av_mu_C_critical_surf + av_EA)); av_B_0,av_EA,av_mu_C_critical_surf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.091945207667891e-02, -4.769348420000000e+05,  1.721612119067461e-01,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.460314808079400e-02,  6.644926322208632e-02, -4.769348420000000e+05,  1.366444444444444e-01,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.236301709318101e-02,  6.913883436448197e-02, -4.769348420000000e+05,  1.193699172814111e-01,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.338282477917900e-02,  7.204869988854078e-02, -4.769348420000000e+05,  1.006804874895099e-01,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.232835059269099e-02,  7.297299126718003e-02, -4.769348420000000e+05,  9.474396613293450e-02,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.484064918597000e-02,  7.432183996881002e-02, -4.769348420000000e+05,  8.608060595337304e-02,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.551852479397100e-02,  7.483783574192825e-02, -4.769348420000000e+05,  8.276647796536907e-02,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.624140955711101e-02,  7.528255306416852e-02, -4.769348420000000e+05,  7.991015587675961e-02,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.687977851198700e-02,  7.660257077758424e-02, -4.769348420000000e+05,  7.143197082835318e-02,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.687620918890400e-02,  7.685542380987863e-02, -4.769348420000000e+05,  6.980795110796975e-02,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.689679201728600e-02,  7.708674554151372e-02, -4.769348420000000e+05,  6.832222222222221e-02,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.681367034897300e-02,  7.749629165804316e-02, -4.769348420000000e+05,  6.569179709496482e-02,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.735004744771500e-02,  7.784926403061952e-02, -4.769348420000000e+05,  6.342473275085550e-02,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.746072776044501e-02,  7.800856549742440e-02, -4.769348420000000e+05,  6.240157427326251e-02,  7.677504106964952e-04, -3.106540724397814e+01
PdAg_1_9_100,  7.767667904030801e-02,  7.815806100132293e-02, -4.769348420000000e+05,  6.144139735057831e-02,  7.677504106964952e-04, -3.106540724397814e+01
