# c0 + a0 * ((ln(-1.0*av_E_b_C_subsurf+6.925000e+00)) * (av_EA / time)) + a1 * ((av_delta_M1_M2_subsurf^6) / (ln(-1.0*av_E_b_C_subsurf+6.925000e+00))) + a2 * ((ln(1.0*time-4.322760e+00)) * (total_metal_loading / surface_area)) + a3 * ((ln(-1.0*surface_area+7.900000e+01)) / (exp(1.886855e+00*std_dev))) + a4 * ((|av_d_band_center_surf - av_BE_H_surf|) / (av_EA^6))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00682046259118538; Max AE: 0.0517965671111293
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -2.696501450402559e-02,  3.939305090685844e+03,  3.861787446120113e+01, -2.465931141558852e-01, -1.278571054718671e-01,  1.056075588183672e-01, 
# 3   , -6.049127663531243e-02,  1.511841992136235e+04,  4.496667872784823e+01, -2.620620292321046e-01, -1.192932489580750e-01,  9.789344555042906e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min^-1;                                      13|log:-1.0000000000000e+00,6.9250000001000e+00|6|0|div|mult; ((ln(-1.0*av_E_b_C_subsurf+6.925000e+00)) * (av_EA / time)); $\left(\left(\ln{ \left(-1.0av_{E, b, C, subsurf}+6.925e+00 \right)}\right) \left(\frac{ av_{EA} }{ time } \right)\right)$; (log(-1.0*av_E_b_C_subsurf+6.925000e+00) .* (av_EA ./ time)); av_E_b_C_subsurf,av_EA,time
# 1;  2; Unitless;                                         15|sp|13|log:-1.0000000000000e+00,6.9250000001000e+00|div; ((av_delta_M1_M2_subsurf^6) / (ln(-1.0*av_E_b_C_subsurf+6.925000e+00))); $\left(\frac{ \left(av_{delta, M1, M2, subsurf}^6\right) }{ \left(\ln{ \left(-1.0av_{E, b, C, subsurf}+6.925e+00 \right)}\right) } \right)$; ((av_delta_M1_M2_subsurf).^6 ./ log(-1.0*av_E_b_C_subsurf+6.925000e+00)); av_delta_M1_M2_subsurf,av_E_b_C_subsurf
# 2;  2; g * m^-2;                                         0|log:1.0000000000000e+00,-4.3227596471472e+00|1|4|div|mult; ((ln(1.0*time-4.322760e+00)) * (total_metal_loading / surface_area)); $\left(\left(\ln{ \left(1.0time-4.323e+00 \right)}\right) \left(\frac{ total_{metal, loading} }{ surface_{area} } \right)\right)$; (log(1.0*time-4.322760e+00) .* (total_metal_loading ./ surface_area)); time,total_metal_loading,surface_area
# 3;  2; Unitless;                                         4|log:-1.0000000000000e+00,7.9000000000100e+01|3|exp:1.8868545474724e+00,0.0000000000000e+00|div; ((ln(-1.0*surface_area+7.900000e+01)) / (exp(1.886855e+00*std_dev))); $\left(\frac{ \left(\ln{ \left(-1.0surface_{area}+7.900e+01 \right)}\right) }{ \left(\exp{ \left(1.887e+00std_{dev} \right)}\right) } \right)$; (log(-1.0*surface_area+7.900000e+01) ./ exp(1.886855e+00.*std_dev)); surface_area,std_dev
# 4;  2; eV^-5;                                            18|16|abd|6|sp|div; ((|av_d_band_center_surf - av_BE_H_surf|) / (av_EA^6)); $\left(\frac{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) }{ \left(av_{EA}^6\right) } \right)$; (abs(av_d_band_center_surf - av_BE_H_surf) ./ (av_EA).^6); av_d_band_center_surf,av_BE_H_surf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.739314961236501e-02,  5.443215055445685e-02,  7.379172876051683e-02,  1.766214883268120e-07,  3.856496864707960e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.460314808079400e-02,  6.150479669430701e-02,  3.689586438025842e-02,  1.766214883268120e-07,  5.430314353758054e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.236301709318101e-02,  6.497440593984680e-02,  2.459724292017228e-02,  1.766214883268120e-07,  6.242885419170185e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.338282477917900e-02,  6.898534248713001e-02,  1.475834575210336e-02,  1.766214883268120e-07,  7.212806885512361e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.232835059269099e-02,  7.035276989103106e-02,  1.229862146008614e-02,  1.766214883268120e-07,  7.549723642543642e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.484064918597000e-02,  7.246248511630404e-02,  9.223966095064604e-03,  1.766214883268120e-07,  8.074560166313638e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.551852479397100e-02,  7.331249361461994e-02,  8.199080973390760e-03,  1.766214883268120e-07,  8.287511414309235e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.624140955711101e-02,  7.406720131797004e-02,  7.379172876051682e-03,  1.766214883268120e-07,  8.477216021265118e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.687977851198700e-02,  7.644782535775396e-02,  5.270837768608345e-03,  1.766214883268120e-07,  9.078951043053293e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.687620918890400e-02,  7.693130167314288e-02,  4.919448584034455e-03,  1.766214883268120e-07,  9.201692418010770e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.689679201728600e-02,  7.738234439233285e-02,  4.611983047532302e-03,  1.766214883268120e-07,  9.316341893859974e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.681367034897300e-02,  7.820270934732929e-02,  4.099540486695380e-03,  1.766214883268120e-07,  9.525195163275754e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.735004744771500e-02,  7.893378034263646e-02,  3.689586438025841e-03,  1.766214883268120e-07,  9.711641618054668e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.746072776044501e-02,  7.927151574753932e-02,  3.513891845738897e-03,  1.766214883268120e-07,  9.797870547616316e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.767667904030801e-02,  7.959309204428353e-02,  3.354169489114401e-03,  1.766214883268120e-07,  9.880026643856149e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.765536965325100e-02,  7.989998443157767e-02,  3.208336033065949e-03,  1.766214883268120e-07,  9.958477358781178e-04,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.697005438102600e-02,  8.019347496895984e-02,  3.074655365021535e-03,  1.766214883268120e-07,  1.003354255599204e-03,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  7.857665605556700e-02,  8.047468487472675e-02,  2.951669150420673e-03,  1.766214883268120e-07,  1.010550238925153e-03,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_9_100,  8.016373252178199e-02,  8.149482812332667e-02,  2.544542371052305e-03,  1.766214883268120e-07,  1.036682310748608e-03,  6.236316585817870e-03,  4.945874331558544e-01
PdAg_1_5_100,  6.050679933141600e-02,  5.875835921524328e-02,  2.044296483378755e-02,  1.775388508538378e-07,  6.256750095045587e-04,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  6.369128751365800e-02,  6.103143535241703e-02,  1.533222362534066e-02,  1.775388508538378e-07,  6.809671496379303e-04,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  7.059051849144300e-02,  6.619213523982831e-02,  7.666111812670331e-03,  1.775388508538378e-07,  8.092492765108197e-04,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  7.195603596803600e-02,  6.703930261855415e-02,  6.814321611262517e-03,  1.775388508538378e-07,  8.305916951470027e-04,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  7.396647068078400e-02,  6.908412561104171e-02,  5.110741208446888e-03,  1.775388508538378e-07,  8.823523357857077e-04,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  7.511084231693500e-02,  7.016808645040795e-02,  4.380635321525903e-03,  1.775388508538378e-07,  9.099114269678285e-04,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  7.534057278525801e-02,  7.065101517545155e-02,  4.088592966757510e-03,  1.775388508538378e-07,  9.222128238038655e-04,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  7.581028328531100e-02,  7.110164093971882e-02,  3.833055906335165e-03,  1.775388508538378e-07,  9.337032336184314e-04,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  7.662152720325401e-02,  7.192146338211675e-02,  3.407160805631259e-03,  1.775388508538378e-07,  9.546349442863081e-04,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  7.652448575173899e-02,  7.229676900806095e-02,  3.227836552703297e-03,  1.775388508538378e-07,  9.642281741062266e-04,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  7.685288582387600e-02,  7.265226644231873e-02,  3.066444725068133e-03,  1.775388508538378e-07,  9.733209972142816e-04,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  7.827570721293500e-02,  7.361839583186250e-02,  2.666473673972289e-03,  1.775388508538378e-07,  9.980593904500255e-04,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  7.863335891894600e-02,  7.391192136454416e-02,  2.555370604223444e-03,  1.775388508538378e-07,  1.005582581222380e-03,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  7.998374643776000e-02,  7.446317944087008e-02,  2.358803634667794e-03,  1.775388508538378e-07,  1.019720015059898e-03,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  8.073321891950801e-02,  7.472276377604564e-02,  2.271440537087506e-03,  1.775388508538378e-07,  1.026380883675043e-03,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  8.118700916977900e-02,  7.497271370367356e-02,  2.190317660762952e-03,  1.775388508538378e-07,  1.032796629014423e-03,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  8.232400549504200e-02,  7.521371868910448e-02,  2.114789465564229e-03,  1.775388508538378e-07,  1.038984653857479e-03,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_5_100,  8.311749789736000e-02,  7.544639675328513e-02,  2.044296483378755e-03,  1.775388508538378e-07,  1.044960571049023e-03,  5.274796118986293e-14,  5.565554856475374e-01
PdAg_1_1_100,  3.009804408552100e-02,  2.971637947912146e-02, -1.042353748250954e-02, -3.914175379900981e-07,  4.594085446843136e-04,  1.214545016136706e-03,  7.201181334902500e-01
PdAg_1_1_100,  2.696882955527700e-02,  4.050731194536143e-02, -3.474512494169847e-03, -3.914175379900981e-07,  7.436891577167358e-04,  1.214545016136706e-03,  7.201181334902500e-01
PdAg_1_1_100,  2.796475357978000e-02,  4.302190567854856e-02, -2.605884370627385e-03, -3.914175379900981e-07,  8.094104419289722e-04,  1.214545016136706e-03,  7.201181334902500e-01
PdAg_1_1_100,  3.230869246046200e-02,  4.493185080919854e-02, -2.084707496501908e-03, -3.914175379900981e-07,  8.592318963581370e-04,  1.214545016136706e-03,  7.201181334902500e-01
