# c0 + a0 * ((ln(1.0*time+4.314068e+00)) * (av_PE * total_metal_loading)) + a1 * ((av_E_def_subsurf^2) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * ((av_EA / av_BE_H_subsurf) * (av_mu_C_critical_subsurf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00922144810346024; Max AE: 0.0585627828790737
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  3.283705193541529e-01, -4.810038585758962e-03,  9.289695666526693e-02, -2.268062299576223e-01, 
# 3   ,  2.460794964545004e-01, -3.210401176908550e-03,  9.212905554762486e-02, -2.109495969049295e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|log:1.0000000000000e+00,4.3140680637778e+00|7|1|mult|mult; ((ln(1.0*time+4.314068e+00)) * (av_PE * total_metal_loading)); $\left(\left(\ln{ \left(1.0time+4.314e+00 \right)}\right) \left(av_{PE} total_{metal, loading}\right)\right)$; (log(1.0*time+4.314068e+00) .* (av_PE .* total_metal_loading)); time,av_PE,total_metal_loading
# 1;  2; eV;                                               14|sq|18|16|sub|div; ((av_E_def_subsurf^2) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(av_{E, def, subsurf}^2\right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((av_E_def_subsurf).^2 ./ (av_d_band_center_surf - av_BE_H_surf)); av_E_def_subsurf,av_d_band_center_surf,av_BE_H_surf
# 2;  2; eV;                                               6|19|div|12|6|add|mult; ((av_EA / av_BE_H_subsurf) * (av_mu_C_critical_subsurf + av_EA)); $\left(\left(\frac{ av_{EA} }{ av_{BE, H, subsurf} } \right) \left(av_{mu, C, critical, subsurf} + av_{EA}\right)\right)$; ((av_EA ./ av_BE_H_subsurf) .* (av_mu_C_critical_subsurf + av_EA)); av_EA,av_BE_H_subsurf,av_mu_C_critical_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.739314961236501e-02,  5.539977976176370e-02,  7.157894582734875e-02, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.460314808079400e-02,  6.000339071674949e-02,  8.559850813166359e-02, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.292884240069832e-02,  9.450750425501446e-02, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.507788304971104e-02,  1.010520645073766e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.232835059269099e-02,  6.818322047940670e-02,  1.105088739548365e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.042724628821515e-02,  1.173426963491917e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.135360178237898e-02,  1.201637641356234e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.363119537436488e-02,  1.270998118553319e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.485896473478909e-02,  1.308387874577673e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.592595479146827e-02,  1.340881353553123e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.696036194524600e-02,  7.730320202141433e-02,  1.382823219487217e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.767667904030801e-02,  7.848124612974453e-02,  1.418698672333812e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.697005438102600e-02,  7.918162778184837e-02,  1.440027677552715e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  7.857665605556700e-02,  7.951049711614883e-02,  1.450042868165663e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  8.016373252178199e-02,  8.070757564647085e-02,  1.486497983950005e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_9_100,  8.064863733312801e-02,  8.098129037815227e-02,  1.494833529181647e-01, -2.480187025131502e-02,  2.783538938547486e+00
PdAg_1_5_100,  6.050679933141600e-02,  6.224588062956868e-02,  1.021357438586978e-01, -2.747139165743807e-02,  2.749084728340676e+00
PdAg_1_5_100,  6.369128751365800e-02,  6.456838260440889e-02,  1.092085528898135e-01, -2.747139165743807e-02,  2.749084728340676e+00
PdAg_1_5_100,  6.783442568252800e-02,  6.792436952644632e-02,  1.194286753558560e-01, -2.747139165743807e-02,  2.749084728340676e+00
PdAg_1_5_100,  7.059051849144300e-02,  7.034952345498849e-02,  1.268140945259814e-01, -2.747139165743807e-02,  2.749084728340676e+00
PdAg_1_5_100,  7.195603596803600e-02,  7.135065038368946e-02,  1.298628667807806e-01, -2.747139165743807e-02,  2.749084728340676e+00
PdAg_1_5_100,  7.236155798974900e-02,  7.224963833451634e-02,  1.326005910825695e-01, -2.747139165743807e-02,  2.749084728340676e+00
