# c0 + a0 * (av_delta_M1_M2_subsurf * std_dev) + a1 * (time / av_W_change_H) + a2 * (ln(1.0*time-2.073135e+00)) + a3 * (av_BE_H_surf^6)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.133882209191388; Max AE: 0.715464734959538
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -2.420420724731806e+00, -1.393591126796275e-05, -1.608852204704816e-01,  5.681343589138198e-03,  1.126635673710818e+00, 
# 3   , -2.821513786306734e+00, -3.924041397146962e-05, -1.685527562582429e-01,  5.426393539099903e-03,  1.132691230453102e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; nm;                                               15|3|mult; (av_delta_M1_M2_subsurf * std_dev); $\left(av_{delta, M1, M2, subsurf} std_{dev}\right)$; (av_delta_M1_M2_subsurf .* std_dev); av_delta_M1_M2_subsurf,std_dev
# 1;  1; eV^-1 * min;                                      0|17|div; (time / av_W_change_H); $\left(\frac{ time }{ av_{W, change, H} } \right)$; (time ./ av_W_change_H); time,av_W_change_H
# 2;  1; Unitless;                                         0|log:1.0000000000000e+00,-2.0731349776768e+00; (ln(1.0*time-2.073135e+00)); $\left(\ln{ \left(1.0time-2.073e+00 \right)}\right)$; log(1.0*time-2.073135e+00); time
# 3;  1; eV^6;                                             16|sp; (av_BE_H_surf^6); $\left(av_{BE, H, surf}^6\right)$; (av_BE_H_surf).^6; av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 212                   
# 3   , 219                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.929580134110400e-02,  7.847605363006416e-01,  2.169600000000000e-01,  1.310679611650486e+02,  2.435967163923918e+00,  1.015599566684160e+02
PdAg_1_9_100,  6.062451827416920e-01,  6.574468955500071e-01,  2.169600000000000e-01,  2.621359223300971e+02,  3.215946138417658e+00,  1.015599566684160e+02
PdAg_1_9_100,  3.628741788873400e-01,  5.859875013504852e-01,  2.169600000000000e-01,  3.932038834951456e+02,  3.648756824937051e+00,  1.015599566684160e+02
PdAg_1_9_100,  3.099375324862660e-01,  5.357217142830681e-01,  2.169600000000000e-01,  5.242718446601942e+02,  3.949836286735318e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.919675286925200e-01,  4.967151244992563e-01,  2.169600000000000e-01,  6.553398058252427e+02,  4.180932954273929e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.856868471553150e-01,  4.647083220237197e-01,  2.169600000000000e-01,  7.864077669902913e+02,  4.368521664476212e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.773647395214370e-01,  4.137184048728371e-01,  2.169600000000000e-01,  1.048543689320388e+03,  4.662748903365629e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.742250823045090e-01,  3.925928229378604e-01,  2.169600000000000e-01,  1.179611650485437e+03,  4.782704175836717e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.739275035497000e-01,  3.735362825961125e-01,  2.169600000000000e-01,  1.310679611650485e+03,  4.889799089928221e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.710137208355010e-01,  3.401326825105907e-01,  2.169600000000000e-01,  1.572815533980583e+03,  5.074716617124217e+00,  1.015599566684160e+02
