# c0 + a0 * (particle_diameter / time) + a1 * (std_dev / surface_area) + a2 * time + a3 * (av_bulk_int_dist * time) + a4 * (av_BE_H_surf^3)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.112830992012262; Max AE: 0.635460550940475
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  9.302207636590958e-01, -1.298627418455375e+01, -8.754552389949974e-03,  2.888944766186223e-03, -1.871532939255373e-01, -1.055022910853716e+00, 
# 3   ,  1.208980163592987e+00, -1.824570124386545e+01, -2.322218648943606e-02,  8.115149615038045e-03, -2.070660084106854e-01, -1.315260600402349e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min^-1 * nm;                                      2|0|div; (particle_diameter / time); $\left(\frac{ particle_{diameter} }{ time } \right)$; (particle_diameter ./ time); particle_diameter,time
# 1;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 2;  0; min;                                              0; time; $time$; time; time
# 3;  1; A * min;                                          8|0|mult; (av_bulk_int_dist * time); $\left(av_{bulk, int, dist} time\right)$; (av_bulk_int_dist .* time); av_bulk_int_dist,time
# 4;  1; eV^3;                                             16|cb; (av_BE_H_surf^3); $\left(av_{BE, H, surf}^3\right)$; (av_BE_H_surf).^3; av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 212                   
# 3   , 219                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.929580134110400e-02,  7.047563522815790e-01,  4.444444444444444e-01,  4.109589041095890e-02,  1.350000000000000e+01,  3.881790000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  6.062451827416920e-01,  4.919969387990178e-01,  2.222222222222222e-01,  4.109589041095890e-02,  2.700000000000000e+01,  7.763580000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  3.628741788873400e-01,  4.170480088215077e-01,  1.481481481481481e-01,  4.109589041095890e-02,  4.050000000000000e+01,  1.164537000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  3.099375324862660e-01,  3.765516997202605e-01,  1.111111111111111e-01,  4.109589041095890e-02,  5.400000000000000e+01,  1.552716000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.919675286925200e-01,  3.498364389695184e-01,  8.888888888888889e-02,  4.109589041095890e-02,  6.750000000000000e+01,  1.940895000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.856868471553150e-01,  3.300117023940286e-01,  7.407407407407407e-02,  4.109589041095890e-02,  8.100000000000000e+01,  2.329074000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.773647395214370e-01,  3.006980155059283e-01,  5.555555555555555e-02,  4.109589041095890e-02,  1.080000000000000e+02,  3.105432000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.742250823045090e-01,  2.889122238015669e-01,  4.938271604938271e-02,  4.109589041095890e-02,  1.215000000000000e+02,  3.493611000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.739275035497000e-01,  2.782748527930803e-01,  4.444444444444445e-02,  4.109589041095890e-02,  1.350000000000000e+02,  3.881790000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.710137208355010e-01,  2.592969521678588e-01,  3.703703703703703e-02,  4.109589041095890e-02,  1.620000000000000e+02,  4.658148000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.691444146104700e-01,  2.422877727355668e-01,  3.174603174603174e-02,  4.109589041095890e-02,  1.890000000000000e+02,  5.434506000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.679801391469650e-01,  2.342753633176531e-01,  2.962962962962963e-02,  4.109589041095890e-02,  2.025000000000000e+02,  5.822685000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.658907762370700e-01,  2.265090440488553e-01,  2.777777777777778e-02,  4.109589041095890e-02,  2.160000000000000e+02,  6.210864000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.637375021423530e-01,  2.115506158591978e-01,  2.469135802469136e-02,  4.109589041095890e-02,  2.430000000000000e+02,  6.987222000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.642144249687690e-01,  2.042980637438177e-01,  2.339181286549707e-02,  4.109589041095890e-02,  2.565000000000000e+02,  7.375400999999999e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.621887653386570e-01,  1.971663980174776e-01,  2.222222222222222e-02,  4.109589041095890e-02,  2.700000000000000e+02,  7.763579999999999e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.609797547787540e-01,  1.901383491960285e-01,  2.116402116402116e-02,  4.109589041095890e-02,  2.835000000000000e+02,  8.151759000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.597681369110620e-01,  1.831997877015306e-01,  2.020202020202020e-02,  4.109589041095890e-02,  2.970000000000000e+02,  8.539938000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.586590858830060e-01,  1.763390412739472e-01,  1.932367149758454e-02,  4.109589041095890e-02,  3.105000000000000e+02,  8.928117000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.564021611090790e-01,  1.695463830299138e-01,  1.851851851851852e-02,  4.109589041095890e-02,  3.240000000000000e+02,  9.316296000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.562832756759230e-01,  1.628136423874045e-01,  1.777777777777778e-02,  4.109589041095890e-02,  3.375000000000000e+02,  9.704475000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.479231710514490e-01,  1.363578883811760e-01,  1.532567049808429e-02,  4.109589041095890e-02,  3.915000000000000e+02,  1.125719100000000e+03, -1.007769600000000e+01
PdAg_1_9_100,  2.453013105463630e-01,  1.298389915923810e-01,  1.481481481481482e-02,  4.109589041095890e-02,  4.050000000000000e+02,  1.164537000000000e+03, -1.007769600000000e+01
PdAg_1_5_100,  2.565338589410230e-01,  4.268940970070977e-01,  1.481481481481481e-01,  5.128205128205128e-02,  4.050000000000000e+01,  1.160864999999999e+02, -1.084277570370365e+01
