# c0 + a0 * (av_PE * std_dev) + a1 * (total_metal_loading * time) + a2 * (time / av_E_def_subsurf) + a3 * (av_E_b_C_subsurf * av_bulk_int_dist)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.12719863913586; Max AE: 0.717098248426372
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -1.085228399019288e-01, -2.329777681184970e-01,  4.063045561432494e-04,  2.743966515113089e-01, -2.543046049487419e+00, 
# 3   , -1.240821888890332e-01, -4.378851631094439e-01,  9.258718121040730e-04,  2.651172800056111e-01, -2.427778392261855e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; nm;                                               7|3|mult; (av_PE * std_dev); $\left(av_{PE} std_{dev}\right)$; (av_PE .* std_dev); av_PE,std_dev
# 1;  1; min;                                              1|0|mult; (total_metal_loading * time); $\left(total_{metal, loading} time\right)$; (total_metal_loading .* time); total_metal_loading,time
# 2;  1; eV^-1 * min;                                      0|14|div; (time / av_E_def_subsurf); $\left(\frac{ time }{ av_{E, def, subsurf} } \right)$; (time ./ av_E_def_subsurf); time,av_E_def_subsurf
# 3;  1; A * eV;                                           13|8|mult; (av_E_b_C_subsurf * av_bulk_int_dist); $\left(av_{E, b, C, subsurf} av_{bulk, int, dist}\right)$; (av_E_b_C_subsurf .* av_bulk_int_dist); av_E_b_C_subsurf,av_bulk_int_dist
# Number of Samples Per Task
# Task, n_samples               
# 2   , 169                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.966526902183468e-01,  5.871000000000000e+00,  1.714500000000000e-01,  6.553398058252428e+01,  1.344824580000000e+01
PdAg_1_9_100,  6.062451827416920e-01,  4.833354067673137e-01,  5.871000000000000e+00,  3.429000000000000e-01,  1.310679611650486e+02,  1.344824580000000e+01
PdAg_1_9_100,  3.099375324862660e-01,  4.567008398652461e-01,  5.871000000000000e+00,  6.858000000000000e-01,  2.621359223300971e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.919675286925200e-01,  4.433835564142130e-01,  5.871000000000000e+00,  8.572500000000000e-01,  3.276699029126214e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.856868471553150e-01,  4.300662729631795e-01,  5.871000000000000e+00,  1.028700000000000e+00,  3.932038834951456e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.773647395214370e-01,  4.034317060611128e-01,  5.871000000000000e+00,  1.371600000000000e+00,  5.242718446601942e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.739275035497000e-01,  3.767971391590457e-01,  5.871000000000000e+00,  1.714500000000000e+00,  6.553398058252427e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.710137208355010e-01,  3.501625722569786e-01,  5.871000000000000e+00,  2.057400000000000e+00,  7.864077669902913e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.691444146104700e-01,  3.235280053549119e-01,  5.871000000000000e+00,  2.400300000000000e+00,  9.174757281553399e+02,  1.344824580000000e+01
PdAg_1_9_100,  2.679801391469650e-01,  3.102107219038783e-01,  5.871000000000000e+00,  2.571750000000000e+00,  9.830097087378641e+02,  1.344824580000000e+01
