# c0 + a0 * (std_dev / particle_diameter) + a1 * (particle_diameter * time) + a2 * (total_metal_loading * time) + a3 * (time / av_E_def_subsurf) + a4 * (|av_BE_H_surf - av_E_b_C_subsurf|)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.107131037406533; Max AE: 0.561873844945934
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -8.079835503872238e-01, -4.914356092125214e-04, -2.823253314047754e-01,  1.221639906492284e-03,  5.577700487806349e-01, -2.999369538398231e+00, 
# 3   , -9.207268283689505e-01, -7.033655848543990e-04, -4.806896211970804e-01,  2.024995487219015e-03,  5.437210463096861e-01, -2.967779855729491e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         3|2|div; (std_dev / particle_diameter); $\left(\frac{ std_{dev} }{ particle_{diameter} } \right)$; (std_dev ./ particle_diameter); std_dev,particle_diameter
# 1;  1; min * nm;                                         2|0|mult; (particle_diameter * time); $\left(particle_{diameter} time\right)$; (particle_diameter .* time); particle_diameter,time
# 2;  1; min;                                              1|0|mult; (total_metal_loading * time); $\left(total_{metal, loading} time\right)$; (total_metal_loading .* time); total_metal_loading,time
# 3;  1; eV^-1 * min;                                      0|14|div; (time / av_E_def_subsurf); $\left(\frac{ time }{ av_{E, def, subsurf} } \right)$; (time ./ av_E_def_subsurf); time,av_E_def_subsurf
# 4;  1; eV;                                               16|13|abd; (|av_BE_H_surf - av_E_b_C_subsurf|); $\left(\left|av_{BE, H, surf} - av_{E, b, C, subsurf}\right|\right)$; abs(av_BE_H_surf - av_E_b_C_subsurf); av_BE_H_surf,av_E_b_C_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 169                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.019604734166968e-01,  5.000000000000000e-01,  8.100000000000000e+01,  1.714500000000000e-01,  6.553398058252428e+01,  6.837000000000000e+00
PdAg_1_9_100,  6.062451827416920e-01,  3.938084369120358e-01,  5.000000000000000e-01,  1.620000000000000e+02,  3.429000000000000e-01,  1.310679611650486e+02,  6.837000000000000e+00
PdAg_1_9_100,  3.099375324862660e-01,  3.775043639027137e-01,  5.000000000000000e-01,  3.240000000000000e+02,  6.858000000000000e-01,  2.621359223300971e+02,  6.837000000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.693523273980527e-01,  5.000000000000000e-01,  4.050000000000000e+02,  8.572500000000000e-01,  3.276699029126214e+02,  6.837000000000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.612002908933922e-01,  5.000000000000000e-01,  4.860000000000000e+02,  1.028700000000000e+00,  3.932038834951456e+02,  6.837000000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.448962178840706e-01,  5.000000000000000e-01,  6.480000000000000e+02,  1.371600000000000e+00,  5.242718446601942e+02,  6.837000000000000e+00
PdAg_1_9_100,  2.739275035497000e-01,  3.285921448747490e-01,  5.000000000000000e-01,  8.100000000000000e+02,  1.714500000000000e+00,  6.553398058252427e+02,  6.837000000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  3.122880718654266e-01,  5.000000000000000e-01,  9.720000000000000e+02,  2.057400000000000e+00,  7.864077669902913e+02,  6.837000000000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.959839988561050e-01,  5.000000000000000e-01,  1.134000000000000e+03,  2.400300000000000e+00,  9.174757281553399e+02,  6.837000000000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.878319623514444e-01,  5.000000000000000e-01,  1.215000000000000e+03,  2.571750000000000e+00,  9.830097087378641e+02,  6.837000000000000e+00
PdAg_1_9_100,  2.658907762370700e-01,  2.796799258467843e-01,  5.000000000000000e-01,  1.296000000000000e+03,  2.743200000000000e+00,  1.048543689320388e+03,  6.837000000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.633758528374627e-01,  5.000000000000000e-01,  1.458000000000000e+03,  3.086100000000000e+00,  1.179611650485437e+03,  6.837000000000000e+00
PdAg_1_9_100,  2.642144249687690e-01,  2.552238163328013e-01,  5.000000000000000e-01,  1.539000000000000e+03,  3.257550000000000e+00,  1.245145631067961e+03,  6.837000000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.470717798281403e-01,  5.000000000000000e-01,  1.620000000000000e+03,  3.429000000000000e+00,  1.310679611650485e+03,  6.837000000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.389197433234801e-01,  5.000000000000000e-01,  1.701000000000000e+03,  3.600450000000000e+00,  1.376213592233010e+03,  6.837000000000000e+00
PdAg_1_9_100,  2.586590858830060e-01,  2.226156703141581e-01,  5.000000000000000e-01,  1.863000000000000e+03,  3.943350000000000e+00,  1.507281553398058e+03,  6.837000000000000e+00
PdAg_1_9_100,  2.564021611090790e-01,  2.144636338094971e-01,  5.000000000000000e-01,  1.944000000000000e+03,  4.114800000000000e+00,  1.572815533980583e+03,  6.837000000000000e+00
PdAg_1_9_100,  2.479231710514490e-01,  1.737034512861925e-01,  5.000000000000000e-01,  2.349000000000000e+03,  4.972049999999999e+00,  1.900485436893204e+03,  6.837000000000000e+00
PdAg_1_9_100,  2.453013105463630e-01,  1.655514147815315e-01,  5.000000000000000e-01,  2.430000000000000e+03,  5.143500000000000e+00,  1.966019417475728e+03,  6.837000000000000e+00
PdAg_1_5_100,  2.565338589410230e-01,  4.026301169461184e-01,  6.666666666666666e-01,  2.430000000000000e+02,  5.508000000000000e-01,  1.991803278688528e+02,  7.121666666666659e+00
PdAg_1_5_100,  2.398208440226360e-01,  3.920977807915902e-01,  6.666666666666666e-01,  3.240000000000000e+02,  7.343999999999999e-01,  2.655737704918037e+02,  7.121666666666659e+00
PdAg_1_5_100,  2.261682956735730e-01,  3.710331084825329e-01,  6.666666666666666e-01,  4.860000000000000e+02,  1.101600000000000e+00,  3.983606557377055e+02,  7.121666666666659e+00
PdAg_1_5_100,  2.195369868150280e-01,  3.499684361734765e-01,  6.666666666666666e-01,  6.480000000000000e+02,  1.468800000000000e+00,  5.311475409836074e+02,  7.121666666666659e+00
PdAg_1_5_100,  2.164592134781930e-01,  3.394361000189483e-01,  6.666666666666666e-01,  7.290000000000000e+02,  1.652400000000000e+00,  5.975409836065584e+02,  7.121666666666659e+00
PdAg_1_5_100,  2.141497061269980e-01,  3.289037638644201e-01,  6.666666666666666e-01,  8.100000000000000e+02,  1.836000000000000e+00,  6.639344262295093e+02,  7.121666666666659e+00
PdAg_1_5_100,  2.074551680388040e-01,  2.973067554008342e-01,  6.666666666666666e-01,  1.053000000000000e+03,  2.386800000000000e+00,  8.631147540983620e+02,  7.121666666666659e+00
PdAg_1_5_100,  2.050856479851930e-01,  2.867744192463060e-01,  6.666666666666666e-01,  1.134000000000000e+03,  2.570400000000000e+00,  9.295081967213130e+02,  7.121666666666659e+00
PdAg_1_5_100,  2.038357874315140e-01,  2.762420830917778e-01,  6.666666666666666e-01,  1.215000000000000e+03,  2.754000000000000e+00,  9.959016393442639e+02,  7.121666666666659e+00
PdAg_1_5_100,  2.024470208367670e-01,  2.657097469372487e-01,  6.666666666666666e-01,  1.296000000000000e+03,  2.937600000000000e+00,  1.062295081967215e+03,  7.121666666666659e+00
PdAg_1_5_100,  1.973081438407180e-01,  2.341127384736641e-01,  6.666666666666666e-01,  1.539000000000000e+03,  3.488400000000000e+00,  1.261475409836068e+03,  7.121666666666659e+00
PdAg_1_5_100,  1.926261364587620e-01,  1.919833938555509e-01,  6.666666666666666e-01,  1.863000000000000e+03,  4.222799999999999e+00,  1.527049180327871e+03,  7.121666666666659e+00
PdAg_1_5_100,  1.905512205622570e-01,  1.814510577010218e-01,  6.666666666666666e-01,  1.944000000000000e+03,  4.406400000000000e+00,  1.593442622950822e+03,  7.121666666666659e+00
PdAg_1_5_100,  1.877437449997070e-01,  1.603863853919654e-01,  6.666666666666666e-01,  2.106000000000000e+03,  4.773600000000000e+00,  1.726229508196724e+03,  7.121666666666659e+00
PdAg_1_5_100,  1.864446344370330e-01,  1.498540492374372e-01,  6.666666666666666e-01,  2.187000000000000e+03,  4.957199999999999e+00,  1.792622950819675e+03,  7.121666666666659e+00
