# c0 + a0 * (std_dev / av_d_band_center_surf) + a1 * (ln(1.0*time-3.709021e+00)) + a2 * (av_BE_H_subsurf^2)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.148983217228474; Max AE: 0.451605095313493
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  5.159580343666690e-01, -1.724098148832513e-01,  6.380742770825786e-01,  2.508092534716057e-01, 
# 3   ,  5.005231292353517e-01, -1.788057499471795e-01,  6.319191888950736e-01,  8.599469103308537e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * nm;                                       3|18|div; (std_dev / av_d_band_center_surf); $\left(\frac{ std_{dev} }{ av_{d, band, center, surf} } \right)$; (std_dev ./ av_d_band_center_surf); std_dev,av_d_band_center_surf
# 1;  1; Unitless;                                         0|log:1.0000000000000e+00,-3.7090212957605e+00; (ln(1.0*time-3.709021e+00)); $\left(\ln{ \left(1.0time-3.709e+00 \right)}\right)$; log(1.0*time-3.709021e+00); time
# 2;  1; eV^2;                                             19|sq; (av_BE_H_subsurf^2); $\left(av_{BE, H, subsurf}^2\right)$; (av_BE_H_subsurf).^2; av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 167                   
# 3   , 178                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.062451827416920e-01,  6.166380409134475e-01, -7.749935417204856e-01,  3.148066105522540e+00,  2.050624000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  5.378145897551854e-01, -7.749935417204856e-01,  3.605252671215672e+00,  2.050624000000000e+00
PdAg_1_9_100,  3.099375324862660e-01,  4.839239297932541e-01, -7.749935417204856e-01,  3.917825711204280e+00,  2.050624000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  4.429272775640252e-01, -7.749935417204856e-01,  4.155611780732806e+00,  2.050624000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.581752531834794e-01, -7.749935417204856e-01,  4.647184864538599e+00,  2.050624000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.371883542864256e-01, -7.749935417204856e-01,  4.768911686826908e+00,  2.050624000000000e+00
PdAg_1_9_100,  2.739275035497000e-01,  3.184811334211603e-01, -7.749935417204856e-01,  4.877416071440586e+00,  2.050624000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.862372385925006e-01, -7.749935417204856e-01,  5.064434976660651e+00,  2.050624000000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.590839908851597e-01, -7.749935417204856e-01,  5.221927447293647e+00,  2.050624000000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.469590177028026e-01, -7.749935417204856e-01,  5.292253914441517e+00,  2.050624000000000e+00
