# c0 + a0 * (std_dev / surface_area) + a1 * (ln(1.0*time-3.709021e+00)) + a2 * (av_BE_H_surf^2) + a3 * (av_W_change_H - av_E_b_C_subsurf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.129171636106488; Max AE: 0.471400494638442
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -1.200099062884681e+01, -1.754567695483693e-01,  1.028074374601591e+00,  4.194172921375694e-01, -1.234624013198064e+00, 
# 3   , -1.892379036319412e+01, -1.855179531112675e-01,  2.081354240477574e+00,  1.490682877750452e+00, -1.041446613774706e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 1;  1; Unitless;                                         0|log:1.0000000000000e+00,-3.7090212957605e+00; (ln(1.0*time-3.709021e+00)); $\left(\ln{ \left(1.0time-3.709e+00 \right)}\right)$; log(1.0*time-3.709021e+00); time
# 2;  1; eV^2;                                             16|sq; (av_BE_H_surf^2); $\left(av_{BE, H, surf}^2\right)$; (av_BE_H_surf).^2; av_BE_H_surf
# 3;  1; eV;                                               17|13|sub; (av_W_change_H - av_E_b_C_subsurf); $\left(av_{W, change, H} - av_{E, b, C, subsurf}\right)$; (av_W_change_H - av_E_b_C_subsurf); av_W_change_H,av_E_b_C_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 167                   
# 3   , 178                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.062451827416920e-01,  5.980041898001448e-01,  4.109589041095890e-02,  3.148066105522540e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  5.177877119027147e-01,  4.109589041095890e-02,  3.605252671215672e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  3.099375324862660e-01,  4.629446560584001e-01,  4.109589041095890e-02,  3.917825711204280e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  4.212234804553210e-01,  4.109589041095890e-02,  4.155611780732806e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.349736551738268e-01,  4.109589041095890e-02,  4.647184864538599e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.136158601677315e-01,  4.109589041095890e-02,  4.768911686826908e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.739275035497000e-01,  2.945780313615821e-01,  4.109589041095890e-02,  4.877416071440586e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.617642984071969e-01,  4.109589041095890e-02,  5.064434976660651e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.341311782817400e-01,  4.109589041095890e-02,  5.221927447293647e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.217919235422253e-01,  4.109589041095890e-02,  5.292253914441517e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.658907762370700e-01,  2.102637189364088e-01,  4.109589041095890e-02,  5.357957874656278e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  1.892576097296977e-01,  4.109589041095890e-02,  5.477680295516875e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.642144249687690e-01,  1.796280718850627e-01,  4.109589041095890e-02,  5.532562976130578e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  1.704996457570050e-01,  4.109589041095890e-02,  5.584589615806862e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  1.618227463461304e-01,  4.109589041095890e-02,  5.634042819768208e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  1.535548026495793e-01,  4.109589041095890e-02,  5.681165217597789e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.586590858830060e-01,  1.456589941376827e-01,  4.109589041095890e-02,  5.726166664576555e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.562832756759230e-01,  1.308595103523900e-01,  4.109589041095890e-02,  5.810514984811714e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_9_100,  2.453013105463630e-01,  9.854531917179783e-02,  4.109589041095890e-02,  5.994686796841368e+00,  4.665600000000000e+00, -4.574000000000000e+00
PdAg_1_5_100,  2.398208440226360e-01,  4.815107903075312e-01,  5.128205128205128e-02,  3.917825711204280e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  2.261682956735730e-01,  4.061079746911613e-01,  5.128205128205128e-02,  4.347577243792386e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  2.141497061269980e-01,  3.131441656107127e-01,  5.128205128205128e-02,  4.877416071440586e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  2.099035907134980e-01,  2.803304326563276e-01,  5.128205128205128e-02,  5.064434976660651e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  2.074551680388040e-01,  2.659704328429992e-01,  5.128205128205128e-02,  5.146278497718811e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  2.050856479851930e-01,  2.526973125308706e-01,  5.128205128205128e-02,  5.221927447293647e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  2.024470208367670e-01,  2.288298531855394e-01,  5.128205128205128e-02,  5.357957874656278e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  2.000269286823050e-01,  2.078237439788288e-01,  5.128205128205128e-02,  5.477680295516875e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  1.969854579108610e-01,  1.890657800061357e-01,  5.128205128205128e-02,  5.584589615806862e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  1.905512205622570e-01,  1.566693937792351e-01,  5.128205128205128e-02,  5.769229891074039e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  1.877437449997070e-01,  1.424691347625419e-01,  5.128205128205128e-02,  5.850162983899383e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  1.848761965650050e-01,  1.293325936200246e-01,  5.128205128205128e-02,  5.925033512841249e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  1.846523109974680e-01,  1.231156397046320e-01,  5.128205128205128e-02,  5.960466479784590e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_5_100,  1.849359671980280e-01,  1.171114534209285e-01,  5.128205128205128e-02,  5.994686796841368e+00,  4.898844444444429e+00, -4.809999999999997e+00
PdAg_1_1_100,  1.535896786579120e+00,  1.480127587938521e+00,  5.797101449275362e-02,  2.281461421335306e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  1.542341149952750e+00,  1.328075929575544e+00,  5.797101449275362e-02,  3.148066105522540e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  1.476543275391880e+00,  1.247859451678114e+00,  5.797101449275362e-02,  3.605252671215672e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  1.443594468047830e+00,  1.193016395833799e+00,  5.797101449275362e-02,  3.917825711204280e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  1.385113175840640e+00,  1.151295220230720e+00,  5.797101449275362e-02,  4.155611780732806e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  1.289499794158380e+00,  1.117613580217429e+00,  5.797101449275362e-02,  4.347577243792386e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  1.124408621718650e+00,  1.065045394949226e+00,  5.797101449275362e-02,  4.647184864538599e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  1.055882869290930e+00,  1.043687599943131e+00,  5.797101449275362e-02,  4.768911686826908e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  9.478991583993770e-01,  9.918360381825956e-01,  5.797101449275362e-02,  5.064434976660651e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  9.217389182624810e-01,  9.774760383692672e-01,  5.797101449275362e-02,  5.146278497718811e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  8.995066396137220e-01,  9.642029180571386e-01,  5.797101449275362e-02,  5.221927447293647e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  8.704807885278290e-01,  9.518636633176240e-01,  5.797101449275362e-02,  5.292253914441517e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  8.640896201761730e-01,  9.403354587118075e-01,  5.797101449275362e-02,  5.357957874656278e+00,  6.150400000000000e+00, -5.990000000000000e+00
PdAg_1_1_100,  8.596665013433460e-01,  9.295182288944296e-01,  5.797101449275362e-02,  5.419609698323280e+00,  6.150400000000000e+00, -5.990000000000000e+00
