# c0 + a0 * (std_dev * total_metal_loading) + a1 * (av_E_def_subsurf * time) + a2 * (av_BE_H_subsurf - av_BE_H_surf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.151871130846463; Max AE: 0.780714237178563
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -1.483770406834878e+01, -4.624965179261865e-03, -5.724252792050078e+00,  5.223577344138604e+00, 
# 3   , -1.519163705833034e+01, -5.919796230164976e-03, -5.528769097521738e+00,  4.981183559881269e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; nm;                                               3|1|mult; (std_dev * total_metal_loading); $\left(std_{dev} total_{metal, loading}\right)$; (std_dev .* total_metal_loading); std_dev,total_metal_loading
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; eV;                                               19|16|sub; (av_BE_H_subsurf - av_BE_H_surf); $\left(av_{BE, H, subsurf} - av_{BE, H, surf}\right)$; (av_BE_H_subsurf - av_BE_H_surf); av_BE_H_subsurf,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.781427583585297e-01,  3.809999999999999e-02,  2.781000000000000e+00,  7.280000000000002e-01
PdAg_1_9_100,  6.062451827416920e-01,  4.652807301950029e-01,  3.809999999999999e-02,  5.561999999999999e+00,  7.280000000000002e-01
PdAg_1_9_100,  3.628741788873400e-01,  4.524187020314752e-01,  3.809999999999999e-02,  8.343000000000000e+00,  7.280000000000002e-01
PdAg_1_9_100,  2.919675286925200e-01,  4.266946457044208e-01,  3.809999999999999e-02,  1.390500000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.856868471553150e-01,  4.138326175408940e-01,  3.809999999999999e-02,  1.668600000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.773647395214370e-01,  3.881085612138396e-01,  3.809999999999999e-02,  2.224800000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.742250823045090e-01,  3.752465330503119e-01,  3.809999999999999e-02,  2.502900000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.739275035497000e-01,  3.623845048867851e-01,  3.809999999999999e-02,  2.781000000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.691444146104700e-01,  3.109363922326763e-01,  3.809999999999999e-02,  3.893400000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.679801391469650e-01,  2.980743640691486e-01,  3.809999999999999e-02,  4.171500000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.658907762370700e-01,  2.852123359056218e-01,  3.809999999999999e-02,  4.449600000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.637375021423530e-01,  2.594882795785665e-01,  3.809999999999999e-02,  5.005800000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.621887653386570e-01,  2.337642232515121e-01,  3.809999999999999e-02,  5.562000000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.609797547787540e-01,  2.209021950879853e-01,  3.809999999999999e-02,  5.840100000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.597681369110620e-01,  2.080401669244577e-01,  3.809999999999999e-02,  6.118200000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.586590858830060e-01,  1.951781387609309e-01,  3.809999999999999e-02,  6.396299999999999e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.564021611090790e-01,  1.823161105974032e-01,  3.809999999999999e-02,  6.674400000000000e+01,  7.280000000000002e-01
PdAg_1_9_100,  2.562832756759230e-01,  1.694540824338765e-01,  3.809999999999999e-02,  6.952499999999999e+01,  7.280000000000002e-01
