# c0 + a0 * (av_BE_H_subsurf * std_dev) + a1 * (av_E_def_subsurf * time) + a2 * (time / total_metal_loading) + a3 * (particle_diameter / time) + a4 * (av_BE_H_subsurf + av_mu_C_critical_subsurf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.114371946329139; Max AE: 0.688254742925017
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  1.151994037799240e-01, -1.103147047118945e-02,  2.327971862755894e-05,  9.753713978926433e-01, -5.688522793463378e-01, -2.533053859356001e+00, 
# 3   ,  1.286856677203374e-01, -1.749988933588728e-02,  4.151688458045274e-05,  1.239724506422559e+00, -5.768618640492441e-01, -2.727445173711127e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * nm;                                          19|3|mult; (av_BE_H_subsurf * std_dev); $\left(av_{BE, H, subsurf} std_{dev}\right)$; (av_BE_H_subsurf .* std_dev); av_BE_H_subsurf,std_dev
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; min;                                              0|1|div; (time / total_metal_loading); $\left(\frac{ time }{ total_{metal, loading} } \right)$; (time ./ total_metal_loading); time,total_metal_loading
# 3;  1; min^-1 * nm;                                      2|0|div; (particle_diameter / time); $\left(\frac{ particle_{diameter} }{ time } \right)$; (particle_diameter ./ time); particle_diameter,time
# 4;  1; eV;                                               19|12|add; (av_BE_H_subsurf + av_mu_C_critical_subsurf); $\left(av_{BE, H, subsurf} + av_{mu, C, critical, subsurf}\right)$; (av_BE_H_subsurf + av_mu_C_critical_subsurf); av_BE_H_subsurf,av_mu_C_critical_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.929580134110400e-02,  7.575505442661208e-01, -4.295999999999999e+00,  2.781000000000000e+00,  1.062992125984252e+03,  4.444444444444444e-01, -5.903000000000000e+00
PdAg_1_9_100,  6.062451827416920e-01,  5.348689829502682e-01, -4.295999999999999e+00,  5.561999999999999e+00,  2.125984251968504e+03,  2.222222222222222e-01, -5.903000000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  4.566868879888819e-01, -4.295999999999999e+00,  8.343000000000000e+00,  3.188976377952756e+03,  1.481481481481481e-01, -5.903000000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.870223778787877e-01, -4.295999999999999e+00,  1.390500000000000e+01,  5.314960629921260e+03,  8.888888888888889e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.666400694591875e-01, -4.295999999999999e+00,  1.668600000000000e+01,  6.377952755905512e+03,  7.407407407407407e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.367129125965715e-01, -4.295999999999999e+00,  2.224800000000000e+01,  8.503937007874016e+03,  5.555555555555555e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.247597397143153e-01, -4.295999999999999e+00,  2.502900000000000e+01,  9.566929133858268e+03,  4.938271604938271e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.739275035497000e-01,  3.140107290516791e-01, -4.295999999999999e+00,  2.781000000000000e+01,  1.062992125984252e+04,  4.444444444444445e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.778956133703953e-01, -4.295999999999999e+00,  3.893400000000000e+01,  1.488188976377953e+04,  3.174603174603174e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.698989734954637e-01, -4.295999999999999e+00,  4.171500000000000e+01,  1.594488188976378e+04,  2.962962962962963e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.658907762370700e-01,  2.621603683818789e-01, -4.295999999999999e+00,  4.449600000000000e+01,  1.700787401574803e+04,  2.777777777777778e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.472852392645199e-01, -4.295999999999999e+00,  5.005800000000000e+01,  1.913385826771654e+04,  2.469135802469136e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.330121912569716e-01, -4.295999999999999e+00,  5.562000000000000e+01,  2.125984251968504e+04,  2.222222222222222e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.260476904274284e-01, -4.295999999999999e+00,  5.840100000000000e+01,  2.232283464566929e+04,  2.116402116402116e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  2.191770204201941e-01, -4.295999999999999e+00,  6.118200000000000e+01,  2.338582677165354e+04,  2.020202020202020e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.586590858830060e-01,  2.123879424323580e-01, -4.295999999999999e+00,  6.396299999999999e+01,  2.444881889763780e+04,  1.932367149758454e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.564021611090790e-01,  2.056702574614943e-01, -4.295999999999999e+00,  6.674400000000000e+01,  2.551181102362205e+04,  1.851851851851852e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.562832756759230e-01,  1.990153983455682e-01, -4.295999999999999e+00,  6.952499999999999e+01,  2.657480314960630e+04,  1.777777777777778e-02, -5.903000000000000e+00
PdAg_1_9_100,  2.479231710514490e-01,  1.728942359037759e-01, -4.295999999999999e+00,  8.064900000000000e+01,  3.082677165354331e+04,  1.532567049808429e-02, -5.903000000000000e+00
PdAg_1_5_100,  2.565338589410230e-01,  4.298997798667134e-01, -6.053333333333320e+00,  8.234999999999987e+00,  2.977941176470588e+03,  1.481481481481481e-01, -6.218333333333330e+00
PdAg_1_5_100,  2.398208440226360e-01,  3.866020710605677e-01, -6.053333333333320e+00,  1.097999999999998e+01,  3.970588235294118e+03,  1.111111111111111e-01, -6.218333333333330e+00
PdAg_1_5_100,  2.195369868150280e-01,  3.037234023075259e-01, -6.053333333333320e+00,  2.195999999999997e+01,  7.941176470588236e+03,  5.555555555555555e-02, -6.218333333333330e+00
PdAg_1_5_100,  2.164592134781930e-01,  2.905297489918943e-01, -6.053333333333320e+00,  2.470499999999996e+01,  8.933823529411766e+03,  4.938271604938271e-02, -6.218333333333330e+00
PdAg_1_5_100,  2.099035907134980e-01,  2.569696001431005e-01, -6.053333333333320e+00,  3.293999999999995e+01,  1.191176470588235e+04,  3.703703703703703e-02, -6.218333333333330e+00
PdAg_1_5_100,  2.050856479851930e-01,  2.374632204810971e-01, -6.053333333333320e+00,  3.842999999999994e+01,  1.389705882352941e+04,  3.174603174603174e-02, -6.218333333333330e+00
PdAg_1_5_100,  2.038357874315140e-01,  2.282261001727900e-01, -6.053333333333320e+00,  4.117499999999993e+01,  1.488970588235294e+04,  2.962962962962963e-02, -6.218333333333330e+00
PdAg_1_5_100,  2.024470208367670e-01,  2.192470146258294e-01, -6.053333333333320e+00,  4.391999999999993e+01,  1.588235294117647e+04,  2.777777777777778e-02, -6.218333333333330e+00
PdAg_1_5_100,  2.000269286823050e-01,  2.018909246417195e-01, -6.053333333333320e+00,  4.940999999999992e+01,  1.786764705882353e+04,  2.469135802469136e-02, -6.218333333333330e+00
PdAg_1_5_100,  1.973081438407180e-01,  1.934505432456423e-01, -6.053333333333320e+00,  5.215499999999992e+01,  1.886029411764706e+04,  2.339181286549707e-02, -6.218333333333330e+00
PdAg_1_5_100,  1.969854579108610e-01,  1.851369157674203e-01, -6.053333333333320e+00,  5.489999999999991e+01,  1.985294117647059e+04,  2.222222222222222e-02, -6.218333333333330e+00
PdAg_1_5_100,  1.926261364587620e-01,  1.607912256426795e-01, -6.053333333333320e+00,  6.313499999999990e+01,  2.283088235294118e+04,  1.932367149758454e-02, -6.218333333333330e+00
PdAg_1_5_100,  1.905512205622570e-01,  1.528330602384408e-01, -6.053333333333320e+00,  6.587999999999990e+01,  2.382352941176471e+04,  1.851851851851852e-02, -6.218333333333330e+00
PdAg_1_5_100,  1.877437449997070e-01,  1.370979578576665e-01, -6.053333333333320e+00,  7.136999999999989e+01,  2.580882352941177e+04,  1.709401709401710e-02, -6.218333333333330e+00
PdAg_1_5_100,  1.864446344370330e-01,  1.293075965531522e-01, -6.053333333333320e+00,  7.411499999999988e+01,  2.680147058823530e+04,  1.646090534979424e-02, -6.218333333333330e+00
PdAg_1_5_100,  1.848761965650050e-01,  1.215613437548517e-01, -6.053333333333320e+00,  7.685999999999987e+01,  2.779411764705883e+04,  1.587301587301587e-02, -6.218333333333330e+00
PdAg_1_5_100,  1.846523109974680e-01,  1.138546365138444e-01, -6.053333333333320e+00,  7.960499999999988e+01,  2.878676470588235e+04,  1.532567049808429e-02, -6.218333333333330e+00
PdAg_1_5_100,  1.849359671980280e-01,  1.061835202744034e-01, -6.053333333333320e+00,  8.234999999999987e+01,  2.977941176470588e+04,  1.481481481481482e-02, -6.218333333333330e+00
PdAg_1_1_100,  1.535896786579120e+00,  1.660347470701677e+00, -7.680000000000000e+00,  2.565000000000000e+00,  9.440559440559440e+02,  6.666666666666666e-01, -7.795000000000000e+00
PdAg_1_1_100,  1.476543275391880e+00,  1.214212341613671e+00, -7.680000000000000e+00,  7.695000000000000e+00,  2.832167832167832e+03,  2.222222222222222e-01, -7.795000000000000e+00
PdAg_1_1_100,  1.443594468047830e+00,  1.153706676718443e+00, -7.680000000000000e+00,  1.026000000000000e+01,  3.776223776223776e+03,  1.666666666666667e-01, -7.795000000000000e+00
PdAg_1_1_100,  1.385113175840640e+00,  1.114875931776384e+00, -7.680000000000000e+00,  1.282500000000000e+01,  4.720279720279720e+03,  1.333333333333333e-01, -7.795000000000000e+00
PdAg_1_1_100,  1.289499794158380e+00,  1.086882646810911e+00, -7.680000000000000e+00,  1.539000000000000e+01,  5.664335664335665e+03,  1.111111111111111e-01, -7.795000000000000e+00
PdAg_1_1_100,  9.478991583993770e-01,  9.947851568541610e-01, -7.680000000000000e+00,  3.078000000000000e+01,  1.132867132867133e+04,  5.555555555555555e-02, -7.795000000000000e+00
PdAg_1_1_100,  9.217389182624810e-01,  9.842985380047096e-01, -7.680000000000000e+00,  3.334500000000000e+01,  1.227272727272727e+04,  5.128205128205128e-02, -7.795000000000000e+00
PdAg_1_1_100,  8.995066396137220e-01,  9.744073839891354e-01, -7.680000000000000e+00,  3.591000000000000e+01,  1.321678321678322e+04,  4.761904761904762e-02, -7.795000000000000e+00
