# c0 + a0 * (ln(1.0*time-3.176520e+00)) + a1 * (av_BE_H_surf^6)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.19660058527652; Max AE: 0.668576775940208
# Coefficients
# Task   a0                      a1                      c0
# 2   , -1.849728876961388e-01,  6.359121143057407e-03,  5.238450908598369e-01, 
# 3   , -1.843180925209223e-01,  6.043389423172760e-03,  3.801295072454549e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         0|log:1.0000000000000e+00,-3.1765197750395e+00; (ln(1.0*time-3.176520e+00)); $\left(\ln{ \left(1.0time-3.177e+00 \right)}\right)$; log(1.0*time-3.176520e+00); time
# 1;  1; eV^6;                                             16|sp; (av_BE_H_surf^6); $\left(av_{BE, H, surf}^6\right)$; (av_BE_H_surf).^6; av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  7.378725772813125e-01,  2.334420934304614e+00,  1.015599566684160e+02
PdAg_1_9_100,  6.062451827416920e-01,  5.831888660042750e-01,  3.170671658416905e+00,  1.015599566684160e+02
PdAg_1_9_100,  3.628741788873400e-01,  5.001451092356279e-01,  3.619622625247600e+00,  1.015599566684160e+02
PdAg_1_9_100,  3.099375324862660e-01,  4.430373509100966e-01,  3.928358456951456e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.856868471553150e-01,  3.642232277995329e-01,  4.354443188028554e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.773647395214370e-01,  3.091319005402646e-01,  4.652277794740045e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.742250823045090e-01,  2.867234642193036e-01,  4.773422231635966e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.710137208355010e-01,  2.322727794778034e-01,  5.067793398241464e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.691444146104700e-01,  2.032313343578789e-01,  5.224797192049516e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.658907762370700e-01,  1.781368213071516e-01,  5.360463090783555e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.642144249687690e-01,  1.459137749269054e-01,  5.534667250007042e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.597681369110620e-01,  1.184800890258910e-01,  5.682979179623887e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.564021611090790e-01,  1.022187735335937e-01,  5.770891066035102e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.562832756759230e-01,  9.459456809376916e-02,  5.812109027947169e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.479231710514490e-01,  6.689863750374599e-02,  5.961838704198535e+00,  1.015599566684160e+02
PdAg_1_9_100,  2.453013105463630e-01,  6.057733999200628e-02,  5.996012888266656e+00,  1.015599566684160e+02
PdAg_1_5_100,  2.565338589410230e-01,  6.019281103420400e-01,  3.619622625247600e+00,  1.175657849608262e+02
PdAg_1_5_100,  2.398208440226360e-01,  5.448203520165086e-01,  3.928358456951456e+00,  1.175657849608262e+02
PdAg_1_5_100,  2.261682956735730e-01,  4.660062289059449e-01,  4.354443188028554e+00,  1.175657849608262e+02
PdAg_1_5_100,  2.195369868150280e-01,  4.109149016466767e-01,  4.652277794740045e+00,  1.175657849608262e+02
PdAg_1_5_100,  2.164592134781930e-01,  3.885064653257156e-01,  4.773422231635966e+00,  1.175657849608262e+02
PdAg_1_5_100,  2.141497061269980e-01,  3.685217124586008e-01,  4.881463756618505e+00,  1.175657849608262e+02
PdAg_1_5_100,  2.099035907134980e-01,  3.340557805842154e-01,  5.067793398241464e+00,  1.175657849608262e+02
PdAg_1_5_100,  2.074551680388040e-01,  3.189656903242378e-01,  5.149373409495690e+00,  1.175657849608262e+02
PdAg_1_5_100,  2.038357874315140e-01,  2.920418461852742e-01,  5.294929033751242e+00,  1.175657849608262e+02
PdAg_1_5_100,  2.024470208367670e-01,  2.799198224135637e-01,  5.360463090783555e+00,  1.175657849608262e+02
