# c0 + a0 * (exp(4.197089e-03*((time+4.802114e+02) / (av_mu_C_critical_subsurf+3.925463e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.219314486441804; Max AE: 0.816583065799331
# Coefficients
# Task   a0                      c0
# 2   ,  3.588561341169642e+00,  2.892261174345311e-01, 
# 3   ,  3.483738330459062e+00,  1.022145448578227e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|12|div|exp:4.1970893719162e-03,0.0000000000000e+00,4.8021135795926e+02,3.9254633706112e+00; (exp(4.197089e-03*((time+4.802114e+02) / (av_mu_C_critical_subsurf+3.925463e+00)))); $\left(\exp{ \left(4.197e-03\left(\frac{ time +4.802e+02 }{ av_{mu, C, critical, subsurf}+3.925e+00 } \right) \right)}\right)$; exp(4.197089e-03.*((time+4.802114e+02) ./ (av_mu_C_critical_subsurf+3.925463e+00))); time,av_mu_C_critical_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 212                   
# 3   , 219                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.696358587244717e-01,  2.240723611644666e-02
PdAg_1_9_100,  6.062451827416920e-01,  3.617033875580126e-01,  2.019674828795277e-02
PdAg_1_9_100,  3.628741788873400e-01,  3.545534596232225e-01,  1.820432646342861e-02
PdAg_1_9_100,  3.099375324862660e-01,  3.481088765418684e-01,  1.640845829547540e-02
PdAg_1_9_100,  2.919675286925200e-01,  3.423000556039139e-01,  1.478975364319231e-02
PdAg_1_9_100,  2.856868471553150e-01,  3.370642784770978e-01,  1.333073521518084e-02
PdAg_1_9_100,  2.773647395214370e-01,  3.280913079695545e-01,  1.083029850685396e-02
PdAg_1_9_100,  2.742250823045090e-01,  3.242572326653403e-01,  9.761882799359170e-03
PdAg_1_9_100,  2.739275035497000e-01,  3.208013912829472e-01,  8.798866968266601e-03
PdAg_1_9_100,  2.710137208355010e-01,  3.148788391857347e-01,  7.148469626784324e-03
PdAg_1_9_100,  2.691444146104700e-01,  3.100671760553951e-01,  5.807636163764489e-03
PdAg_1_9_100,  2.679801391469650e-01,  3.080111926143792e-01,  5.234709231339315e-03
PdAg_1_9_100,  2.658907762370700e-01,  3.061580332230736e-01,  4.718301898393558e-03
PdAg_1_9_100,  2.637375021423530e-01,  3.029821255858295e-01,  3.833293301547638e-03
PdAg_1_9_100,  2.642144249687690e-01,  3.016250867958116e-01,  3.455136524777709e-03
PdAg_1_9_100,  2.621887653386570e-01,  3.004019207294326e-01,  3.114285150064882e-03
PdAg_1_9_100,  2.609797547787540e-01,  2.992994207589481e-01,  2.807058976211837e-03
PdAg_1_9_100,  2.597681369110620e-01,  2.983056830986837e-01,  2.530140856166393e-03
PdAg_1_9_100,  2.586590858830060e-01,  2.974099782788514e-01,  2.280540881503483e-03
PdAg_1_9_100,  2.564021611090790e-01,  2.966026352985550e-01,  2.055564100130344e-03
PdAg_1_9_100,  2.562832756759230e-01,  2.958749372071726e-01,  1.852781418660225e-03
PdAg_1_9_100,  2.479231710514490e-01,  2.936146286254842e-01,  1.222916587939027e-03
PdAg_1_9_100,  2.453013105463630e-01,  2.931816992573819e-01,  1.102275103248358e-03
PdAg_1_5_100,  2.565338589410230e-01,  5.066728368815556e-01,  6.059439947490233e-02
PdAg_1_5_100,  2.398208440226360e-01,  4.914284295570036e-01,  5.634634409135318e-02
PdAg_1_5_100,  2.261682956735730e-01,  4.640708817384819e-01,  4.872280217090078e-02
PdAg_1_5_100,  2.195369868150280e-01,  4.404147526366235e-01,  4.213070944826446e-02
PdAg_1_5_100,  2.164592134781930e-01,  4.298154612620517e-01,  3.917707695688919e-02
PdAg_1_5_100,  2.141497061269980e-01,  4.199592480791236e-01,  3.643051301499611e-02
PdAg_1_5_100,  2.099035907134980e-01,  4.022713302925644e-01,  3.150154117783250e-02
PdAg_1_5_100,  2.074551680388040e-01,  3.943461370531309e-01,  2.929308143979989e-02
PdAg_1_5_100,  2.050856479851930e-01,  3.869765506040641e-01,  2.723944886996764e-02
PdAg_1_5_100,  2.038357874315140e-01,  3.801236193518600e-01,  2.532978909250081e-02
PdAg_1_5_100,  2.024470208367670e-01,  3.737511224591230e-01,  2.355400869281008e-02
PdAg_1_5_100,  2.000269286823050e-01,  3.623150669434945e-01,  2.036720082514767e-02
PdAg_1_5_100,  1.973081438407180e-01,  3.571910636011046e-01,  1.893932963799395e-02
PdAg_1_5_100,  1.969854579108610e-01,  3.524262857015377e-01,  1.761156136358739e-02
PdAg_1_5_100,  1.926261364587620e-01,  3.400441686459540e-01,  1.416112095630488e-02
PdAg_1_5_100,  1.905512205622570e-01,  3.364814978727322e-01,  1.316833570491480e-02
PdAg_1_5_100,  1.877437449997070e-01,  3.300879442261375e-01,  1.138668756273456e-02
PdAg_1_5_100,  1.864446344370330e-01,  3.272232685335327e-01,  1.058840785667523e-02
PdAg_1_5_100,  1.848761965650050e-01,  3.245594249492342e-01,  9.846092669322092e-03
PdAg_1_5_100,  1.846523109974680e-01,  3.220823338565400e-01,  9.155818529578171e-03
PdAg_1_5_100,  1.849359671980280e-01,  3.197789027100298e-01,  8.513937026792042e-03
PdAg_1_1_100,  1.535896786579120e+00,  1.528911258897367e+00,  3.454546330978356e-01
PdAg_1_1_100,  1.542341149952750e+00,  1.493399991745994e+00,  3.355589496260301e-01
PdAg_1_1_100,  1.476543275391880e+00,  1.458905958771686e+00,  3.259467318889173e-01
PdAg_1_1_100,  1.443594468047830e+00,  1.425400020902425e+00,  3.166098598993362e-01
PdAg_1_1_100,  1.385113175840640e+00,  1.392853873766341e+00,  3.075404462703424e-01
PdAg_1_1_100,  1.289499794158380e+00,  1.361240023781398e+00,  2.987308295522847e-01
