# c0 + a0 * ((av_IP * std_dev) * (av_E_def_subsurf * total_metal_loading)) + a1 * (exp(1.124832e-03*((time+4.397488e+02) / (av_BE_H_subsurf+1.358339e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.144991626727504; Max AE: 0.706060586416801
# Coefficients
# Task   a0                      a1                      c0
# 2   , -6.507556243063407e+00,  3.173595876698546e+00,  7.501242085451160e-01, 
# 3   , -8.299781819644522e+00,  3.160982727718376e+00,  6.827759058658509e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2 * nm;                                        5|3|mult|14|1|mult|mult; ((av_IP * std_dev) * (av_E_def_subsurf * total_metal_loading)); $\left(\left(av_{IP} std_{dev}\right) \left(av_{E, def, subsurf} total_{metal, loading}\right)\right)$; ((av_IP .* std_dev) .* (av_E_def_subsurf .* total_metal_loading)); av_IP,std_dev,av_E_def_subsurf,total_metal_loading
# 1;  2; Unitless;                                         0|19|div|exp:1.1248316705870e-03,0.0000000000000e+00,4.3974880306658e+02,1.3583386336010e+00; (exp(1.124832e-03*((time+4.397488e+02) / (av_BE_H_subsurf+1.358339e+00)))); $\left(\exp{ \left(1.125e-03\left(\frac{ time +4.397e+02 }{ av_{BE, H, subsurf}+1.358e+00 } \right) \right)}\right)$; exp(1.124832e-03.*((time+4.397488e+02) ./ (av_BE_H_subsurf+1.358339e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 212                   
# 3   , 219                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.624226872756315e-01,  6.005827205999999e-02,  9.865975832519368e-04
PdAg_1_9_100,  6.062451827416920e-01,  3.618394070789189e-01,  6.005827205999999e-02,  8.028060044326999e-04
PdAg_1_9_100,  3.628741788873400e-01,  3.613647851538943e-01,  6.005827205999999e-02,  6.532526449424900e-04
PdAg_1_9_100,  3.099375324862660e-01,  3.609785797366976e-01,  6.005827205999999e-02,  5.315593253763872e-04
PdAg_1_9_100,  2.919675286925200e-01,  3.606643198670879e-01,  6.005827205999999e-02,  4.325360464778146e-04
PdAg_1_9_100,  2.856868471553150e-01,  3.604086029318778e-01,  6.005827205999999e-02,  3.519596450879399e-04
PdAg_1_9_100,  2.773647395214370e-01,  3.600312060462326e-01,  6.005827205999999e-02,  2.330418936451066e-04
PdAg_1_9_100,  2.742250823045090e-01,  3.598934308034435e-01,  6.005827205999999e-02,  1.896289172795225e-04
PdAg_1_9_100,  2.739275035497000e-01,  3.597813214753336e-01,  6.005827205999999e-02,  1.543032701380515e-04
PdAg_1_9_100,  2.710137208355010e-01,  3.596158662181537e-01,  6.005827205999999e-02,  1.021683217677393e-04
PdAg_1_9_100,  2.691444146104700e-01,  3.595063138675224e-01,  6.005827205999999e-02,  6.764837818082102e-05
PdAg_1_9_100,  2.679801391469650e-01,  3.594663198922660e-01,  6.005827205999999e-02,  5.504627734307862e-05
PdAg_1_9_100,  2.658907762370700e-01,  3.594337763263563e-01,  6.005827205999999e-02,  4.479180034784908e-05
