# c0 + a0 * (exp(9.198993e-03*((time+1.673314e+03) / (av_mu_C_critical_subsurf+1.483161e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.227982443619702; Max AE: 0.776991169177264
# Coefficients
# Task   a0                      c0
# 2   ,  4.110935998416282e+01,  2.441751337222096e-01, 
# 3   ,  4.014595766663217e+01,  3.637378347927543e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|12|div|exp:9.1989932116197e-03,0.0000000000000e+00,1.6733136959474e+03,1.4831614377143e+00; (exp(9.198993e-03*((time+1.673314e+03) / (av_mu_C_critical_subsurf+1.483161e+00)))); $\left(\exp{ \left(9.199e-03\left(\frac{ time +1.673e+03 }{ av_{mu, C, critical, subsurf}+1.483e+00 } \right) \right)}\right)$; exp(9.198993e-03.*((time+1.673314e+03) ./ (av_mu_C_critical_subsurf+1.483161e+00))); time,av_mu_C_critical_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.724633340072872e-01,  5.553192761284157e-03
PdAg_1_9_100,  3.628741788873400e-01,  4.542535649743706e-01,  5.110233565618453e-03
PdAg_1_9_100,  3.099375324862660e-01,  4.457008467209435e-01,  4.902185611169103e-03
PdAg_1_9_100,  2.919675286925200e-01,  4.374963269431358e-01,  4.702607710151708e-03
PdAg_1_9_100,  2.856868471553150e-01,  4.296258297760551e-01,  4.511155029542892e-03
PdAg_1_9_100,  2.742250823045090e-01,  4.078852321928824e-01,  3.982307156660704e-03
PdAg_1_9_100,  2.739275035497000e-01,  4.012202626426299e-01,  3.820179369878810e-03
PdAg_1_9_100,  2.710137208355010e-01,  3.886933097742192e-01,  3.515456725857189e-03
PdAg_1_9_100,  2.679801391469650e-01,  3.717512784103220e-01,  3.103335705962351e-03
PdAg_1_9_100,  2.637375021423530e-01,  3.567953807949713e-01,  2.739528105427767e-03
PdAg_1_9_100,  2.642144249687690e-01,  3.522103825297827e-01,  2.627996369906832e-03
PdAg_1_9_100,  2.621887653386570e-01,  3.478120488265908e-01,  2.521005317142052e-03
PdAg_1_9_100,  2.609797547787540e-01,  3.435927801931623e-01,  2.418370086745521e-03
PdAg_1_9_100,  2.597681369110620e-01,  3.395452865279785e-01,  2.319913344369987e-03
PdAg_1_9_100,  2.586590858830060e-01,  3.356625745243128e-01,  2.225464975308499e-03
PdAg_1_9_100,  2.564021611090790e-01,  3.319379355871137e-01,  2.134861790568237e-03
PdAg_1_9_100,  2.562832756759230e-01,  3.283649342418167e-01,  2.047947244910666e-03
PdAg_1_9_100,  2.479231710514490e-01,  3.154695443538487e-01,  1.734262237580563e-03
PdAg_1_9_100,  2.453013105463630e-01,  3.125670045569638e-01,  1.663656910764405e-03
PdAg_1_5_100,  2.565338589410230e-01,  5.523632551775375e-01,  7.496787144680818e-03
PdAg_1_5_100,  2.261682956735730e-01,  5.187090427914670e-01,  6.678136297306020e-03
PdAg_1_5_100,  2.195369868150280e-01,  4.983403175647382e-01,  6.182659714002952e-03
PdAg_1_5_100,  2.164592134781930e-01,  4.887298779898986e-01,  5.948882307141306e-03
PdAg_1_5_100,  2.141497061269980e-01,  4.794828263009419e-01,  5.723944441591486e-03
PdAg_1_5_100,  2.099035907134980e-01,  4.620244447475630e-01,  5.299263017212594e-03
PdAg_1_5_100,  2.074551680388040e-01,  4.537871731890528e-01,  5.098888417323820e-03
PdAg_1_5_100,  2.050856479851930e-01,  4.458613675810622e-01,  4.906090338953251e-03
PdAg_1_5_100,  2.038357874315140e-01,  4.382352508396818e-01,  4.720582300289590e-03
PdAg_1_5_100,  2.000269286823050e-01,  4.170438422730677e-01,  4.205093648197270e-03
PdAg_1_5_100,  1.973081438407180e-01,  4.105073676356211e-01,  4.046091546486984e-03
