# c0 + a0 * ((av_delta_M1_M2_subsurf^6) / (total_metal_loading * time)) + a1 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a2 * (exp(8.425280e+01*((av_E_b_C_subsurf-4.051876e+00) / (time+6.138996e+02)))) + a3 * ((total_metal_loading / std_dev) / (av_W_change_H^6))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.104698915288336; Max AE: 0.562725370506679
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  1.525139186381879e+05, -6.712964419890843e-07,  3.431592757333063e+00,  4.830080293597870e-06, -3.411835420359863e+00, 
# 3   ,  1.371516161925700e+05, -1.133818247167997e-06,  3.174176544821472e+00,  5.200670786027461e-06, -3.306932739344478e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; min^-1;                                           15|sp|1|0|mult|div; ((av_delta_M1_M2_subsurf^6) / (total_metal_loading * time)); $\left(\frac{ \left(av_{delta, M1, M2, subsurf}^6\right) }{ \left(total_{metal, loading} time\right) } \right)$; ((av_delta_M1_M2_subsurf).^6 ./ (total_metal_loading .* time)); av_delta_M1_M2_subsurf,total_metal_loading,time
# 1;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 2;  2; Unitless;                                         13|0|div|exp:8.4252800206744e+01,0.0000000000000e+00,-4.0518764958653e+00,6.1389956476986e+02; (exp(8.425280e+01*((av_E_b_C_subsurf-4.051876e+00) / (time+6.138996e+02)))); $\left(\exp{ \left(8.425e+01\left(\frac{ av_{E, b, C, subsurf} -4.052e+00 }{ time+6.139e+02 } \right) \right)}\right)$; exp(8.425280e+01.*((av_E_b_C_subsurf-4.051876e+00) ./ (time+6.138996e+02))); av_E_b_C_subsurf,time
# 3;  2; eV^-6 * nm^-1;                                    1|3|div|17|sp|div; ((total_metal_loading / std_dev) / (av_W_change_H^6)); $\left(\frac{ \left(\frac{ total_{metal, loading} }{ std_{dev} } \right) }{ \left(av_{W, change, H}^6\right) } \right)$; ((total_metal_loading ./ std_dev) ./ (av_W_change_H).^6); total_metal_loading,std_dev,av_W_change_H
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.646086312640972e-01,  8.344743950358039e-07,  7.660313335186942e+01,  1.087571414703605e+00,  3.545350019960804e+03
PdAg_1_9_100,  3.628741788873400e-01,  3.667556922196713e-01,  2.781581316786013e-07,  2.298094000556082e+02,  1.083811027091071e+00,  3.545350019960804e+03
PdAg_1_9_100,  3.099375324862660e-01,  3.500531104363341e-01,  2.086185987589510e-07,  3.064125334074777e+02,  1.082049334450326e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.919675286925200e-01,  3.378416231338677e-01,  1.668948790071608e-07,  3.830156667593470e+02,  1.080360143365601e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.856868471553150e-01,  3.279850387061365e-01,  1.390790658393006e-07,  4.596188001112164e+02,  1.078739070370082e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.742250823045090e-01,  3.053409278250987e-01,  9.271937722620042e-08,  6.894282001668247e+02,  1.074245721665384e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.739275035497000e-01,  2.991192492470154e-01,  8.344743950358038e-08,  7.660313335186941e+02,  1.072859730975897e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.710137208355010e-01,  2.878962951111207e-01,  6.953953291965032e-08,  9.192376002224329e+02,  1.070237345798703e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.679801391469650e-01,  2.732744356478025e-01,  5.563162633572026e-08,  1.149047000278041e+03,  1.066639471350702e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.637375021423530e-01,  2.605625056134386e-01,  4.635968861310021e-08,  1.378856400333649e+03,  1.063392127905734e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.642144249687690e-01,  2.566618478339551e-01,  4.391970500188441e-08,  1.455459533685519e+03,  1.062378865799026e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.621887653386570e-01,  2.529077793288354e-01,  4.172371975179019e-08,  1.532062667037388e+03,  1.061397476975630e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.609797547787540e-01,  2.492899043987881e-01,  3.973687595408590e-08,  1.608665800389258e+03,  1.060446481208752e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.597681369110620e-01,  2.457991035775185e-01,  3.793065431980926e-08,  1.685268933741127e+03,  1.059524488508927e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.586590858830060e-01,  2.424273002698696e-01,  3.628149543633930e-08,  1.761872067092997e+03,  1.058630192352586e+00,  3.545350019960804e+03
PdAg_1_9_100,  2.564021611090790e-01,  2.391672819822546e-01,  3.476976645982516e-08,  1.838475200444866e+03,  1.057762363511224e+00,  3.545350019960804e+03
